,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Gyeonggi Gwangju-si,"17,281","1,929",58,529,"11,778","2,795",38,154
,Gyeonggi Yangju-si,"9,767","1,520",0,116,"5,804","2,037",0,290
,Gyeonggi Pocheon-si,"4,957","1,049",0,226,"2,755",485,139,303
,Gyeonggi Yeoju-si,"3,231",286,158,67,"2,297",368,0,55
,Gyeonggi Yeoncheon-gun,"1,073",352,85,39,330,117,0,150
,Gyeonggi Gapyeong-gun,"1,724",365,59,115,807,215,0,163
,Gyeonggi Yangpyeong-gun,"3,159",837,51,49,"2,031",117,0,74
Gangwon,Gangwon Total,"47,021","8,951","8,065","2,180","17,956","6,078",116,"3,675"
,Gangwon Chuncheon-si,"9,419","1,394","1,311",547,"3,497","1,786",50,834
,Gangwon Wonju-si,"11,875","1,856",839,375,"5,527","2,179",46,"1,053"
,Gangwon Gangneung-si,"6,045",913,"1,259",88,"2,863",510,20,392
,Gangwon Donghae-si,"2,908",236,699,223,"1,085",569,0,96
,Gangwon Taebaek-si,"1,282",689,163,75,125,80,0,150
,Gangwon Sokcho-si,"2,791",786,540,144,921,301,0,99
,Gangwon Samcheok-si,"1,631",401,201,0,686,265,0,78
,Gangwon Hongcheon-gun,"1,889",199,309,131,978,104,0,168
,Gangwon Hoengseong-gun,"1,253",115,628,79,331,40,0,60
,Gangwon Yeongwol-gun,713,99,355,125,94,40,0,0
,Gangwon Pyongchang-gun,762,352,147,99,144,20,0,0
,Gangwon Jeongseon-gun,"1,050",332,624,0,0,19,0,75
,Gangwon Cheolwon-gun,"1,553",154,182,64,964,32,0,157
,Gangwon Hwacheon-gun,838,336,120,0,230,56,0,96
,Gangwon Yanggu-gun,768,144,341,91,65,20,0,107
,Gangwon Inje-gun,"1,142",339,138,100,217,38,0,310
,Gangwon Goseong-gun,599,409,0,0,190,0,0,0
,Gangwon Yangyang-gun,503,197,209,39,39,19,0,0
North Chungcheong,North Chungcheong Total,"57,092","8,237","9,736","2,263","26,926","6,903",94,"2,933"
,North Chungcheong Cheongju-si,"34,028","3,517","4,047",873,"17,982","5,598",0,"2,011"
,North Chungcheong Chungju-si,"6,822","1,185","1,487",166,"3,400",439,20,125
,North Chungcheong Jecheon-si,"3,385",700,676,271,"1,330",160,0,248
,North Chungcheong Boeun-gun,511,99,140,0,247,0,0,25
,North Chungcheong Okcheon-gun,960,334,212,70,287,37,0,20
,North Chungcheong Yeongdong-gun,"1,050",197,551,49,189,0,39,25
,North Chungcheong Jincheon-gun,"3,720","1,018",615,337,"1,119",289,0,342
,North Chungcheong Goesan-gun,691,130,343,159,0,20,0,39
,North Chungcheong Eumseong-gun,"3,418",589,978,194,"1,253",320,35,49
,North Chungcheong Jeungpyong-gun,"1,750",201,341,0,"1,119",40,0,49
,North Chungcheong Danyang-gun,757,267,346,144,0,0,0,0
South Chungcheong,South Chungcheong Total,"76,555","8,443","8,849","2,605","38,591","13,981",70,"4,016"
,South Chungcheong Cheonan-si,"23,666","2,565",551,487,"12,722","6,165",70,"1,106"
,South Chungcheong Gongju-si,"2,464",594,463,211,893,303,0,0
,South Chungcheong Boryeong-si,"2,559",415,458,234,"1,042",280,0,130
,South Chungcheong Asan-si,"16,966","1,565",920,153,"9,788","3,620",0,920
,South Chungcheong Seosan-si,"7,184",522,983,228,"3,982","1,081",0,388
,South Chungcheong Nonsan-si,"3,970",315,786,372,"1,771",463,0,263
,South Chungcheong Gyerong-si,"1,548",120,148,85,676,365,0,154
,South Chungcheong Geumsan-gun,"1,117",296,252,91,356,19,0,103
,South Chungcheong Buyeo-gun,"1,287",199,762,0,208,118,0,0
,South Chungcheong Seocheon-gun,"1,271",215,623,202,191,40,0,0
,South Chungcheong Cheongyang-gun,577,110,196,0,191,80,0,0
,South Chungcheong Hongseong-gun,"2,837",394,767,39,"1,014",320,0,303
,South Chungcheong Yesan-gun,"1,520",156,697,52,425,100,0,90
,South Chungcheong Taean-gun,"1,513",68,435,78,669,60,0,203
,South Chungcheong Dangjin-si,"8,076",909,808,373,"4,663",967,0,356
North Jeolla,North Jeolla Total,"55,361","7,381","9,964","5,850","23,100","7,249",20,"1,797"
,North Jeolla Jeonju-si,"22,710","2,416","3,177","1,167","11,232","3,726",20,972
,North Jeolla Gunsan-si,"9,358","1,422","1,676",932,"4,077","1,020",0,231
,North Jeolla Iksan-si,"8,050",968,"1,424",797,"3,306","1,285",0,270
,North Jeolla Jeongeup-si,"2,716",388,771,205,960,353,0,39
,North Jeolla Namwon-si,"2,892",313,588,542,"1,199",250,0,0
,North Jeolla Gimje-si,"1,825",249,623,374,375,155,0,49
,North Jeolla Wanju-gun,"3,245",393,844,433,"1,142",307,0,126
,North Jeolla Jinan-gun,396,139,0,257,0,0,0,0
,North Jeolla Muju-gun,415,249,0,90,76,0,0,0
,North Jeolla Jangsu-gun,470,181,269,0,0,20,0,0
,North Jeolla Imsil-gun,596,0,53,504,0,0,0,39
,North Jeolla Sunchang-gun,471,246,85,120,0,20,0,0
,North Jeolla Gochang-gun,"1,206",245,454,247,165,55,0,40
,North Jeolla Buan-gun,"1,011",172,0,182,568,58,0,31
South Jeolla,South Jeolla Total,"59,669","10,874","13,757","3,185","23,325","5,608",69,"2,851"
,South Jeolla Mokpo-si,"10,439",722,"1,907",0,"6,133","1,478",49,150
,South Jeolla Yeosu-si,"8,717","1,415","2,039",284,"3,873",534,0,572
,South Jeolla Suncheon-si,"9,694","1,321",972,303,"5,146","1,527",0,425
,South Jeolla Naju-si,"4,224","1,158",671,0,"1,161",542,0,692
,South Jeolla Gwangyang-si,"7,221","1,893",921,79,"3,482",530,0,316
,South Jeolla Damyang-gun,863,290,104,99,291,20,0,59
,South Jeolla Gokseong-gun,645,328,247,70,0,0,0,0
,South Jeolla Gurye-gun,500,224,0,224,32,20,0,0
,South Jeolla Goheung-gun,"1,142",165,473,244,240,20,0,0
,South Jeolla Boseong-gun,831,309,330,75,97,20,0,0
,South Jeolla Hwasun-gun,"1,776",477,492,36,527,244,0,0
,South Jeolla Jangheung-gun,748,354,188,126,0,60,20,0
,South Jeolla Gangjin-gun,891,39,342,283,227,0,0,0
,South Jeolla Haenam-gun,"1,615",187,850,117,461,0,0,0
,South Jeolla Yeongam-gun,"2,298",258,"1,001",303,470,106,0,160
,South Jeolla Muan-gun,"2,578",425,593,169,846,328,0,217
,South Jeolla Hampyeong-gun,806,149,638,0,0,19,0,0
,South Jeolla Yeongwang-gun,"1,362",385,484,294,39,40,0,120
,South Jeolla Jangseong-gun,906,261,353,79,33,40,0,140
,South Jeolla Wando-gun,"1,194",283,385,247,239,40,0,0
,South Jeolla Jindo-gun,699,93,385,153,28,40,0,0
,South Jeolla Sinan-gun,520,138,382,0,0,0,0,0
North Gyeongsang,North Gyeongsang Total,"77,622","9,869","7,037","2,563","42,342","11,257",75,"4,479"
,North Gyeongsang Pohang-si,"16,187",980,"1,095",104,"10,511","2,761",0,736
,North Gyeongsang Gyeongju-si,"7,017",489,712,230,"4,077",938,0,571
,North Gyeongsang Gimcheon-si,"3,808",463,578,0,"1,475",680,0,612
,North Gyeongsang Andong-si,"4,351",759,707,148,"1,784",409,0,544
,North Gyeongsang Gumi-si,"16,922","1,155",883,516,"9,601","3,817",75,875
,North Gyeongsang Yeongju-si,"2,427",528,215,421,986,207,0,70
,North Gyeongsang Yeongcheon-si,"2,290",439,326,0,"1,235",202,0,88
,North Gyeongsang Sangju-si,"1,356",473,92,89,556,116,0,30
,North Gyeongsang Mungyeong-si,"1,329",198,200,78,615,211,0,27
,North Gyeongsang Gyeongsan-si,"8,963",905,742,337,"5,826",833,0,320
,North Gyeongsang Gunwi-gun,252,33,160,0,39,20,0,0
,North Gyeongsang Uiseong-gun,896,275,490,111,0,20,0,0
,North Gyeongsang Cheongsong-gun,360,177,47,77,0,20,0,39
,North Gyeongsang Yeongyang-gun,230,181,0,49,0,0,0,0
,North Gyeongsang Yeongdeok-gun,779,343,0,0,436,0,0,0
,North Gyeongsang Cheongdo-gun,548,261,146,0,121,20,0,0
,North Gyeongsang Goryeong-gun,771,227,142,0,402,0,0,0
,North Gyeongsang Seongju-gun,566,235,0,0,277,54,0,0
,North Gyeongsang Chilgok-gun,"4,907",427,294,240,"3,339",558,0,49
,North Gyeongsang Yecheon-gun,"1,658",471,159,75,535,320,0,98
,North Gyeongsang Bonghwa-gun,462,230,49,60,85,38,0,0
,North Gyeongsang Uljin-gun,"1,453",530,0,28,442,33,0,420
,North Gyeongsang Ulleung-gun,90,90,0,0,0,0,0,0
South Gyeongsang,South Gyeongsang Total,"105,786","18,388","7,505","2,970","52,848","19,394",215,"4,466"
,South Gyeongsang Changwon-si,"32,696","5,565","2,258",856,"15,141","6,893",0,"1,983"
,South Gyeongsang Jinju-si,"12,840","1,557",593,224,"8,050","1,737",0,679
,South Gyeongsang Tongyeong-si,"3,693","1,008",227,42,"2,048",247,0,121
,South Gyeongsang Sacheon-si,"4,841","1,072",291,242,"2,410",392,0,434
,South Gyeongsang Gimhae-si,"18,172","3,399",615,162,"9,332","4,505",0,159
,South Gyeongsang Miryang-si,"2,483",397,833,39,888,277,0,49
,South Gyeongsang Geoje-si,"9,164","1,215",351,0,"5,156","1,784",17,641
,South Gyeongsang Yangsan-si,"13,073","1,378","1,202",259,"6,656","3,153",198,227
,South Gyeongsang Uiryeong-gun,375,174,0,138,63,0,0,0
,South Gyeongsang Haman-gun,"1,594",378,280,30,591,227,0,88
,South Gyeongsang Changnyeong-gun,"1,167",314,272,80,466,0,0,35
,South Gyeongsang Goseong-gun,"1,246",220,218,193,596,19,0,0
,South Gyeongsang Namhae-gun,572,161,0,268,143,0,0,0
,South Gyeongsang Hadong-gun,758,257,80,132,239,0,0,50
,South Gyeongsang Sancheong-gun,521,351,0,92,78,0,0,0
,South Gyeongsang Hamgyang-gun,610,370,220,0,0,20,0,0
,South Gyeongsang Geochang-gun,"1,407",318,0,67,922,100,0,0
,South Gyeongsang Hapcheon-gun,574,254,65,146,69,40,0,0
Jeju,Jeju Total,"27,724","2,495","7,169","3,025","11,651","2,021",0,"1,363"
,Jeju Jeju-si,"20,484","1,368","4,498","1,900","9,812","1,738",0,"1,168"
,Jeju Seogwipo-si,"7,240","1,127","2,671","1,125","1,839",283,0,195
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
