,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Nation Total,"1,557,496","326,210","113,294","46,084","715,671","259,901","4,636","91,700"
Seoul,Seoul Total,"235,682","103,922","1,690","5,427","73,175","29,967",859,"20,642"
,Seoul Jongno-gu,"4,533","2,085",100,49,272,50,0,"1,977"
,Seoul Jung-gu,"4,109","1,850",0,325,237,185,0,"1,512"
,Seoul Yongsan-gu,"5,157","2,127",89,295,"1,056",739,33,818
,Seoul Seongdong-gu,"7,640","4,841",0,202,"1,251",946,0,400
,Seoul Gwangjin-gu,"7,191","3,088",0,0,"3,014",859,49,181
,Seoul Dongdaemun-gu,"8,100","3,773",0,204,"2,657","1,140",0,326
,Seoul Jungnang-gu,"9,949","4,002",0,325,"4,269","1,155",26,172
,Seoul Seongbuk-gu,"9,306","4,565",109,755,"2,190","1,374",49,264
,Seoul Gangbuk-gu,"7,212","2,835",74,119,"3,658",382,43,101
,Seoul Dobong-gu,"7,861","3,095",33,67,"3,216","1,157",29,264
,Seoul Nowon-gu,"11,123","4,892",148,0,"2,716","2,987",20,360
,Seoul Eunpyeong-gu,"12,350","4,456",0,296,"6,520",884,20,174
,Seoul Seodaemun-gu,"6,762","3,244",0,82,"2,216",676,20,524
,Seoul Mapo-gu,"8,709","4,653",0,210,"1,698","1,014",153,981
,Seoul Yangcheon-gu,"10,787","4,794",0,43,"3,473","2,093",0,384
,Seoul Gangseo-gu,"15,122","5,442",173,376,"5,551","2,516",82,982
,Seoul Guro-gu,"12,170","5,135",279,374,"3,850","1,947",59,526
,Seoul Geumcheon-gu,"7,369","2,999",223,645,"2,562",516,0,424
,Seoul Yeongdeungpo-gu,"11,739","4,522",123,66,"2,741","1,322",0,"2,965"
,Seoul Dongjak-gu,"8,377","4,327",63,101,"2,346","1,172",49,319
,Seoul Gwanak-gu,"9,442","4,762",82,375,"2,492","1,092",16,623
,Seoul Seocho-gu,"10,474","5,509",0,237,"1,731",747,74,"2,176"
,Seoul Gangnam-gu,"10,866","5,099",0,0,"2,595",801,69,"2,302"
,Seoul Songpa-gu,"16,296","6,444",107,116,"5,521","2,553",48,"1,507"
,Seoul Gangdong-gu,"13,038","5,383",87,165,"5,343","1,660",20,380
Busan,Busan Total,"80,248","18,137","6,486","2,554","37,342","11,760",287,"3,682"
,Busan Jung-gu,885,346,42,0,343,59,0,95
,Busan Seo-gu,"1,708",763,84,178,553,130,0,0
,Busan Dong-gu,"1,732",554,205,140,556,59,0,218
,Busan Yeongdo-gu,"2,376",982,98,381,618,149,0,148
,Busan Busanjin-gu,"6,428","1,595",366,106,"2,795",980,30,556
,Busan Dongnae-gu,"6,196","1,738",317,0,"3,315",594,82,150
,Busan Nam-gu,"5,749","1,315",518,133,"2,425",949,59,350
,Busan Buk-gu,"7,193",865,443,0,"4,499","1,308",39,39
,Busan Haeundae-gu,"8,616","1,465","1,140",101,"4,297","1,332",0,281
,Busan Saha-gu,"8,585","2,085",739,715,"3,693","1,189",0,164
,Busan Geumjeong-gu,"4,508","1,158",401,60,"2,213",439,20,217
,Busan Gangseo-gu,"6,061",933,685,0,"2,331","1,506",0,606
,Busan Yeonje-gu,"4,690",970,216,315,"2,377",456,0,356
,Busan Suyeong-gu,"3,514",794,462,176,"1,811",253,0,18
,Busan Sasang-gu,"4,683","1,147",175,249,"2,183",909,0,20
,Busan Gijang-gun,"7,324","1,427",595,0,"3,333","1,448",57,464
Daegu,Daegu Total,"62,125","11,076","11,905","1,182","28,706","6,637",114,"2,505"
,Daegu Jung-gu,"1,796",427,240,71,680,151,0,227
,Daegu Dong-gu,"9,694","1,503","1,607",124,"4,938",962,20,540
,Daegu Seo-gu,"4,001",823,304,217,"2,317",301,0,39
,Daegu Nam-gu,"2,898",443,"1,336",190,733,78,20,98
,Daegu Buk-gu,"12,028","1,606","2,262",119,"6,147","1,566",20,308
,Daegu Suseong-gu,"8,452","1,952","2,953",242,"2,133",558,39,575
,Daegu Dalseo-gu,"13,590","2,129","1,927",219,"6,940","1,932",0,443
,Daegu Dalseong-gun,"9,666","2,193","1,276",0,"4,818","1,089",15,275
Incheon,Incheon Total,"84,877","14,823","1,106",990,"47,352","15,306",180,"5,120"
,Incheon Jung-gu,"4,527","1,315",77,0,"1,011","1,030",0,"1,094"
,Incheon Dong-gu,"1,852",707,0,0,733,248,0,164
,Incheon Michuhol-gu,"10,973","1,590",251,251,"7,102","1,345",0,434
,Incheon Yeonsu-gu,"11,159","2,854",0,49,"4,288","2,781",0,"1,187"
,Incheon Namdong-gu,"14,537","2,533",258,154,"8,663","2,410",0,519
,Incheon Bupyong-gu,"13,654","1,694",400,103,"8,321","2,463",102,571
,Incheon Gyeyang-gu,"8,579",959,0,0,"6,141","1,252",47,180
,Incheon Seo-gu,"18,346","2,439",120,373,"10,832","3,757",31,794
,Incheon Ganghwa-gun,737,396,0,60,222,20,0,39
,Incheon Ongjin-gun,513,336,0,0,39,0,0,138
Gwangju,Gwangju Total,"49,556","6,427","9,703","1,667","22,184","7,532",99,"1,944"
,Gwangju Dong-gu,"3,337",534,692,195,"1,283",157,0,476
,Gwangju Seo-gu,"8,685","1,196","1,961",92,"3,335","1,716",0,385
,Gwangju Nam-gu,"6,417",846,"1,618",478,"2,601",767,19,88
,Gwangju Buk-gu,"14,141","1,578","3,220",640,"6,204","1,983",0,516
,Gwangju Gwangsan-gu,"16,976","2,273","2,212",262,"8,761","2,909",80,479
Daejeon,Daejeon Total,"42,171","5,104","3,593",502,"15,943","11,869",187,"4,973"
,Daejeon Dong-gu,"6,555","1,036",988,129,"2,824","1,391",20,167
,Daejeon Jung-gu,"5,702",900,488,95,"2,673","1,323",63,160
,Daejeon Seo-gu,"12,019","1,000",496,59,"4,716","4,389",39,"1,320"
,Daejeon Yuseong-gu,"12,910",909,"1,096",112,"4,146","3,566",65,"3,016"
,Daejeon Daedeok-gu,"4,985","1,259",525,107,"1,584","1,200",0,310
Ulsan,Ulsan Total,"34,583","4,999","1,000",423,"20,620","4,760",277,"2,504"
,Ulsan Jung-gu,"6,009",418,204,0,"4,109",620,0,658
,Ulsan Nam-gu,"7,620","1,264",54,0,"4,181","1,447",242,432
,Ulsan Dong-gu,"5,632",756,0,0,"3,761",668,0,447
,Ulsan Buk-gu,"8,402","1,516",145,211,"4,700","1,499",35,296
,Ulsan Ulju-gun ,"6,920","1,045",597,212,"3,869",526,0,671
Sejong,Sejong Total,"19,497","5,398",769,359,"7,295","2,637",0,"3,039"
,Sejong,"19,497","5,398",769,359,"7,295","2,637",0,"3,039"
Gyeonggi,Gyeonggi Total,"441,927","81,686","4,960","8,339","226,315","96,942","1,974","21,711"
,Gyeonggi Suwon-si,"34,128","4,548",260,505,"16,574","9,361",89,"2,791"
,Gyeonggi Seongnam-si,"25,210","7,477",82,643,"7,089","4,830",222,"4,867"
,Gyeonggi Uijeongbu-si,"14,954","2,407",0,138,"8,297","3,597",20,495
,Gyeonggi Anyang-si,"15,164","2,615",103,54,"7,560","4,132",133,567
,Gyeonggi Bucheon-si,"21,107","2,978",149,833,"11,736","4,560",126,725
,Gyeonggi Gwangmyeong-si,"8,097","2,322",56,148,"3,025","2,239",53,254
,Gyeonggi Pyeongtaek-si,"19,994","3,711",257,321,"11,544","3,126",31,"1,004"
,Gyeonggi Dongducheon-si,"3,133",575,49,63,"1,847",599,0,0
,Gyeonggi Ansan-si,"20,987","3,026",0,424,"13,566","3,340",62,569
,Gyeonggi Goyang-si,"28,556","5,760",157,196,"13,772","6,831",236,"1,604"
,Gyeonggi Gwacheon-si,"2,937","1,106",84,0,429,317,154,847
,Gyeonggi Guri-si,"5,320","1,127",0,113,"2,288","1,682",0,110
,Gyeonggi Namyangju-si,"25,349","4,957",282,919,"13,517","5,510",39,125
,Gyeonggi Osan-si,"9,381","2,992",43,204,"3,404","2,539",0,199
,Gyeonggi Siheung-si,"21,022","4,966",369,176,"10,373","4,783",0,355
,Gyeonggi Gunpo-si,"8,235","1,585",49,168,"4,049","1,880",60,444
,Gyeonggi Uiwang-si,"5,303","1,333",475,446,"1,559","1,177",79,234
,Gyeonggi Hanam-si,"11,435","3,787",0,50,"4,943","2,292",245,118
,Gyeonggi Yongin-si,"36,401","3,474",401,982,"21,441","7,930",169,"2,004"
,Gyeonggi Paju-si,"16,306","2,424",205,39,"8,288","3,997",39,"1,314"
,Gyeonggi Icheon-si,"9,304","1,177",0,96,"6,765",783,20,463
,Gyeonggi Anseong-si,"7,608","1,026",225,205,"4,777","1,375",0,0
,Gyeonggi Gimpo-si,"17,286","3,655",639,0,"7,596","5,170",20,206
,Gyeonggi Hwaseong-si,"33,518","6,320",664,475,"16,074","8,758",0,"1,227"
