,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Ulsan Buk-gu,"9,168","1,154",145,250,"5,598","1,657",39,325
,Ulsan Ulju-gun ,"7,679",732,607,266,"4,779",634,0,661
Sejong,Sejong Total,"19,300","3,180",933,397,"8,569","3,387",0,"2,834"
,Sejong,"19,300","3,180",933,397,"8,569","3,387",0,"2,834"
Gyeonggi,Gyeonggi Total,"464,409","63,932","5,684","9,222","247,378","116,207","2,010","19,976"
,Gyeonggi Suwon-si,"37,927","4,177",260,544,"18,656","11,546",109,"2,635"
,Gyeonggi Seongnam-si,"26,219","6,358",84,987,"8,220","5,955",222,"4,393"
,Gyeonggi Uijeongbu-si,"15,940","1,761",67,220,"8,934","4,540",20,398
,Gyeonggi Anyang-si,"16,650","2,337",103,54,"8,473","5,124",84,475
,Gyeonggi Bucheon-si,"22,734","2,588",229,"1,019","12,767","5,335",119,677
,Gyeonggi Gwangmyeong-si,"9,835","2,272",56,178,"4,167","2,815",93,254
,Gyeonggi Pyeongtaek-si,"18,779","2,018",257,222,"11,795","3,452",31,"1,004"
,Gyeonggi Dongducheon-si,"3,612",553,49,102,"2,120",788,0,0
,Gyeonggi Ansan-si,"22,250","2,378",0,501,"14,404","4,296",64,607
,Gyeonggi Goyang-si,"31,114","4,902",235,196,"15,340","8,439",255,"1,747"
,Gyeonggi Gwacheon-si,"2,646",627,84,0,524,355,154,902
,Gyeonggi Guri-si,"5,705",951,0,219,"2,540","1,885",0,110
,Gyeonggi Namyangju-si,"27,252","3,789",282,919,"15,225","6,931",39,67
,Gyeonggi Osan-si,"9,823","2,892",43,155,"3,699","2,853",0,181
,Gyeonggi Siheung-si,"19,735","3,537",369,49,"11,002","4,653",0,125
,Gyeonggi Gunpo-si,"9,367","1,633",49,168,"4,630","2,517",40,330
,Gyeonggi Uiwang-si,"5,753","1,227",475,456,"1,846","1,405",110,234
,Gyeonggi Hanam-si,"10,104","2,091",0,50,"5,076","2,554",245,88
,Gyeonggi Yongin-si,"38,684","2,508",507,"1,171","22,519","9,963",169,"1,847"
,Gyeonggi Paju-si,"16,743","1,321",433,39,"8,880","4,802",39,"1,229"
,Gyeonggi Icheon-si,"10,062",920,0,191,"7,560",908,20,463
,Gyeonggi Anseong-si,"8,777",859,225,215,"5,743","1,602",0,133
,Gyeonggi Gimpo-si,"16,413","2,333",639,0,"7,600","5,673",20,148
,Gyeonggi Hwaseong-si,"34,749","4,637",763,395,"17,510","10,577",0,867
,Gyeonggi Gwangju-si,"17,805","1,538",58,529,"12,214","3,274",38,154
,Gyeonggi Yangju-si,"10,334","1,155",0,116,"6,399","2,424",0,240
,Gyeonggi Pocheon-si,"5,496",995,0,182,"3,306",588,139,286
,Gyeonggi Yeoju-si,"3,628",154,158,67,"2,841",353,0,55
,Gyeonggi Yeoncheon-gun,"1,258",352,134,78,369,175,0,150
,Gyeonggi Gapyeong-gun,"1,796",295,74,115,974,235,0,103
,Gyeonggi Yangpyeong-gun,"3,219",774,51,85,"2,045",190,0,74
Gangwon,Gangwon Total,"49,912","7,669","8,557","2,540","20,561","7,386",100,"3,099"
,Gangwon Chuncheon-si,"9,799","1,233","1,203",652,"3,808","2,131",50,722
,Gangwon Wonju-si,"12,824","1,480","1,016",455,"6,290","2,711",30,842
,Gangwon Gangneung-si,"6,298",482,"1,361",88,"3,342",662,20,343
,Gangwon Donghae-si,"3,089",184,738,223,"1,226",622,0,96
,Gangwon Taebaek-si,"1,358",689,163,75,184,97,0,150
,Gangwon Sokcho-si,"2,831",591,540,144,"1,204",352,0,0
,Gangwon Samcheok-si,"1,696",446,201,0,719,301,0,29
,Gangwon Hongcheon-gun,"2,154",199,387,179,"1,117",104,0,168
,Gangwon Hoengseong-gun,"1,367",115,642,119,331,100,0,60
,Gangwon Yeongwol-gun,752,99,394,125,94,40,0,0
,Gangwon Pyongchang-gun,927,211,228,99,350,39,0,0
,Gangwon Jeongseon-gun,999,356,624,0,0,19,0,0
,Gangwon Cheolwon-gun,"1,683",154,182,64,"1,109",32,0,142
,Gangwon Hwacheon-gun,859,327,120,0,279,40,0,93
,Gangwon Yanggu-gun,833,144,388,91,83,20,0,107
,Gangwon Inje-gun,"1,238",353,161,169,131,77,0,347
,Gangwon Goseong-gun,684,409,0,0,255,20,0,0
,Gangwon Yangyang-gun,521,197,209,57,39,19,0,0
North Chungcheong,North Chungcheong Total,"60,113","5,789","10,150","2,684","30,649","8,120",114,"2,607"
,North Chungcheong Cheongju-si,"35,195","2,102","4,139",873,"19,865","6,383",0,"1,833"
,North Chungcheong Chungju-si,"7,225",639,"1,417",242,"4,236",641,20,30
