Classification,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Ulsan Buk-gu,"8,789",676,126,250,"5,743","1,630",39,325
,Ulsan Ulju-gun ,"7,802",615,607,266,"5,013",630,0,671
Sejong,Sejong Total,"17,687","2,059",933,397,"8,505","3,459",0,"2,334"
,Sejong,"17,687","2,059",933,397,"8,505","3,459",0,"2,334"
Gyeonggi,Gyeonggi Total,"467,296","52,474","5,801","10,089","255,158","122,799","2,055","18,920"
,Gyeonggi Goyang-si,"31,778","4,132",235,196,"15,969","9,312",254,"1,680"
,Gyeonggi Uijeongbu-si,"16,559","1,205",67,220,"9,690","4,959",20,398
,Gyeonggi Namyangju-si,"27,144","2,817",287,"1,076","15,727","7,131",39,67
,Gyeonggi Paju-si,"17,162",947,462,39,"9,238","5,207",39,"1,230"
,Gyeonggi Guri-si,"6,007",882,0,232,"2,751","2,032",0,110
,Gyeonggi Pocheon-si,"5,607",995,0,191,"3,328",674,139,280
,Gyeonggi Yangju-si,"10,603","1,140",0,116,"6,617","2,490",0,240
,Gyeonggi Dongducheon-si,"4,103",553,49,102,"2,465",934,0,0
,Gyeonggi Gapyeong-gun,"1,846",295,74,100,"1,059",215,0,103
,Gyeonggi Yeoncheon-gun,"1,344",352,134,78,435,195,0,150
,Gyeonggi Suwon-si,"39,203","3,781",260,544,"19,398","12,624",89,"2,507"
,Gyeonggi Seongnam-si,"26,541","6,028",84,990,"8,814","6,675",222,"3,728"
,Gyeonggi Anyang-si,"17,305","2,342",103,54,"8,762","5,502",67,475
,Gyeonggi Bucheon-si,"23,434","2,398",229,"1,067","13,400","5,524",119,697
,Gyeonggi Gwangmyeong-si,"10,776","2,145",135,178,"4,762","3,227",75,254
,Gyeonggi Pyeongtaek-si,"18,031","1,297",257,261,"11,805","3,464",39,908
,Gyeonggi Ansan-si,"23,158","2,166",0,509,"15,085","4,727",64,607
,Gyeonggi Gwacheon-si,"2,700",652,84,0,464,375,174,951
,Gyeonggi Osan-si,"9,482","2,558",43,155,"3,727","2,828",0,171
,Gyeonggi Siheung-si,"18,563","2,460",369,49,"11,163","4,397",0,125
,Gyeonggi Gunpo-si,"9,482","1,411",49,168,"4,772","2,738",80,264
,Gyeonggi Uiwang-si,"5,614",894,475,578,"1,907","1,416",110,234
,Gyeonggi Hanam-si,"9,094",933,0,50,"5,302","2,475",246,88
,Gyeonggi Yongin-si,"40,293","2,140",507,"1,506","23,439","10,741",188,"1,772"
,Gyeonggi Icheon-si,"10,487",862,0,191,"7,958",993,20,463
,Gyeonggi Anseong-si,"8,840",753,225,215,"5,633","1,881",0,133
,Gyeonggi Gimpo-si,"15,934","1,741",639,0,"7,466","5,920",20,148
,Gyeonggi Hwaseong-si,"31,665","2,641",763,444,"16,818","10,145",0,854
,Gyeonggi Gwangju-si,"17,500","1,101",58,529,"12,246","3,361",51,154
,Gyeonggi Yeoju-si,"3,657",79,162,67,"2,852",442,0,55
,Gyeonggi Yangpyeong-gun,"3,384",774,51,184,"2,106",195,0,74
Gangwon,Gangwon Total,"51,285","6,842","8,676","2,619","22,188","8,014",100,"2,846"
,Gangwon Chuncheon-si,"10,014","1,089","1,322",652,"4,065","2,214",50,622
,Gangwon Wonju-si,"13,181","1,509","1,016",455,"6,427","3,045",30,699
,Gangwon Gangneung-si,"6,614",264,"1,361",88,"3,834",813,20,234
,Gangwon Donghae-si,"3,159",184,738,223,"1,275",643,0,96
,Gangwon Taebaek-si,"1,397",689,163,75,223,97,0,150
,Gangwon Sokcho-si,"2,941",260,540,144,"1,527",371,0,99
,Gangwon Samcheok-si,"1,618",426,201,0,661,301,0,29
,Gangwon Hongcheon-gun,"2,139",160,387,194,"1,126",104,0,168
,Gangwon Hoengseong-gun,"1,328",115,642,119,292,100,0,60
,Gangwon Yeongwol-gun,791,99,394,125,133,40,0,0
,Gangwon Pyongchang-gun,962,219,228,99,377,39,0,0
,Gangwon Jeongseon-gun,999,356,624,0,0,19,0,0
,Gangwon Cheolwon-gun,"1,865",154,182,103,"1,252",32,0,142
,Gangwon Hwacheon-gun,887,327,120,0,307,40,0,93
,Gangwon Yanggu-gun,903,99,388,116,173,20,0,107
,Gangwon Inje-gun,"1,258",353,161,169,131,97,0,347
,Gangwon Goseong-gun,708,409,0,0,279,20,0,0
,Gangwon Yangyang-gun,521,130,209,57,106,19,0,0
North Chungcheong,North Chungcheong Total,"61,211","4,661","10,628","2,704","32,063","8,539",163,"2,453"
,North Chungcheong Cheongju-si,"35,728","1,448","4,273",873,"20,807","6,668",0,"1,659"
,North Chungcheong Chungju-si,"7,460",540,"1,639",242,"4,295",694,20,30
,North Chungcheong Jecheon-si,"3,895",616,718,501,"1,585",258,0,217
,North Chungcheong Boeun-gun,590,99,164,0,263,39,0,25
,North Chungcheong Okcheon-gun,"1,208",216,212,90,561,83,20,26
,North Chungcheong Yeongdong-gun,"1,103",119,609,49,242,20,39,25
,North Chungcheong Jincheon-gun,"3,843",607,699,337,"1,597",289,0,314
,North Chungcheong Goesan-gun,814,130,394,195,0,36,0,59
,North Chungcheong Eumseong-gun,"3,861",517,"1,109",194,"1,516",392,84,49
,North Chungcheong Jeungpyong-gun,"1,749",102,341,0,"1,197",60,0,49
,North Chungcheong Danyang-gun,960,267,470,223,0,0,0,0
South Chungcheong,South Chungcheong Total,"86,149","5,642","10,045","3,368","45,870","17,581",66,"3,577"
