Classification,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Seoul Gangdong-gu,"12,454","5,405",87,76,"4,957","1,529",20,380
Busan,Total,"76,146","18,951","6,465","2,436","34,283","9,987",243,"3,781"
,Busan Jung-gu,766,247,42,0,343,39,0,95
,Busan Seo-gu,"1,572",718,84,178,462,130,0,0
,Busan Dong-gu,"1,755",584,198,140,556,59,0,218
,Busan Yeongdo-gu,"2,248",984,98,351,518,149,0,148
,Busan Busanjin-gu,"6,096","1,697",366,106,"2,576",791,30,530
,Busan Dongnae-gu,"6,289","2,185",317,0,"3,079",476,82,150
,Busan Nam-gu,"5,702","1,307",518,133,"2,379",880,59,426
,Busan Buk-gu,"6,751",824,443,0,"4,249","1,157",39,39
,Busan Haeundae-gu,"8,181","1,612","1,136",101,"3,738","1,313",0,281
,Busan Saha-gu,"7,634","2,112",729,676,"3,132",821,0,164
,Busan Geumjeong-gu,"4,279","1,205",401,60,"2,073",323,0,217
,Busan Gangseo-gu,"5,856",933,685,0,"2,264","1,368",0,606
,Busan Yeonje-gu,"4,476",970,216,266,"2,265",403,0,356
,Busan Suyeong-gu,"3,410",844,462,176,"1,678",232,0,18
,Busan Sasang-gu,"4,194","1,229",175,249,"1,843",678,0,20
,Busan Gijang-gun,"6,937","1,500",595,0,"3,128","1,168",33,513
Daegu,Total,"59,434","12,443","11,318","1,182","25,637","5,908",114,"2,832"
,Daegu Jung-gu,"1,855",527,240,71,639,151,0,227
,Daegu Dong-gu,"9,652","1,649","1,581",124,"4,672",916,20,690
,Daegu Seo-gu,"3,749",866,304,217,"2,057",266,0,39
,Daegu Nam-gu,"2,936",544,"1,264",190,740,80,20,98
,Daegu Buk-gu,"11,185","1,840","1,934",119,"5,492","1,367",20,413
,Daegu Suseong-gu,"8,060","2,162","2,954",242,"1,562",461,39,640
,Daegu Dalseo-gu,"12,415","2,342","1,765",219,"6,024","1,622",0,443
,Daegu Dalseong-gun,"9,582","2,513","1,276",0,"4,451","1,045",15,282
Incheon,Total,"80,896","16,470","1,106",964,"42,812","13,794",76,"5,674"
,Incheon Jung-gu,"4,738","1,552",77,0,999,895,0,"1,215"
,Incheon Dong-gu,"1,891",787,0,0,731,209,0,164
,Incheon Michuhol-gu,"10,405","1,745",251,230,"6,417","1,275",0,487
,Incheon Yeonsu-gu,"10,550","2,872",0,148,"3,939","2,404",0,"1,187"
,Incheon Namdong-gu,"13,295","2,510",258,154,"7,749","2,105",0,519
,Incheon Bupyong-gu,"12,773","2,004",400,39,"7,441","2,213",25,651
,Incheon Gyeyang-gu,"7,763","1,100",0,0,"5,447","1,016",20,180
,Incheon Seo-gu,"18,231","3,168",120,333,"9,828","3,657",31,"1,094"
,Incheon Ganghwa-gun,737,396,0,60,222,20,0,39
,Incheon Ongjin-gun,513,336,0,0,39,0,0,138
Gwangju,Total,"46,531","7,424","8,705","1,757","20,066","6,556",71,"1,952"
,Gwangju Dong-gu,"3,206",689,591,195,"1,120",157,0,454
,Gwangju Seo-gu,"8,176","1,235","1,857",92,"3,241","1,345",0,406
,Gwangju Nam-gu,"6,174","1,072","1,520",478,"2,337",670,0,97
,Gwangju Buk-gu,"13,438","1,983","2,744",640,"5,786","1,769",0,516
,Gwangju Gwangsan-gu,"15,537","2,445","1,993",352,"7,582","2,615",71,479
Daejeon,Total,"39,145","5,869","3,424",550,"13,468","10,489",259,"5,086"
,Daejeon Dong-gu,"6,163","1,216",988,129,"2,325","1,238",20,247
,Daejeon Jung-gu,"5,015",980,488,95,"1,946","1,211",135,160
,Daejeon Seo-gu,"11,381","1,404",496,107,"3,989","3,984",39,"1,362"
,Daejeon Yuseong-gu,"12,107","1,158","1,017",112,"3,759","2,989",65,"3,007"
,Daejeon Daedeok-gu,"4,479","1,111",435,107,"1,449","1,067",0,310
Ulsan,Total,"31,746","5,025",965,393,"18,368","4,057",187,"2,751"
,Ulsan Jung-gu,"5,225",414,182,0,"3,389",522,0,718
,Ulsan Nam-gu,"7,169","1,259",54,0,"3,992","1,295",152,417
,Ulsan Dong-gu,"5,193",725,0,0,"3,226",594,0,648
,Ulsan Buk-gu,"7,767","1,582",145,191,"4,332","1,185",35,297
,Ulsan Ulju-gun ,"6,392","1,045",584,202,"3,429",461,0,671
Sejong,Sejong Total,"18,789","6,059",743,359,"6,387","2,224",0,"3,017"
,Sejong,"18,789","6,059",743,359,"6,387","2,224",0,"3,017"
Gyeonggi,Gyeonggi Total,"424,321","88,508","4,688","7,884","212,255","86,053","2,062","22,871"
,Gyeonggi Suwon-si,"32,443","5,020",260,505,"15,685","7,983",89,"2,901"
,Gyeonggi Seongnam-si,"24,952","8,281",71,643,"6,031","4,333",222,"5,371"
,Gyeonggi Uijeongbu-si,"14,084","2,676",0,138,"7,575","3,198",20,477
,Gyeonggi Anyang-si,"14,566","2,889",103,54,"7,122","3,698",133,567
,Gyeonggi Bucheon-si,"19,693","3,105",149,834,"10,492","4,262",126,725
,Gyeonggi Gwangmyeong-si,"7,328","2,288",56,148,"2,513","2,016",53,254
,Gyeonggi Pyeongtaek-si,"19,304","4,374",257,320,"10,407","2,881",31,"1,034"
,Gyeonggi Dongducheon-si,"2,948",571,49,63,"1,672",543,0,50
,Gyeonggi Ansan-si,"19,920","3,052",0,384,"12,850","3,023",62,549
,Gyeonggi Goyang-si,"27,937","6,424",157,196,"13,316","6,003",236,"1,605"
,Gyeonggi Gwacheon-si,"2,977","1,175",84,0,320,277,154,967
,Gyeonggi Guri-si,"4,780","1,122",0,113,"1,885","1,550",0,110
,Gyeonggi Namyangju-si,"23,973","5,144",183,856,"12,837","4,669",39,245
,Gyeonggi Osan-si,"8,893","3,042",43,204,"3,219","2,186",0,199
,Gyeonggi Siheung-si,"20,899","5,492",348,176,"10,174","4,359",0,350
,Gyeonggi Gunpo-si,"7,653","1,632",49,134,"3,684","1,690",20,444
,Gyeonggi Uiwang-si,"5,119","1,327",475,446,"1,500","1,058",79,234
,Gyeonggi Hanam-si,"11,095","4,114",0,50,"4,403","2,065",245,218
,Gyeonggi Yongin-si,"34,494","3,560",401,731,"20,946","6,568",268,"2,020"
,Gyeonggi Paju-si,"15,979","2,889",205,36,"7,723","3,691",39,"1,396"
,Gyeonggi Icheon-si,"8,899","1,131",0,75,"6,560",670,0,463
,Gyeonggi Anseong-si,"7,165","1,093",225,205,"4,408","1,234",0,0
,Gyeonggi Gimpo-si,"16,555","3,765",618,0,"7,255","4,631",20,266
,Gyeonggi Hwaseong-si,"32,556","7,040",566,475,"15,365","7,834",49,"1,227"
,Gyeonggi Gwangju-si,"16,811","2,067",58,529,"11,515","2,450",38,154
,Gyeonggi Yangju-si,"9,982","2,081",0,116,"5,531","1,954",0,300
,Gyeonggi Pocheon-si,"4,776","1,176",0,226,"2,466",466,139,303
,Gyeonggi Yeoju-si,"2,816",424,136,67,"1,822",312,0,55
,Gyeonggi Yeoncheon-gun,"1,034",352,85,0,330,117,0,150
,Gyeonggi Gapyeong-gun,"1,643",365,59,111,730,215,0,163
,Gyeonggi Yangpyeong-gun,"3,047",837,51,49,"1,919",117,0,74
Gangwon,Total,"45,475","9,500","7,762","2,032","16,760","5,306",96,"4,019"
,Gangwon Chuncheon-si,"9,103","1,610","1,195",419,"3,354","1,647",30,848
,Gangwon Wonju-si,"11,436","2,023",815,375,"5,313","1,805",46,"1,059"
,Gangwon Gangneung-si,"5,848",875,"1,220",88,"2,735",438,20,472
,Gangwon Donghae-si,"2,922",286,653,223,"1,028",530,0,202
,Gangwon Taebaek-si,"1,276",689,163,75,99,100,0,150
,Gangwon Sokcho-si,"2,825",844,540,144,911,227,0,159
,Gangwon Samcheok-si,"1,368",431,201,0,359,249,0,128
,Gangwon Hongcheon-gun,"1,776",256,309,131,808,104,0,168
,Gangwon Hoengseong-gun,"1,232",115,627,79,331,20,0,60
,Gangwon Yeongwol-gun,654,99,355,66,94,40,0,0
,Gangwon Pyongchang-gun,722,352,147,99,124,0,0,0
,Gangwon Jeongseon-gun,"1,041",332,624,0,0,0,0,85
,Gangwon Cheolwon-gun,"1,553",154,182,103,925,32,0,157
,Gangwon Hwacheon-gun,856,336,120,0,230,56,0,114
,Gangwon Yanggu-gun,746,153,310,91,65,20,0,107
,Gangwon Inje-gun,"1,116",339,138,100,191,38,0,310
,Gangwon Goseong-gun,563,409,0,0,154,0,0,0
,Gangwon Yangyang-gun,438,197,163,39,39,0,0,0
North Chungcheong,Total,"54,338","8,678","9,621","2,115","24,960","6,033",59,"2,872"
,North Chungcheong Cheongju-si,"32,088","3,771","3,933",737,"16,840","4,801",0,"2,006"
,North Chungcheong Chungju-si,"6,410","1,268","1,447",246,"2,880",424,20,125
,North Chungcheong Jecheon-si,"3,333",749,676,271,"1,249",140,0,248
,North Chungcheong Boeun-gun,550,99,179,0,247,0,0,25
,North Chungcheong Okcheon-gun,873,300,212,70,257,19,0,15
,North Chungcheong Yeongdong-gun,"1,050",197,551,49,189,0,39,25
,North Chungcheong Jincheon-gun,"3,577","1,068",615,245,"1,069",289,0,291
,North Chungcheong Goesan-gun,691,130,343,159,0,20,0,39
,North Chungcheong Eumseong-gun,"3,227",589,978,194,"1,117",300,0,49
,North Chungcheong Jeungpyong-gun,"1,782",240,341,0,"1,112",40,0,49
,North Chungcheong Danyang-gun,757,267,346,144,0,0,0,0
South Chungcheong,Total,"72,870","9,495","8,695","2,369","35,682","12,402",70,"4,157"
,South Chungcheong Cheonan-si,"22,216","2,805",551,390,"11,891","5,422",70,"1,087"
,South Chungcheong Gongju-si,"2,387",634,463,211,871,208,0,0
,South Chungcheong Boryeong-si,"2,539",459,458,234,"1,018",240,0,130
,South Chungcheong Asan-si,"16,238","2,021",920,107,"9,005","3,265",0,920
,South Chungcheong Seosan-si,"6,872",660,983,192,"3,585","1,004",0,448
,South Chungcheong Nonsan-si,"3,807",315,786,372,"1,668",403,0,263
,South Chungcheong Gyerong-si,"1,482",149,99,85,676,319,0,154
,South Chungcheong Geumsan-gun,"1,089",296,252,91,268,39,0,143
,South Chungcheong Buyeo-gun,"1,267",199,762,0,208,98,0,0
,South Chungcheong Seocheon-gun,"1,262",215,623,162,182,20,0,60
,South Chungcheong Cheongyang-gun,460,110,177,0,92,81,0,0
,South Chungcheong Hongseong-gun,"2,670",499,681,25,902,260,0,303
,South Chungcheong Yesan-gun,"1,481",156,697,52,386,100,0,90
,South Chungcheong Taean-gun,"1,430",68,435,78,606,40,0,203
,South Chungcheong Dangjin-si,"7,670",909,808,370,"4,324",903,0,356
North Jeolla,Total,"51,748","7,866","9,676","5,301","21,030","6,053",20,"1,802"
,North Jeolla Jeonju-si,"21,288","2,728","3,205",985,"10,352","3,021",20,977
,North Jeolla Gunsan-si,"8,211","1,461","1,521",783,"3,322",893,0,231
,North Jeolla Iksan-si,"7,581",968,"1,388",766,"3,099","1,090",0,270
,North Jeolla Jeongeup-si,"2,540",388,703,188,921,301,0,39
,North Jeolla Namwon-si,"2,775",313,588,443,"1,199",232,0,0
,North Jeolla Gimje-si,"1,708",289,566,334,335,135,0,49
,North Jeolla Wanju-gun,"3,286",523,844,433,"1,112",248,0,126
,North Jeolla Jinan-gun,396,139,0,257,0,0,0,0
,North Jeolla Muju-gun,415,249,0,90,76,0,0,0
,North Jeolla Jangsu-gun,444,155,269,0,0,20,0,0
,North Jeolla Imsil-gun,585,0,53,493,0,0,0,39
,North Jeolla Sunchang-gun,451,246,85,120,0,0,0,0
,North Jeolla Gochang-gun,"1,157",245,454,247,116,55,0,40
,North Jeolla Buan-gun,911,162,0,162,498,58,0,31
South Jeolla,Total,"56,047","10,964","13,270","3,171","20,792","4,956",69,"2,825"
,South Jeolla Mokpo-si,"8,934",776,"1,734",0,"4,982","1,243",49,150
,South Jeolla Yeosu-si,"8,127","1,310","2,039",284,"3,473",449,0,572
,South Jeolla Suncheon-si,"9,208","1,321",952,289,"4,903","1,344",0,399
,South Jeolla Naju-si,"4,137","1,183",671,0,"1,049",542,0,692
,South Jeolla Gwangyang-si,"6,936","2,006",921,79,"3,196",418,0,316
,South Jeolla Damyang-gun,892,290,104,99,320,20,0,59
,South Jeolla Gokseong-gun,476,328,78,70,0,0,0,0
,South Jeolla Gurye-gun,500,224,0,224,32,20,0,0
,South Jeolla Goheung-gun,"1,143",166,473,244,240,20,0,0
,South Jeolla Boseong-gun,817,309,330,75,83,20,0,0
,South Jeolla Hwasun-gun,"1,688",477,492,36,476,207,0,0
,South Jeolla Jangheung-gun,689,354,129,126,0,60,20,0
,South Jeolla Gangjin-gun,891,39,342,283,227,0,0,0
,South Jeolla Haenam-gun,"1,576",187,850,117,422,0,0,0
,South Jeolla Yeongam-gun,"2,075",258,964,303,284,106,0,160
,South Jeolla Muan-gun,"2,497",425,564,169,794,328,0,217
,South Jeolla Hampyeong-gun,806,149,638,0,0,19,0,0
,South Jeolla Yeongwang-gun,"1,362",385,484,294,39,40,0,120
,South Jeolla Jangseong-gun,906,261,353,79,33,40,0,140
,South Jeolla Wando-gun,"1,194",283,385,247,239,40,0,0
,South Jeolla Jindo-gun,671,93,385,153,0,40,0,0
,South Jeolla Sinan-gun,522,140,382,0,0,0,0,0
North Gyeongsang,Total,"72,231","10,471","6,700","2,441","38,701","9,196",75,"4,647"
,North Gyeongsang Pohang-si,"14,640","1,038",981,104,"9,534","2,092",0,891
,North Gyeongsang Gyeongju-si,"6,507",560,670,209,"3,713",784,0,571
,North Gyeongsang Gimcheon-si,"3,651",479,578,0,"1,345",588,0,661
,North Gyeongsang Andong-si,"3,967",759,707,148,"1,413",413,0,527
,North Gyeongsang Gumi-si,"15,653","1,299",869,516,"8,845","3,193",75,856
,North Gyeongsang Yeongju-si,"2,406",528,215,421,985,187,0,70
,North Gyeongsang Yeongcheon-si,"2,139",545,330,0,"1,026",150,0,88
,North Gyeongsang Sangju-si,"1,300",476,97,89,489,119,0,30
,North Gyeongsang Mungyeong-si,"1,281",199,200,78,586,191,0,27
,North Gyeongsang Gyeongsan-si,"8,512","1,097",742,337,"5,429",587,0,320
,North Gyeongsang Gunwi-gun,269,70,160,0,39,0,0,0
,North Gyeongsang Uiseong-gun,896,275,490,111,0,20,0,0
,North Gyeongsang Cheongsong-gun,350,177,47,77,0,10,0,39
,North Gyeongsang Yeongyang-gun,220,181,0,39,0,0,0,0
,North Gyeongsang Yeongdeok-gun,779,343,0,0,436,0,0,0
,North Gyeongsang Cheongdo-gun,449,261,47,0,121,20,0,0
,North Gyeongsang Goryeong-gun,682,219,100,0,363,0,0,0
,North Gyeongsang Seongju-gun,566,235,0,0,277,54,0,0
,North Gyeongsang Chilgok-gun,"4,438",424,269,149,"3,116",431,0,49
,North Gyeongsang Yecheon-gun,"1,618",456,159,75,530,300,0,98
,North Gyeongsang Bonghwa-gun,452,230,39,60,85,38,0,0
,North Gyeongsang Uljin-gun,"1,366",530,0,28,369,19,0,420
,North Gyeongsang Ulleung-gun,90,90,0,0,0,0,0,0
South Gyeongsang,Total,"96,773","18,999","7,094","2,759","46,643","16,456",195,"4,627"
,South Gyeongsang Changwon-si,"30,355","5,846","2,062",816,"13,635","5,971",0,"2,025"
,South Gyeongsang Jinju-si,"11,737","1,763",530,145,"7,136","1,411",0,752
,South Gyeongsang Tongyeong-si,"3,324","1,008",213,0,"1,722",211,0,170
,South Gyeongsang Sacheon-si,"4,342","1,072",257,242,"2,043",294,0,434
,South Gyeongsang Gimhae-si,"17,144","3,624",615,162,"8,867","3,717",0,159
,South Gyeongsang Miryang-si,"2,327",384,833,39,745,277,0,49
,South Gyeongsang Geoje-si,"7,437","1,250",327,67,"3,684","1,496",17,596
,South Gyeongsang Yangsan-si,"12,128","1,379","1,274",259,"6,059","2,692",178,287
,South Gyeongsang Uiryeong-gun,323,161,0,138,24,0,0,0
,South Gyeongsang Haman-gun,"1,374",349,280,0,467,208,0,70
,South Gyeongsang Changnyeong-gun,"1,099",314,272,80,398,0,0,35
,South Gyeongsang Goseong-gun,"1,137",220,169,193,536,19,0,0
,South Gyeongsang Namhae-gun,519,158,0,240,121,0,0,0
,South Gyeongsang Hadong-gun,652,257,0,127,218,0,0,50
,South Gyeongsang Sancheong-gun,422,351,0,71,0,0,0,0
,South Gyeongsang Hamgyang-gun,567,350,197,0,0,20,0,0
,South Gyeongsang Geochang-gun,"1,371",318,0,34,919,100,0,0
,South Gyeongsang Hapcheon-gun,515,195,65,146,69,40,0,0
Jeju,Total,"26,568","2,704","7,060","2,952","10,648","1,754",0,"1,450"
,Jeju Jeju-si,"19,465","1,507","4,495","1,827","8,924","1,506",0,"1,206"
,Jeju Seogwipo-si,"7,103","1,197","2,565","1,125","1,724",248,0,244
