Classification,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
Nation Total,,"1,732,324","230,508","128,810","54,900","886,818","344,412","5,451","81,425"
Seoul,Total,"223,628","103,678","1,533","4,954","65,662","25,770",805,"21,226"
,Seoul Jongno-gu,"4,409","1,993",100,49,193,39,0,"2,035"
,Seoul Jung-gu,"4,118","1,850",0,304,237,166,0,"1,561"
,Seoul Yongsan-gu,"4,983","2,159",89,295,999,630,0,811
,Seoul Seongdong-gu,"7,305","4,894",0,202,"1,022",817,0,370
,Seoul Gwangjin-gu,"6,633","3,031",0,0,"2,645",727,49,181
,Seoul Dongdaemun-gu,"7,979","3,855",0,204,"2,571","1,023",0,326
,Seoul Jungnang-gu,"9,760","4,166",0,325,"4,019",952,26,272
,Seoul Seongbuk-gu,"8,671","4,298",109,707,"1,999","1,145",49,364
,Seoul Gangbuk-gu,"6,489","2,723",74,119,"3,089",340,43,101
,Seoul Dobong-gu,"7,256","3,108",33,27,"2,825",955,44,264
,Seoul Nowon-gu,"10,414","4,725",148,0,"2,518","2,663",0,360
,Seoul Eunpyeong-gu,"11,693","4,676",0,248,"5,885",690,20,174
,Seoul Seodaemun-gu,"6,590","3,371",0,82,"1,995",598,20,524
,Seoul Mapo-gu,"8,409","4,639",0,210,"1,508",879,153,"1,020"
,Seoul Yangcheon-gu,"9,581","4,467",0,43,"2,948","1,719",0,404
,Seoul Gangseo-gu,"14,043","5,405",173,376,"4,816","2,197",82,994
,Seoul Guro-gu,"11,595","5,331",229,295,"3,548","1,656",59,477
,Seoul Geumcheon-gu,"6,932","2,965",223,573,"2,399",388,0,384
,Seoul Yeongdeungpo-gu,"11,461","4,536",79,66,"2,499","1,177",0,"3,104"
,Seoul Dongjak-gu,"7,561","4,211",0,101,"1,940",941,49,319
,Seoul Gwanak-gu,"8,988","4,731",82,299,"2,290",905,0,681
,Seoul Seocho-gu,"10,016","5,408",0,237,"1,372",663,74,"2,262"
,Seoul Gangnam-gu,"10,725","5,150",0,0,"2,472",683,69,"2,351"
,Seoul Songpa-gu,"15,563","6,581",107,116,"4,916","2,288",48,"1,507"
