Classification,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
Nation Total,,"1,756,603","209,727","131,820","56,514","915,855","360,397","5,506","76,784"
Seoul,Seoul Total,"268,100","81,612","2,266","6,366","112,384","46,895",928,"17,649"
,Seoul Jongno-gu,"4,702","1,956",119,149,527,90,0,"1,861"
,Seoul Jung-gu,"4,279","1,932",0,378,419,264,0,"1,286"
,Seoul Yongsan-gu,"5,554","1,925",89,374,"1,432",981,33,720
,Seoul Seongdong-gu,"8,243","4,173",0,202,"2,199","1,336",0,333
,Seoul Gwangjin-gu,"9,203","2,343",0,147,"5,265","1,231",85,132
,Seoul Dongdaemun-gu,"9,413","3,104",0,204,"3,968","1,786",0,351
,Seoul Jungnang-gu,"11,862","3,092",114,276,"6,328","1,894",0,158
,Seoul Seongbuk-gu,"11,648","3,623",181,"1,031","4,380","2,091",37,305
,Seoul Gangbuk-gu,"8,817","2,310",74,157,"5,254",894,27,101
,Seoul Dobong-gu,"10,297","2,271",33,74,"5,432","2,254",39,194
,Seoul Nowon-gu,"14,186","3,806",188,20,"4,599","5,183",30,360
,Seoul Eunpyeong-gu,"14,306","2,238",99,232,"10,044","1,578",39,76
,Seoul Seodaemun-gu,"7,372","2,812",0,156,"2,930",930,20,524
,Seoul Mapo-gu,"9,456","4,116",0,266,"2,708","1,418",153,795
,Seoul Yangcheon-gu,"12,968","4,240",0,97,"5,437","2,886",16,292
,Seoul Gangseo-gu,"17,788","4,250",272,170,"8,676","3,864",39,517
,Seoul Guro-gu,"13,703","3,723",311,493,"5,706","2,827",117,526
,Seoul Geumcheon-gu,"8,344","2,515",223,783,"3,401",977,14,431
,Seoul Yeongdeungpo-gu,"12,165","3,359",123,40,"4,188","1,848",0,"2,607"
,Seoul Dongjak-gu,"9,747","3,672",103,101,"3,899","1,653",49,270
,Seoul Gwanak-gu,"11,841","4,067",171,455,"4,485","2,003",0,660
,Seoul Seocho-gu,"10,285","4,061",0,237,"2,395","1,516",82,"1,994"
,Seoul Gangnam-gu,"11,602","4,486",0,0,"3,894","1,498",69,"1,655"
,Seoul Songpa-gu,"16,899","3,988",79,156,"7,658","3,651",79,"1,288"
,Seoul Gangdong-gu,"13,420","3,550",87,168,"7,160","2,242",0,213
Busan,Busan Total,"89,040","12,405","7,148","2,887","48,305","14,896",428,"2,971"
,Busan Jung-gu,955,346,42,0,433,39,0,95
,Busan Seo-gu,"2,061",727,144,139,908,143,0,0
,Busan Dong-gu,"2,174",550,254,140,827,152,0,251
,Busan Yeongdo-gu,"2,817",914,98,453,"1,087",195,0,70
,Busan Busanjin-gu,"7,340","1,357",408,260,"3,622","1,114",49,530
,Busan Dongnae-gu,"6,167",711,399,0,"3,961",844,82,170
,Busan Nam-gu,"6,609","1,212",518,182,"3,121","1,204",52,320
,Busan Buk-gu,"8,545",465,515,49,"5,512","1,890",75,39
,Busan Haeundae-gu,"10,220","1,046","1,273",101,"5,789","1,751",19,241
,Busan Saha-gu,"9,884","1,590",890,670,"4,984","1,646",0,104
,Busan Geumjeong-gu,"5,460",681,450,60,"3,366",634,52,217
,Busan Gangseo-gu,"4,960",336,685,0,"2,288","1,192",39,420
,Busan Yeonje-gu,"4,757",426,216,408,"2,954",526,0,227
,Busan Suyeong-gu,"3,873",357,462,176,"2,494",366,0,18
,Busan Sasang-gu,"5,695",951,166,249,"3,151","1,158",0,20
,Busan Gijang-gun,"7,523",736,628,0,"3,808","2,042",60,249
Daegu,Daegu Total,"74,696","3,984","14,324","2,138","42,168","9,855",117,"2,110"
,Daegu Jung-gu,"1,976",155,467,71,881,190,0,212
,Daegu Dong-gu,"11,671",807,"2,046",281,"6,810","1,173",19,535
,Daegu Seo-gu,"6,255",375,479,217,"4,510",635,0,39
,Daegu Nam-gu,"3,814",117,"1,682",297,"1,470",167,20,61
,Daegu Buk-gu,"14,667",539,"2,614",249,"8,552","2,425",20,268
,Daegu Suseong-gu,"10,539",411,"3,466",414,"4,537","1,061",39,611
,Daegu Dalseo-gu,"16,884",725,"2,155",609,"10,164","2,897",0,334
,Daegu Dalseong-gun,"8,890",855,"1,415",0,"5,244","1,307",19,50
Incheon,Incheon Total,"93,938","9,991","1,106","1,221","56,726","20,887",230,"3,777"
,Incheon Jung-gu,"4,078",779,77,55,"1,105","1,213",0,849
,Incheon Dong-gu,"2,464",684,0,0,"1,139",477,0,164
,Incheon Michuhol-gu,"12,253","1,313",251,188,"8,231","1,767",78,425
,Incheon Yeonsu-gu,"9,520","1,248",0,43,"4,779","2,985",0,465
,Incheon Namdong-gu,"17,186","1,832",258,230,"10,909","3,520",0,437
,Incheon Bupyong-gu,"16,386","1,235",400,306,"9,883","3,929",77,556
,Incheon Gyeyang-gu,"11,627",789,0,90,"8,329","2,192",47,180
,Incheon Seo-gu,"18,841","1,384",120,249,"11,779","4,704",28,577
,Incheon Ganghwa-gun,"1,088",455,0,60,468,80,0,25
,Incheon Ongjin-gun,495,272,0,0,104,20,0,99
Gwangju,Gwangju Total,"63,161","2,792","12,108","1,823","32,995","10,925",414,"2,104"
,Gwangju Dong-gu,"3,196",109,821,200,"1,473",169,0,424
,Gwangju Seo-gu,"10,964",885,"2,024",92,"4,818","2,583",109,453
,Gwangju Nam-gu,"7,494",271,"1,631",540,"3,813","1,082",109,48
,Gwangju Buk-gu,"17,433",935,"3,775",712,"8,686","2,613",48,664
,Gwangju Gwangsan-gu,"24,074",592,"3,857",279,"14,205","4,478",148,515
Daejeon,Daejeon Total,"53,688","2,148","3,711",720,"24,524","17,653",477,"4,455"
,Daejeon Dong-gu,"8,769",313,"1,074",134,"5,143","1,841",97,167
,Daejeon Jung-gu,"7,728",257,509,116,"4,577","1,951",158,160
,Daejeon Seo-gu,"15,925",579,496,207,"6,619","6,450",151,"1,423"
,Daejeon Yuseong-gu,"14,593",414,"1,110",112,"4,974","5,561",71,"2,351"
,Daejeon Daedeok-gu,"6,673",585,522,151,"3,211","1,850",0,354
Ulsan,Total,"40,305","2,538",983,516,"27,912","6,031",178,"2,147"
,Ulsan Jung-gu,"7,222",331,196,0,"5,227",857,40,571
,Ulsan Nam-gu,"9,747",728,54,0,"6,459","2,012",99,395
,Ulsan Dong-gu,"6,993",595,0,0,"5,106",904,0,388
,Ulsan Buk-gu,"8,361",309,126,250,"5,703","1,609",39,325
,Ulsan Ulju-gun ,"7,982",575,607,266,"5,417",649,0,468
Sejong,Sejong Total,"14,658","1,344","1,016",397,"6,627","2,945",0,"2,329"
,Sejong,"14,658","1,344","1,016",397,"6,627","2,945",0,"2,329"
Gyeonggi,Gyeonggi Total,"466,020","47,383","5,752","10,405","257,312","125,354","2,015","17,799"
,Gyeonggi Goyang-si,"32,243","3,562",235,196,"16,386","10,041",254,"1,569"
,Gyeonggi Uijeongbu-si,"16,362","1,146",67,265,"9,475","5,021",20,368
,Gyeonggi Namyangju-si,"27,224","2,381",219,"1,083","16,332","7,103",39,67
,Gyeonggi Paju-si,"17,352",944,462,39,"9,259","5,410",39,"1,199"
,Gyeonggi Guri-si,"5,769",654,0,232,"2,743","2,030",0,110
,Gyeonggi Pocheon-si,"6,161",990,0,191,"3,739",822,139,280
,Gyeonggi Yangju-si,"10,664","1,085",0,116,"6,638","2,592",0,233
,Gyeonggi Dongducheon-si,"4,293",553,49,102,"2,520","1,069",0,0
,Gyeonggi Gapyeong-gun,"1,905",295,74,100,"1,098",235,0,103
,Gyeonggi Yeoncheon-gun,"1,325",352,134,78,418,208,0,135
,Gyeonggi Suwon-si,"39,286","2,953",260,576,"19,988","12,902",89,"2,518"
,Gyeonggi Seongnam-si,"27,170","5,997",84,857,"9,270","7,132",222,"3,608"
,Gyeonggi Anyang-si,"17,822","2,383",103,54,"8,987","5,809",67,419
,Gyeonggi Bucheon-si,"22,854","2,073",229,"1,067","13,409","5,434",99,543
