,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Gyeonggi Gwangju-si,Total,"15,216","1,397",54,417,"10,316","2,882",35,115
,Gyeonggi Gwangju-si,Male,"7,825",737,26,210,"5,330","1,442",17,63
,Gyeonggi Gwangju-si,Female,"7,391",660,28,207,"4,986","1,440",18,52
,Gyeonggi Yangju-si,Total,"7,356",931,0,62,"4,333","1,851",0,179
,Gyeonggi Yangju-si,Male,"3,796",455,0,40,"2,262",951,0,88
,Gyeonggi Yangju-si,Female,"3,560",476,0,22,"2,071",900,0,91
,Gyeonggi Pocheon-si,Total,"4,136",710,0,70,"2,512",468,103,273
,Gyeonggi Pocheon-si,Male,"2,196",361,0,38,"1,351",267,47,132
,Gyeonggi Pocheon-si,Female,"1,940",349,0,32,"1,161",201,56,141
,Gyeonggi Yeoju-si,Total,"2,744",122,155,39,"2,054",322,0,52
,Gyeonggi Yeoju-si,Male,"1,431",64,85,24,"1,069",161,0,28
,Gyeonggi Yeoju-si,Female,"1,313",58,70,15,985,161,0,24
,Gyeonggi Yeoncheon-gun,Total,998,327,81,37,293,140,0,120
,Gyeonggi Yeoncheon-gun,Male,502,173,48,17,138,68,0,58
,Gyeonggi Yeoncheon-gun,Female,496,154,33,20,155,72,0,62
,Gyeonggi Gapyeong-gun,Total,"1,370",271,47,93,670,202,0,87
,Gyeonggi Gapyeong-gun,Male,699,140,23,50,345,98,0,43
,Gyeonggi Gapyeong-gun,Female,671,131,24,43,325,104,0,44
,Gyeonggi Yangpyeong-gun,Total,"2,714",701,43,46,"1,704",157,0,63
,Gyeonggi Yangpyeong-gun,Male,"1,392",365,26,27,863,86,0,25
,Gyeonggi Yangpyeong-gun,Female,"1,322",336,17,19,841,71,0,38
Gangwon,Gangwon Total,Total,"37,902","5,939","5,795","1,773","15,841","6,115",79,"2,360"
,Gangwon Total,Male,"19,554","3,093","3,000",902,"8,166","3,120",38,"1,235"
,Gangwon Total,Female,"18,348","2,846","2,795",871,"7,675","2,995",41,"1,125"
,Gangwon Chuncheon-si,Total,"8,026",996,895,509,"3,141","1,853",38,594
,Gangwon Chuncheon-si,Male,"4,123",531,472,257,"1,616",909,20,318
,Gangwon Chuncheon-si,Female,"3,903",465,423,252,"1,525",944,18,276
,Gangwon Wonju-si,Total,"9,403","1,253",660,266,"4,499","2,114",22,589
,Gangwon Wonju-si,Male,"4,895",650,370,123,"2,330","1,105",10,307
,Gangwon Wonju-si,Female,"4,508",603,290,143,"2,169","1,009",12,282
,Gangwon Gangneung-si,Total,"4,992",272,979,72,"2,820",550,19,280
,Gangwon Gangneung-si,Male,"2,621",144,519,42,"1,458",312,8,138
,Gangwon Gangneung-si,Female,"2,371",128,460,30,"1,362",238,11,142
,Gangwon Donghae-si,Total,"2,374",137,494,178,982,514,0,69
,Gangwon Donghae-si,Male,"1,220",76,248,100,529,228,0,39
,Gangwon Donghae-si,Female,"1,154",61,246,78,453,286,0,30
,Gangwon Taebaek-si,Total,"1,113",515,153,61,152,82,0,150
,Gangwon Taebaek-si,Male,583,277,76,31,79,45,0,75
,Gangwon Taebaek-si,Female,530,238,77,30,73,37,0,75
,Gangwon Sokcho-si,Total,"2,412",491,487,121,987,326,0,0
,Gangwon Sokcho-si,Male,"1,231",278,237,61,483,172,0,0
,Gangwon Sokcho-si,Female,"1,181",213,250,60,504,154,0,0
,Gangwon Samcheok-si,Total,"1,217",326,115,0,476,282,0,18
,Gangwon Samcheok-si,Male,636,171,63,0,255,137,0,10
,Gangwon Samcheok-si,Female,581,155,52,0,221,145,0,8
,Gangwon Hongcheon-gun,Total,"1,401",108,202,91,803,93,0,104
,Gangwon Hongcheon-gun,Male,709,51,104,39,418,41,0,56
,Gangwon Hongcheon-gun,Female,692,57,98,52,385,52,0,48
,Gangwon Hoengseong-gun,Total,817,74,324,37,270,71,0,41
,Gangwon Hoengseong-gun,Male,434,37,171,19,145,43,0,19
,Gangwon Hoengseong-gun,Female,383,37,153,18,125,28,0,22
,Gangwon Yeongwol-gun,Total,515,99,190,96,90,40,0,0
,Gangwon Yeongwol-gun,Male,270,55,96,56,43,20,0,0
,Gangwon Yeongwol-gun,Female,245,44,94,40,47,20,0,0
,Gangwon Pyongchang-gun,Total,655,141,161,82,258,13,0,0
,Gangwon Pyongchang-gun,Male,312,66,74,39,127,6,0,0
,Gangwon Pyongchang-gun,Female,343,75,87,43,131,7,0,0
,Gangwon Jeongseon-gun,Total,519,241,267,0,0,11,0,0
,Gangwon Jeongseon-gun,Male,273,125,143,0,0,5,0,0
,Gangwon Jeongseon-gun,Female,246,116,124,0,0,6,0,0
,Gangwon Cheolwon-gun,Total,"1,339",154,153,50,823,32,0,127
,Gangwon Cheolwon-gun,Male,676,80,76,27,407,20,0,66
,Gangwon Cheolwon-gun,Female,663,74,77,23,416,12,0,61
,Gangwon Hwacheon-gun,Total,677,257,107,0,223,36,0,54
,Gangwon Hwacheon-gun,Male,347,130,54,0,110,22,0,31
,Gangwon Hwacheon-gun,Female,330,127,53,0,113,14,0,23
,Gangwon Yanggu-gun,Total,703,135,339,74,52,8,0,95
,Gangwon Yanggu-gun,Male,351,63,171,36,24,6,0,51
,Gangwon Yanggu-gun,Female,352,72,168,38,28,2,0,44
,Gangwon Inje-gun,Total,884,236,128,96,115,70,0,239
,Gangwon Inje-gun,Male,457,116,56,54,65,41,0,125
,Gangwon Inje-gun,Female,427,120,72,42,50,29,0,114
,Gangwon Goseong-gun,Total,486,339,0,0,141,6,0,0
,Gangwon Goseong-gun,Male,237,161,0,0,73,3,0,0
,Gangwon Goseong-gun,Female,249,178,0,0,68,3,0,0
,Gangwon Yangyang-gun,Total,369,165,141,40,9,14,0,0
,Gangwon Yangyang-gun,Male,179,82,70,18,4,5,0,0
,Gangwon Yangyang-gun,Female,190,83,71,22,5,9,0,0
North Chungcheong,North Chungcheong Total,Total,"47,266","4,658","7,122","1,898","24,437","7,007",97,"2,047"
,North Chungcheong Total,Male,"24,316","2,378","3,707",961,"12,570","3,582",52,"1,066"
,North Chungcheong Total,Female,"22,950","2,280","3,415",937,"11,867","3,425",45,981
,North Chungcheong Cheongju-si,Total,"28,775","1,676","2,998",740,"16,209","5,636",0,"1,516"
,North Chungcheong Cheongju-si,Male,"14,765",861,"1,589",367,"8,322","2,862",0,764
,North Chungcheong Cheongju-si,Female,"14,010",815,"1,409",373,"7,887","2,774",0,752
,North Chungcheong Chungju-si,Total,"5,326",448,"1,080",169,"3,120",462,20,27
,North Chungcheong Chungju-si,Male,"2,769",229,578,89,"1,610",243,7,13
,North Chungcheong Chungju-si,Female,"2,557",219,502,80,"1,510",219,13,14
,North Chungcheong Jecheon-si,Total,"2,882",491,528,265,"1,284",198,0,116
,North Chungcheong Jecheon-si,Male,"1,527",260,268,139,694,97,0,69
,North Chungcheong Jecheon-si,Female,"1,355",231,260,126,590,101,0,47
,North Chungcheong Boeun-gun,Total,454,87,117,0,207,22,0,21
,North Chungcheong Boeun-gun,Male,226,42,61,0,101,14,0,8
,North Chungcheong Boeun-gun,Female,228,45,56,0,106,8,0,13
,North Chungcheong Okcheon-gun,Total,815,212,140,65,325,34,13,26
,North Chungcheong Okcheon-gun,Male,430,103,74,37,176,17,8,15
,North Chungcheong Okcheon-gun,Female,385,109,66,28,149,17,5,11
,North Chungcheong Yeongdong-gun,Total,777,171,356,39,161,0,32,18
,North Chungcheong Yeongdong-gun,Male,404,76,179,30,90,0,19,10
,North Chungcheong Yeongdong-gun,Female,373,95,177,9,71,0,13,8
,North Chungcheong Jincheon-gun,Total,"2,988",698,479,256,"1,058",275,0,222
,North Chungcheong Jincheon-gun,Male,"1,549",348,267,120,537,143,0,134
,North Chungcheong Jincheon-gun,Female,"1,439",350,212,136,521,132,0,88
,North Chungcheong Goesan-gun,Total,457,103,192,105,0,20,0,37
,North Chungcheong Goesan-gun,Male,226,57,94,46,0,10,0,19
,North Chungcheong Goesan-gun,Female,231,46,98,59,0,10,0,18
,North Chungcheong Eumseong-gun,Total,"2,804",459,756,146,"1,061",323,32,27
,North Chungcheong Eumseong-gun,Male,"1,425",236,369,78,537,175,18,12
,North Chungcheong Eumseong-gun,Female,"1,379",223,387,68,524,148,14,15
,North Chungcheong Jeungpyong-gun,Total,"1,484",99,299,0,"1,012",37,0,37
,North Chungcheong Jeungpyong-gun,Male,744,49,149,0,503,21,0,22
,North Chungcheong Jeungpyong-gun,Female,740,50,150,0,509,16,0,15
,North Chungcheong Danyang-gun,Total,504,214,177,113,0,0,0,0
,North Chungcheong Danyang-gun,Male,251,117,79,55,0,0,0,0
,North Chungcheong Danyang-gun,Female,253,97,98,58,0,0,0,0
South Chungcheong,South Chungcheong Total,Total,"65,304","5,767","6,390","2,061","34,023","14,067",62,"2,934"
,South Chungcheong Total,Male,"33,590","2,981","3,302","1,080","17,432","7,253",36,"1,506"
,South Chungcheong Total,Female,"31,714","2,786","3,088",981,"16,591","6,814",26,"1,428"
,South Chungcheong Cheonan-si,Total,"20,856","1,829",430,465,"11,137","6,278",62,655
,South Chungcheong Cheonan-si,Male,"10,744",911,248,248,"5,683","3,270",36,348
,South Chungcheong Cheonan-si,Female,"10,112",918,182,217,"5,454","3,008",26,307
,South Chungcheong Gongju-si,Total,"2,104",393,305,163,914,329,0,0
,South Chungcheong Gongju-si,Male,"1,105",225,154,86,466,174,0,0
,South Chungcheong Gongju-si,Female,999,168,151,77,448,155,0,0
,South Chungcheong Boryeong-si,Total,"2,181",220,303,125,"1,122",293,0,118
,South Chungcheong Boryeong-si,Male,"1,125",107,155,65,592,144,0,62
,South Chungcheong Boryeong-si,Female,"1,056",113,148,60,530,149,0,56
,South Chungcheong Asan-si,Total,"14,315","1,057",653,108,"7,882","3,943",0,672
,South Chungcheong Asan-si,Male,"7,410",544,368,58,"4,097","2,000",0,343
,South Chungcheong Asan-si,Female,"6,905",513,285,50,"3,785","1,943",0,329
,South Chungcheong Seosan-si,Total,"6,011",251,643,197,"3,693",924,0,303
,South Chungcheong Seosan-si,Male,"3,092",136,337,101,"1,899",471,0,148
,South Chungcheong Seosan-si,Female,"2,919",115,306,96,"1,794",453,0,155
,South Chungcheong Nonsan-si,Total,"3,319",262,605,296,"1,581",396,0,179
,South Chungcheong Nonsan-si,Male,"1,696",143,306,150,787,219,0,91
,South Chungcheong Nonsan-si,Female,"1,623",119,299,146,794,177,0,88
,South Chungcheong Gyerong-si,Total,"1,262",56,93,0,630,336,0,147
,South Chungcheong Gyerong-si,Male,658,35,45,0,331,182,0,65
,South Chungcheong Gyerong-si,Female,604,21,48,0,299,154,0,82
,South Chungcheong Geumsan-gun,Total,934,237,210,86,302,18,0,81
,South Chungcheong Geumsan-gun,Male,462,112,108,40,156,2,0,44
,South Chungcheong Geumsan-gun,Female,472,125,102,46,146,16,0,37
,South Chungcheong Buyeo-gun,Total,994,159,505,45,160,125,0,0
,South Chungcheong Buyeo-gun,Male,499,90,235,27,86,61,0,0
,South Chungcheong Buyeo-gun,Female,495,69,270,18,74,64,0,0
,South Chungcheong Seocheon-gun,Total,944,169,414,137,196,28,0,0
,South Chungcheong Seocheon-gun,Male,469,76,216,66,95,16,0,0
,South Chungcheong Seocheon-gun,Female,475,93,198,71,101,12,0,0
,South Chungcheong Cheongyang-gun,Total,399,58,131,0,161,49,0,0
,South Chungcheong Cheongyang-gun,Male,206,22,71,0,85,28,0,0
,South Chungcheong Cheongyang-gun,Female,193,36,60,0,76,21,0,0
,South Chungcheong Hongseong-gun,Total,"2,450",258,616,24,"1,024",305,0,223
,South Chungcheong Hongseong-gun,Male,"1,260",149,309,12,516,159,0,115
,South Chungcheong Hongseong-gun,Female,"1,190",109,307,12,508,146,0,108
,South Chungcheong Yesan-gun,Total,"1,244",137,424,27,496,79,0,81
,South Chungcheong Yesan-gun,Male,657,68,214,15,280,34,0,46
,South Chungcheong Yesan-gun,Female,587,69,210,12,216,45,0,35
,South Chungcheong Taean-gun,Total,"1,265",64,367,58,583,38,0,155
,South Chungcheong Taean-gun,Male,634,33,189,36,273,18,0,85
,South Chungcheong Taean-gun,Female,631,31,178,22,310,20,0,70
,South Chungcheong Dangjin-si,Total,"7,026",617,691,330,"4,142",926,0,320
,South Chungcheong Dangjin-si,Male,"3,573",330,347,176,"2,086",475,0,159
,South Chungcheong Dangjin-si,Female,"3,453",287,344,154,"2,056",451,0,161
North Jeolla,North Jeolla Total,Total,"46,698","4,220","7,756","4,272","21,666","7,622",18,"1,144"
,North Jeolla Total,Male,"24,060","2,181","3,994","2,237","11,162","3,896",10,580
,North Jeolla Total,Female,"22,638","2,039","3,762","2,035","10,504","3,726",8,564
,North Jeolla Jeonju-si,Total,"19,650","1,032","2,788",871,"10,341","3,903",18,697
,North Jeolla Jeonju-si,Male,"10,159",556,"1,431",466,"5,351","1,975",10,370
,North Jeolla Jeonju-si,Female,"9,491",476,"1,357",405,"4,990","1,928",8,327
,North Jeolla Gunsan-si,Total,"8,027",922,"1,192",749,"3,749","1,266",0,149
,North Jeolla Gunsan-si,Male,"4,117",472,634,390,"1,914",654,0,53
,North Jeolla Gunsan-si,Female,"3,910",450,558,359,"1,835",612,0,96
,North Jeolla Iksan-si,Total,"6,900",583,979,699,"3,243","1,254",0,142
,North Jeolla Iksan-si,Male,"3,514",301,496,349,"1,640",650,0,78
,North Jeolla Iksan-si,Female,"3,386",282,483,350,"1,603",604,0,64
,North Jeolla Jeongeup-si,Total,"2,349",345,584,173,912,306,0,29
,North Jeolla Jeongeup-si,Male,"1,183",176,295,91,460,148,0,13
,North Jeolla Jeongeup-si,Female,"1,166",169,289,82,452,158,0,16
,North Jeolla Namwon-si,Total,"2,142",14,451,278,"1,153",246,0,0
,North Jeolla Namwon-si,Male,"1,139",6,239,153,610,131,0,0
,North Jeolla Namwon-si,Female,"1,003",8,212,125,543,115,0,0
,North Jeolla Gimje-si,Total,"1,476",176,435,249,411,200,0,5
,North Jeolla Gimje-si,Male,770,90,217,138,212,109,0,4
,North Jeolla Gimje-si,Female,706,86,218,111,199,91,0,1
,North Jeolla Wanju-gun,Total,"2,598",283,635,284,"1,024",306,0,66
,North Jeolla Wanju-gun,Male,"1,298",144,315,141,516,146,0,36
,North Jeolla Wanju-gun,Female,"1,300",139,320,143,508,160,0,30
,North Jeolla Jinan-gun,Total,238,101,0,137,0,0,0,0
,North Jeolla Jinan-gun,Male,118,49,0,69,0,0,0,0
,North Jeolla Jinan-gun,Female,120,52,0,68,0,0,0,0
,North Jeolla Muju-gun,Total,399,162,13,121,103,0,0,0
,North Jeolla Muju-gun,Male,220,86,10,66,58,0,0,0
,North Jeolla Muju-gun,Female,179,76,3,55,45,0,0,0
,North Jeolla Jangsu-gun,Total,343,121,202,0,0,20,0,0
,North Jeolla Jangsu-gun,Male,186,66,107,0,0,13,0,0
,North Jeolla Jangsu-gun,Female,157,55,95,0,0,7,0,0
,North Jeolla Imsil-gun,Total,411,0,60,314,0,0,0,37
,North Jeolla Imsil-gun,Male,216,0,33,168,0,0,0,15
,North Jeolla Imsil-gun,Female,195,0,27,146,0,0,0,22
,North Jeolla Sunchang-gun,Total,403,193,77,115,0,18,0,0
,North Jeolla Sunchang-gun,Male,191,83,41,55,0,12,0,0
,North Jeolla Sunchang-gun,Female,212,110,36,60,0,6,0,0
,North Jeolla Gochang-gun,Total,981,203,340,192,175,61,0,10
,North Jeolla Gochang-gun,Male,515,112,176,96,93,31,0,7
,North Jeolla Gochang-gun,Female,466,91,164,96,82,30,0,3
,North Jeolla Buan-gun,Total,781,85,0,90,555,42,0,9
,North Jeolla Buan-gun,Male,434,40,0,55,308,27,0,4
,North Jeolla Buan-gun,Female,347,45,0,35,247,15,0,5
South Jeolla,South Jeolla Total,Total,"47,796","7,083","9,679","2,649","20,183","6,175",52,"1,975"
,South Jeolla Total,Male,"24,876","3,636","5,021","1,416","10,505","3,202",29,"1,067"
,South Jeolla Total,Female,"22,920","3,447","4,658","1,233","9,678","2,973",23,908
,South Jeolla Mokpo-si,Total,"8,296",340,"1,221",116,"4,827","1,695",32,65
,South Jeolla Mokpo-si,Male,"4,387",176,639,62,"2,562",903,16,29
,South Jeolla Mokpo-si,Female,"3,909",164,582,54,"2,265",792,16,36
,South Jeolla Yeosu-si,Total,"7,507",952,"1,802",265,"3,492",599,0,397
,South Jeolla Yeosu-si,Male,"3,909",492,926,153,"1,785",315,0,238
,South Jeolla Yeosu-si,Female,"3,598",460,876,112,"1,707",284,0,159
,South Jeolla Suncheon-si,Total,"8,544","1,019",727,329,"4,511","1,677",0,281
,South Jeolla Suncheon-si,Male,"4,433",532,363,175,"2,348",867,0,148
,South Jeolla Suncheon-si,Female,"4,111",487,364,154,"2,163",810,0,133
,South Jeolla Naju-si,Total,"3,560",732,393,0,"1,359",509,0,567
,South Jeolla Naju-si,Male,"1,874",377,213,0,714,275,0,295
,South Jeolla Naju-si,Female,"1,686",355,180,0,645,234,0,272
,South Jeolla Gwangyang-si,Total,"5,831","1,388",613,107,"2,995",556,0,172
,South Jeolla Gwangyang-si,Male,"3,012",718,329,55,"1,527",283,0,100
,South Jeolla Gwangyang-si,Female,"2,819",670,284,52,"1,468",273,0,72
,South Jeolla Damyang-gun,Total,579,63,63,30,365,20,0,38
,South Jeolla Damyang-gun,Male,289,30,43,14,177,9,0,16
,South Jeolla Damyang-gun,Female,290,33,20,16,188,11,0,22
,South Jeolla Gokseong-gun,Total,415,213,135,67,0,0,0,0
,South Jeolla Gokseong-gun,Male,218,113,68,37,0,0,0,0
,South Jeolla Gokseong-gun,Female,197,100,67,30,0,0,0,0
,South Jeolla Gurye-gun,Total,373,197,0,124,27,25,0,0
,South Jeolla Gurye-gun,Male,174,92,0,61,12,9,0,0
,South Jeolla Gurye-gun,Female,199,105,0,63,15,16,0,0
,South Jeolla Goheung-gun,Total,835,125,304,203,183,20,0,0
,South Jeolla Goheung-gun,Male,421,67,141,110,92,11,0,0
,South Jeolla Goheung-gun,Female,414,58,163,93,91,9,0,0
,South Jeolla Boseong-gun,Total,547,248,159,29,101,10,0,0
,South Jeolla Boseong-gun,Male,282,132,78,14,52,6,0,0
,South Jeolla Boseong-gun,Female,265,116,81,15,49,4,0,0
,South Jeolla Hwasun-gun,Total,"1,271",165,282,36,489,299,0,0
,South Jeolla Hwasun-gun,Male,669,87,149,16,264,153,0,0
,South Jeolla Hwasun-gun,Female,602,78,133,20,225,146,0,0
,South Jeolla Jangheung-gun,Total,662,329,162,94,0,57,20,0
,South Jeolla Jangheung-gun,Male,357,170,83,61,0,30,13,0
,South Jeolla Jangheung-gun,Female,305,159,79,33,0,27,7,0
,South Jeolla Gangjin-gun,Total,682,29,297,215,141,0,0,0
,South Jeolla Gangjin-gun,Male,349,13,155,99,82,0,0,0
,South Jeolla Gangjin-gun,Female,333,16,142,116,59,0,0,0
South Jeolla,South Jeolla Haenam-gun,Total,"1,181",68,590,109,394,20,0,0
,South Jeolla Haenam-gun,Male,602,28,305,59,202,8,0,0
,South Jeolla Haenam-gun,Female,579,40,285,50,192,12,0,0
,South Jeolla Yeongam-gun,Total,"1,497",96,698,200,313,106,0,84
,South Jeolla Yeongam-gun,Male,781,40,375,111,163,44,0,48
,South Jeolla Yeongam-gun,Female,716,56,323,89,150,62,0,36
,South Jeolla Muan-gun,Total,"1,903",154,356,127,715,388,0,163
,South Jeolla Muan-gun,Male,"1,020",85,200,73,380,195,0,87
,South Jeolla Muan-gun,Female,883,69,156,54,335,193,0,76
,South Jeolla Hampyeong-gun,Total,480,104,357,0,0,19,0,0
,South Jeolla Hampyeong-gun,Male,250,55,189,0,0,6,0,0
,South Jeolla Hampyeong-gun,Female,230,49,168,0,0,13,0,0
,South Jeolla Yeongwang-gun,Total,"1,055",270,409,197,32,48,0,99
,South Jeolla Yeongwang-gun,Male,528,132,208,101,17,21,0,49
,South Jeolla Yeongwang-gun,Female,527,138,201,96,15,27,0,50
,South Jeolla Jangseong-gun,Total,746,211,312,53,28,33,0,109
,South Jeolla Jangseong-gun,Male,369,99,149,27,18,19,0,57
,South Jeolla Jangseong-gun,Female,377,112,163,26,10,14,0,52
,South Jeolla Wando-gun,Total,"1,008",201,355,210,187,55,0,0
,South Jeolla Wando-gun,Male,539,107,182,120,98,32,0,0
,South Jeolla Wando-gun,Female,469,94,173,90,89,23,0,0
,South Jeolla Jindo-gun,Total,490,83,206,138,24,39,0,0
,South Jeolla Jindo-gun,Male,227,38,93,68,12,16,0,0
,South Jeolla Jindo-gun,Female,263,45,113,70,12,23,0,0
,South Jeolla Sinan-gun,Total,334,96,238,0,0,0,0,0
,South Jeolla Sinan-gun,Male,186,53,133,0,0,0,0,0
,South Jeolla Sinan-gun,Female,148,43,105,0,0,0,0,0
North Gyeongsang,North Gyeongsang Total,Total,"64,120","6,810","5,080","1,713","35,946","11,137",72,"3,362"
,North Gyeongsang Total,Male,"33,236","3,514","2,707",872,"18,639","5,744",35,"1,725"
,North Gyeongsang Total,Female,"30,884","3,296","2,373",841,"17,307","5,393",37,"1,637"
,North Gyeongsang Pohang-si,Total,"13,430",831,764,84,"8,158","3,063",0,530
,North Gyeongsang Pohang-si,Male,"7,061",443,416,36,"4,246","1,635",0,285
,North Gyeongsang Pohang-si,Female,"6,369",388,348,48,"3,912","1,428",0,245
,North Gyeongsang Gyeongju-si,Total,"5,936",392,505,107,"3,592",934,0,406
,North Gyeongsang Gyeongju-si,Male,"3,032",177,279,51,"1,837",477,0,211
,North Gyeongsang Gyeongju-si,Female,"2,904",215,226,56,"1,755",457,0,195
,North Gyeongsang Gimcheon-si,Total,"3,341",394,404,0,"1,418",670,0,455
,North Gyeongsang Gimcheon-si,Male,"1,750",209,231,0,725,347,0,238
,North Gyeongsang Gimcheon-si,Female,"1,591",185,173,0,693,323,0,217
,North Gyeongsang Andong-si,Total,"3,614",430,598,77,"1,717",391,0,401
,North Gyeongsang Andong-si,Male,"1,886",233,296,39,914,198,0,206
,North Gyeongsang Andong-si,Female,"1,728",197,302,38,803,193,0,195
,North Gyeongsang Gumi-si,Total,"13,615",650,564,293,"7,824","3,495",72,717
,North Gyeongsang Gumi-si,Male,"7,063",341,326,137,"4,104","1,750",35,370
,North Gyeongsang Gumi-si,Female,"6,552",309,238,156,"3,720","1,745",37,347
,North Gyeongsang Yeongju-si,Total,"2,237",404,212,277,"1,155",146,0,43
,North Gyeongsang Yeongju-si,Male,"1,139",204,107,160,569,75,0,24
,North Gyeongsang Yeongju-si,Female,"1,098",200,105,117,586,71,0,19
,North Gyeongsang Yeongcheon-si,Total,"1,930",191,308,0,"1,136",211,0,84
,North Gyeongsang Yeongcheon-si,Male,992,92,174,0,576,105,0,45
,North Gyeongsang Yeongcheon-si,Female,938,99,134,0,560,106,0,39
,North Gyeongsang Sangju-si,Total,"1,128",254,60,33,606,146,0,29
,North Gyeongsang Sangju-si,Male,580,139,24,22,310,71,0,14
,North Gyeongsang Sangju-si,Female,548,115,36,11,296,75,0,15
,North Gyeongsang Mungyeong-si,Total,"1,198",168,131,60,699,126,0,14
,North Gyeongsang Mungyeong-si,Male,638,91,74,26,369,70,0,8
,North Gyeongsang Mungyeong-si,Female,560,77,57,34,330,56,0,6
,North Gyeongsang Gyeongsan-si,Total,"7,273",599,599,237,"4,688",868,0,282
,North Gyeongsang Gyeongsan-si,Male,"3,739",309,302,123,"2,422",446,0,137
,North Gyeongsang Gyeongsan-si,Female,"3,534",290,297,114,"2,266",422,0,145
,North Gyeongsang Gunwi-gun,Total,184,16,94,0,74,0,0,0
,North Gyeongsang Gunwi-gun,Male,101,11,49,0,41,0,0,0
,North Gyeongsang Gunwi-gun,Female,83,5,45,0,33,0,0,0
,North Gyeongsang Uiseong-gun,Total,615,194,328,78,0,15,0,0
,North Gyeongsang Uiseong-gun,Male,314,101,157,46,0,10,0,0
,North Gyeongsang Uiseong-gun,Female,301,93,171,32,0,5,0,0
,North Gyeongsang Cheongsong-gun,Total,275,138,41,43,0,18,0,35
,North Gyeongsang Cheongsong-gun,Male,150,75,22,24,0,10,0,19
,North Gyeongsang Cheongsong-gun,Female,125,63,19,19,0,8,0,16
,North Gyeongsang Yeongyang-gun,Total,190,152,0,38,0,0,0,0
,North Gyeongsang Yeongyang-gun,Male,102,79,0,23,0,0,0,0
,North Gyeongsang Yeongyang-gun,Female,88,73,0,15,0,0,0,0
,North Gyeongsang Yeongdeok-gun,Total,667,229,0,0,438,0,0,0
,North Gyeongsang Yeongdeok-gun,Male,331,111,0,0,220,0,0,0
,North Gyeongsang Yeongdeok-gun,Female,336,118,0,0,218,0,0,0
,North Gyeongsang Cheongdo-gun,Total,352,164,47,0,121,20,0,0
,North Gyeongsang Cheongdo-gun,Male,181,86,20,0,66,9,0,0
,North Gyeongsang Cheongdo-gun,Female,171,78,27,0,55,11,0,0
,North Gyeongsang Goryeong-gun,Total,609,202,49,0,358,0,0,0
,North Gyeongsang Goryeong-gun,Male,301,86,26,0,189,0,0,0
,North Gyeongsang Goryeong-gun,Female,308,116,23,0,169,0,0,0
,North Gyeongsang Seongju-gun,Total,511,181,0,0,255,75,0,0
,North Gyeongsang Seongju-gun,Male,258,97,0,0,128,33,0,0
,North Gyeongsang Seongju-gun,Female,253,84,0,0,127,42,0,0
,North Gyeongsang Chilgok-gun,Total,"4,250",343,189,207,"2,795",624,0,92
,North Gyeongsang Chilgok-gun,Male,"2,243",181,103,100,"1,473",336,0,50
,North Gyeongsang Chilgok-gun,Female,"2,007",162,86,107,"1,322",288,0,42
,North Gyeongsang Yecheon-gun,Total,"1,218",196,144,102,482,277,0,17
,North Gyeongsang Yecheon-gun,Male,612,88,81,49,244,142,0,8
,North Gyeongsang Yecheon-gun,Female,606,108,63,53,238,135,0,9
,North Gyeongsang Bonghwa-gun,Total,343,171,43,31,65,33,0,0
,North Gyeongsang Bonghwa-gun,Male,190,100,20,13,40,17,0,0
,North Gyeongsang Bonghwa-gun,Female,153,71,23,18,25,16,0,0
,North Gyeongsang Uljin-gun,Total,"1,140",447,0,46,365,25,0,257
,North Gyeongsang Uljin-gun,Male,537,225,0,23,166,13,0,110
,North Gyeongsang Uljin-gun,Female,603,222,0,23,199,12,0,147
,North Gyeongsang Ulleung-gun,Total,64,64,0,0,0,0,0,0
,North Gyeongsang Ulleung-gun,Male,36,36,0,0,0,0,0,0
,North Gyeongsang Ulleung-gun,Female,28,28,0,0,0,0,0,0
South Gyeongsang,South Gyeongsang Total,Total,"93,756","11,614","5,992","2,469","49,397","20,778",153,"3,353"
,South Gyeongsang Total,Male,"48,565","6,097","3,052","1,279","25,651","10,682",87,"1,717"
,South Gyeongsang Total,Female,"45,191","5,517","2,940","1,190","23,746","10,096",66,"1,636"
,South Gyeongsang Changwon-si,Total,"28,359","3,697","1,677",714,"13,732","6,988",0,"1,551"
,South Gyeongsang Changwon-si,Male,"14,729","1,941",858,376,"7,164","3,570",0,820
,South Gyeongsang Changwon-si,Female,"13,630","1,756",819,338,"6,568","3,418",0,731
,South Gyeongsang Jinju-si,Total,"10,818",966,550,193,"6,786","1,757",0,566
,South Gyeongsang Jinju-si,Male,"5,677",537,265,107,"3,583",914,0,271
,South Gyeongsang Jinju-si,Female,"5,141",429,285,86,"3,203",843,0,295
,South Gyeongsang Tongyeong-si,Total,"3,707",793,210,56,"2,088",486,0,74
,South Gyeongsang Tongyeong-si,Male,"1,842",407,98,23,"1,039",244,0,31
,South Gyeongsang Tongyeong-si,Female,"1,865",386,112,33,"1,049",242,0,43
,South Gyeongsang Sacheon-si,Total,"3,938",473,207,209,"2,441",385,0,223
,South Gyeongsang Sacheon-si,Male,"2,044",273,103,114,"1,241",192,0,121
,South Gyeongsang Sacheon-si,Female,"1,894",200,104,95,"1,200",193,0,102
