,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Seoul Gangnam-gu,Female,"4,375","2,019",0,0,"1,297",444,24,591
,Seoul Songpa-gu,Total,"15,611","5,238",73,110,"6,145","2,904",57,"1,084"
,Seoul Songpa-gu,Male,"8,095","2,690",33,46,"3,242","1,522",35,527
,Seoul Songpa-gu,Female,"7,516","2,548",40,64,"2,903","1,382",22,557
,Seoul Gangdong-gu,Total,"11,185","3,944",82,144,"5,067","1,640",19,289
,Seoul Gangdong-gu,Male,"5,852","2,039",49,72,"2,642",894,8,148
,Seoul Gangdong-gu,Female,"5,333","1,905",33,72,"2,425",746,11,141
Busan,Busan Total,Total,"70,977","12,597","5,428","2,277","35,588","12,211",257,"2,619"
,Busan Total,Male,"36,829","6,531","2,900","1,195","18,411","6,287",142,"1,363"
,Busan Total,Female,"34,148","6,066","2,528","1,082","17,177","5,924",115,"1,256"
,Busan Jung-gu,Total,750,267,39,0,337,38,0,69
,Busan Jung-gu,Male,419,155,27,0,179,26,0,32
,Busan Jung-gu,Female,331,112,12,0,158,12,0,37
,Busan Seo-gu,Total,"1,560",698,94,148,514,106,0,0
,Busan Seo-gu,Male,843,378,47,86,280,52,0,0
,Busan Seo-gu,Female,717,320,47,62,234,54,0,0
,Busan Dong-gu,Total,"1,564",521,174,115,465,128,0,161
,Busan Dong-gu,Male,853,292,100,57,257,58,0,89
,Busan Dong-gu,Female,711,229,74,58,208,70,0,72
,Busan Yeongdo-gu,Total,"2,092",744,91,355,645,174,0,83
,Busan Yeongdo-gu,Male,"1,076",381,46,177,343,86,0,43
,Busan Yeongdo-gu,Female,"1,016",363,45,178,302,88,0,40
,Busan Busanjin-gu,Total,"5,885","1,287",362,149,"2,599",969,31,488
,Busan Busanjin-gu,Male,"3,018",646,187,79,"1,352",501,18,235
,Busan Busanjin-gu,Female,"2,867",641,175,70,"1,247",468,13,253
,Busan Dongnae-gu,Total,"5,512","1,171",248,0,"3,256",615,65,157
,Busan Dongnae-gu,Male,"2,847",583,135,0,"1,687",315,36,91
,Busan Dongnae-gu,Female,"2,665",588,113,0,"1,569",300,29,66
,Busan Nam-gu,Total,"5,339","1,088",422,72,"2,435","1,011",45,266
,Busan Nam-gu,Male,"2,796",567,233,46,"1,246",530,25,149
,Busan Nam-gu,Female,"2,543",521,189,26,"1,189",481,20,117
,Busan Buk-gu,Total,"6,126",568,386,0,"3,694","1,419",46,13
,Busan Buk-gu,Male,"3,174",281,217,0,"1,898",748,24,6
,Busan Buk-gu,Female,"2,952",287,169,0,"1,796",671,22,7
,Busan Haeundae-gu,Total,"7,694","1,027",869,88,"4,170","1,318",0,222
,Busan Haeundae-gu,Male,"4,005",514,453,47,"2,196",676,0,119
,Busan Haeundae-gu,Female,"3,689",513,416,41,"1,974",642,0,103
,Busan Saha-gu,Total,"7,582","1,477",596,570,"3,641","1,242",0,56
,Busan Saha-gu,Male,"3,925",765,317,302,"1,847",660,0,34
,Busan Saha-gu,Female,"3,657",712,279,268,"1,794",582,0,22
,Busan Geumjeong-gu,Total,"4,123",676,346,60,"2,394",440,18,189
,Busan Geumjeong-gu,Male,"2,164",352,168,34,"1,270",234,10,96
,Busan Geumjeong-gu,Female,"1,959",324,178,26,"1,124",206,8,93
,Busan Gangseo-gu,Total,"5,050",493,592,0,"2,131","1,478",0,356
,Busan Gangseo-gu,Male,"2,575",255,311,0,"1,085",730,0,194
,Busan Gangseo-gu,Female,"2,475",238,281,0,"1,046",748,0,162
,Busan Yeonje-gu,Total,"4,222",469,196,372,"2,511",451,0,223
,Busan Yeonje-gu,Male,"2,157",244,89,195,"1,294",232,0,103
,Busan Yeonje-gu,Female,"2,065",225,107,177,"1,217",219,0,120
,Busan Suyeong-gu,Total,"3,199",504,419,148,"1,801",316,0,11
,Busan Suyeong-gu,Male,"1,676",286,229,70,928,159,0,4
,Busan Suyeong-gu,Female,"1,523",218,190,78,873,157,0,7
,Busan Sasang-gu,Total,"4,227",885,159,200,"2,085",893,0,5
,Busan Sasang-gu,Male,"2,196",454,94,102,"1,083",463,0,0
,Busan Sasang-gu,Female,"2,031",431,65,98,"1,002",430,0,5
,Busan Gijang-gun,Total,"6,052",722,435,0,"2,910","1,613",52,320
,Busan Gijang-gun,Male,"3,105",378,247,0,"1,466",817,29,168
,Busan Gijang-gun,Female,"2,947",344,188,0,"1,444",796,23,152
Daegu,Daegu Total,Total,"54,641","6,722","9,406","1,238","28,786","6,598",86,"1,805"
,Daegu Total,Male,"28,277","3,455","5,031",645,"14,852","3,341",39,914
,Daegu Total,Female,"26,364","3,267","4,375",593,"13,934","3,257",47,891
,Daegu Jung-gu,Total,"1,478",199,227,71,685,158,0,138
,Daegu Jung-gu,Male,752,105,104,39,353,78,0,73
,Daegu Jung-gu,Female,726,94,123,32,332,80,0,65
,Daegu Dong-gu,Total,"8,299",961,"1,169",102,"4,822",808,12,425
,Daegu Dong-gu,Male,"4,299",486,588,57,"2,526",416,6,220
,Daegu Dong-gu,Female,"4,000",475,581,45,"2,296",392,6,205
,Daegu Seo-gu,Total,"3,949",694,244,177,"2,449",347,0,38
,Daegu Seo-gu,Male,"2,052",350,154,91,"1,273",167,0,17
,Daegu Seo-gu,Female,"1,897",344,90,86,"1,176",180,0,21
,Daegu Nam-gu,Total,"2,443",262,936,235,812,124,17,57
,Daegu Nam-gu,Male,"1,265",130,494,113,437,58,7,26
,Daegu Nam-gu,Female,"1,178",132,442,122,375,66,10,31
,Daegu Buk-gu,Total,"10,265",889,"1,748",143,"5,666","1,623",15,181
,Daegu Buk-gu,Male,"5,313",465,947,76,"2,937",790,5,93
,Daegu Buk-gu,Female,"4,952",424,801,67,"2,729",833,10,88
,Daegu Suseong-gu,Total,"7,317",974,"2,358",193,"2,711",574,30,477
,Daegu Suseong-gu,Male,"3,810",512,"1,275",107,"1,365",289,15,247
,Daegu Suseong-gu,Female,"3,507",462,"1,083",86,"1,346",285,15,230
,Daegu Dalseo-gu,Total,"12,516","1,386","1,628",317,"7,007","1,838",0,340
,Daegu Dalseo-gu,Male,"6,564",737,911,162,"3,619",963,0,172
,Daegu Dalseo-gu,Female,"5,952",649,717,155,"3,388",875,0,168
,Daegu Dalseong-gun,Total,"8,374","1,357","1,096",0,"4,634","1,126",12,149
,Daegu Dalseong-gun,Male,"4,222",670,558,0,"2,342",580,6,66
,Daegu Dalseong-gun,Female,"4,152",687,538,0,"2,292",546,6,83
Incheon,Incheon Total,Total,"76,084","10,997",898,830,"43,316","16,330",128,"3,585"
,Incheon Total,Male,"39,271","5,668",463,458,"22,324","8,410",67,"1,881"
,Incheon Total,Female,"36,813","5,329",435,372,"20,992","7,920",61,"1,704"
,Incheon Jung-gu,Total,"3,844",928,63,31,860,"1,002",0,960
,Incheon Jung-gu,Male,"1,981",448,30,18,464,512,0,509
,Incheon Jung-gu,Female,"1,863",480,33,13,396,490,0,451
,Incheon Dong-gu,Total,"1,535",494,0,0,639,278,0,124
,Incheon Dong-gu,Male,817,263,0,0,356,135,0,63
,Incheon Dong-gu,Female,718,231,0,0,283,143,0,61
,Incheon Michuhol-gu,Total,"9,857","1,215",205,76,"6,643","1,404",17,297
,Incheon Michuhol-gu,Male,"5,103",605,105,35,"3,443",737,10,168
,Incheon Michuhol-gu,Female,"4,754",610,100,41,"3,200",667,7,129
,Incheon Yeonsu-gu,Total,"9,389","1,874",0,0,"4,261","2,680",0,574
,Incheon Yeonsu-gu,Male,"4,768",953,0,0,"2,162","1,374",0,279
,Incheon Yeonsu-gu,Female,"4,621",921,0,0,"2,099","1,306",0,295
,Incheon Namdong-gu,Total,"13,626","2,207",226,180,"7,966","2,650",0,397
,Incheon Namdong-gu,Male,"7,094","1,170",110,101,"4,145","1,350",0,218
,Incheon Namdong-gu,Female,"6,532","1,037",116,79,"3,821","1,300",0,179
,Incheon Bupyong-gu,Total,"12,690","1,247",315,142,"7,441","2,970",57,518
,Incheon Bupyong-gu,Male,"6,577",680,167,89,"3,804","1,549",29,259
,Incheon Bupyong-gu,Female,"6,113",567,148,53,"3,637","1,421",28,259
,Incheon Gyeyang-gu,Total,"7,495",719,0,13,"5,249","1,384",28,102
,Incheon Gyeyang-gu,Male,"3,814",374,0,7,"2,670",697,15,51
,Incheon Gyeyang-gu,Female,"3,681",345,0,6,"2,579",687,13,51
,Incheon Seo-gu,Total,"16,535","1,736",89,329,"9,883","3,943",26,529
,Incheon Seo-gu,Male,"8,536",879,51,176,"5,086","2,044",13,287
,Incheon Seo-gu,Female,"7,999",857,38,153,"4,797","1,899",13,242
