Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Sejong Total,Female,"6,119 ",618 ,301 ,168 ,"2,706 ","1,324 ",0 ,"1,002 "
,Sejong,Total,"12,580 ","1,272 ",665 ,344 ,"5,480 ","2,731 ",0 ,"2,088 "
,,Male,"6,461 ",654 ,364 ,176 ,"2,774 ","1,407 ",0 ,"1,086 "
,,Female,"6,119 ",618 ,301 ,168 ,"2,706 ","1,324 ",0 ,"1,002 "
Gyeonggi,Gyeonggi Total,Total,"394,882 ","42,710 ","4,633 ","8,184 ","209,843 ","113,683 ","1,731 ","14,098 "
,Gyeonggi Total,Male,"203,844 ","22,067 ","2,440 ","4,347 ","108,392 ","58,348 ",913 ,"7,337 "
,Gyeonggi Total,Female,"191,038 ","20,643 ","2,193 ","3,837 ","101,451 ","55,335 ",818 ,"6,761 "
,Gyeonggi Goyang-si,Total,"27,270 ","3,284 ",205 ,183 ,"13,143 ","8,994 ",200 ,"1,261 "
,Gyeonggi Goyang-si,Male,"14,043 ","1,669 ",116 ,101 ,"6,776 ","4,610 ",110 ,661 
,Gyeonggi Goyang-si,Female,"13,227 ","1,615 ",89 ,82 ,"6,367 ","4,384 ",90 ,600 
,Gyeonggi Uijeongbu-si,Total,"13,242 ","1,024 ",47 ,185 ,"7,327 ","4,313 ",20 ,326 
,Gyeonggi Uijeongbu-si,Male,"6,838 ",540 ,26 ,109 ,"3,758 ","2,222 ",11 ,172 
,Gyeonggi Uijeongbu-si,Female,"6,404 ",484 ,21 ,76 ,"3,569 ","2,091 ",9 ,154 
,Gyeonggi Namyangju-si,Total,"22,134 ","2,138 ",153 ,878 ,"12,564 ","6,314 ",33 ,54 
,Gyeonggi Namyangju-si,Male,"11,474 ","1,074 ",78 ,456 ,"6,572 ","3,246 ",17 ,31 
,Gyeonggi Namyangju-si,Female,"10,660 ","1,064 ",75 ,422 ,"5,992 ","3,068 ",16 ,23 
,Gyeonggi Paju-si,Total,"14,624 ",805 ,248 ,38 ,"7,745 ","4,997 ",32 ,759 
,Gyeonggi Paju-si,Male,"7,573 ",450 ,128 ,27 ,"4,040 ","2,515 ",13 ,400 
,Gyeonggi Paju-si,Female,"7,051 ",355 ,120 ,11 ,"3,705 ","2,482 ",19 ,359 
,Gyeonggi Guri-si,Total,"5,096 ",625 ,0 ,164 ,"2,354 ","1,864 ",0 ,89 
,Gyeonggi Guri-si,Male,"2,662 ",322 ,0 ,92 ,"1,232 ",968 ,0 ,48 
,Gyeonggi Guri-si,Female,"2,434 ",303 ,0 ,72 ,"1,122 ",896 ,0 ,41 
,Gyeonggi Pocheon-si,Total,"4,713 ",724 ,0 ,122 ,"2,796 ",701 ,115 ,255 
,Gyeonggi Pocheon-si,Male,"2,451 ",337 ,0 ,73 ,"1,471 ",381 ,59 ,130 
,Gyeonggi Pocheon-si,Female,"2,262 ",387 ,0 ,49 ,"1,325 ",320 ,56 ,125 
,Gyeonggi Yangju-si,Total,"7,624 ",865 ,0 ,66 ,"4,406 ","2,130 ",0 ,157 
,Gyeonggi Yangju-si,Male,"3,957 ",453 ,0 ,34 ,"2,294 ","1,098 ",0 ,78 
,Gyeonggi Yangju-si,Female,"3,667 ",412 ,0 ,32 ,"2,112 ","1,032 ",0 ,79 
,Gyeonggi Dongducheon-si,Total,"3,420 ",491 ,34 ,71 ,"1,954 ",870 ,0 ,0 
,Gyeonggi Dongducheon-si,Male,"1,784 ",261 ,22 ,38 ,"1,024 ",439 ,0 ,0 
,Gyeonggi Dongducheon-si,Female,"1,636 ",230 ,12 ,33 ,930 ,431 ,0 ,0 
,Gyeonggi Gapyeong-gun,Total,"1,523 ",273 ,50 ,86 ,834 ,192 ,0 ,88 
,Gyeonggi Gapyeong-gun,Male,746 ,149 ,20 ,43 ,391 ,97 ,0 ,46 
,Gyeonggi Gapyeong-gun,Female,777 ,124 ,30 ,43 ,443 ,95 ,0 ,42 
,Gyeonggi Yeoncheon-gun,Total,"1,145 ",317 ,110 ,39 ,372 ,195 ,0 ,112 
,Gyeonggi Yeoncheon-gun,Male,553 ,152 ,51 ,19 ,177 ,94 ,0 ,60 
,Gyeonggi Yeoncheon-gun,Female,592 ,165 ,59 ,20 ,195 ,101 ,0 ,52 
,Gyeonggi Suwon-si,Total,"34,588 ","2,724 ",240 ,514 ,"16,956 ","11,911 ",77 ,"2,166 "
,Gyeonggi Suwon-si,Male,"17,901 ","1,416 ",118 ,269 ,"8,716 ","6,186 ",54 ,"1,142 "
,Gyeonggi Suwon-si,Female,"16,687 ","1,308 ",122 ,245 ,"8,240 ","5,725 ",23 ,"1,024 "
,Gyeonggi Seongnam-si,Total,"23,893 ","5,421 ",84 ,714 ,"7,970 ","6,741 ",207 ,"2,756 "
,Gyeonggi Seongnam-si,Male,"12,301 ","2,837 ",48 ,372 ,"4,125 ","3,418 ",111 ,"1,390 "
,Gyeonggi Seongnam-si,Female,"11,592 ","2,584 ",36 ,342 ,"3,845 ","3,323 ",96 ,"1,366 "
,Gyeonggi Anyang-si,Total,"15,845 ","2,310 ",103 ,50 ,"7,563 ","5,391 ",60 ,368 
,Gyeonggi Anyang-si,Male,"8,059 ","1,171 ",60 ,24 ,"3,850 ","2,738 ",28 ,188 
,Gyeonggi Anyang-si,Female,"7,786 ","1,139 ",43 ,26 ,"3,713 ","2,653 ",32 ,180 
,Gyeonggi Bucheon-si,Total,"20,495 ","1,928 ",200 ,975 ,"11,809 ","5,111 ",78 ,394 
,Gyeonggi Bucheon-si,Male,"10,578 ","1,017 ",114 ,522 ,"6,097 ","2,605 ",40 ,183 
,Gyeonggi Bucheon-si,Female,"9,917 ",911 ,86 ,453 ,"5,712 ","2,506 ",38 ,211 
,Gyeonggi Gwangmyeong-si,Total,"9,843 ","1,771 ",135 ,183 ,"4,337 ","3,150 ",62 ,205 
,Gyeonggi Gwangmyeong-si,Male,"5,182 ",917 ,68 ,98 ,"2,283 ","1,668 ",36 ,112 
,Gyeonggi Gwangmyeong-si,Female,"4,661 ",854 ,67 ,85 ,"2,054 ","1,482 ",26 ,93 
,Gyeonggi Pyeongtaek-si,Total,"15,314 ","1,212 ",220 ,380 ,"9,680 ","3,247 ",19 ,556 
,Gyeonggi Pyeongtaek-si,Male,"7,881 ",620 ,112 ,203 ,"4,954 ","1,685 ",11 ,296 
,Gyeonggi Pyeongtaek-si,Female,"7,433 ",592 ,108 ,177 ,"4,726 ","1,562 ",8 ,260 
,Gyeonggi Ansan-si,Total,"20,278 ","1,811 ",0 ,433 ,"12,717 ","4,866 ",56 ,395 
,Gyeonggi Ansan-si,Male,"10,359 ",912 ,0 ,200 ,"6,507 ","2,516 ",29 ,195 
,Gyeonggi Ansan-si,Female,"9,919 ",899 ,0 ,233 ,"6,210 ","2,350 ",27 ,200 
,Gyeonggi Gwacheon-si,Total,"2,244 ",594 ,73 ,0 ,392 ,317 ,155 ,713 
,Gyeonggi Gwacheon-si,Male,"1,220 ",316 ,35 ,0 ,211 ,177 ,86 ,395 
,Gyeonggi Gwacheon-si,Female,"1,024 ",278 ,38 ,0 ,181 ,140 ,69 ,318 
,Gyeonggi Osan-si,Total,"8,236 ","1,896 ",36 ,124 ,"3,533 ","2,512 ",0 ,135 
,Gyeonggi Osan-si,Male,"4,287 ","1,011 ",27 ,66 ,"1,836 ","1,279 ",0 ,68 
,Gyeonggi Osan-si,Female,"3,949 ",885 ,9 ,58 ,"1,697 ","1,233 ",0 ,67 
,Gyeonggi Siheung-si,Total,"14,332 ","1,399 ",335 ,33 ,"8,822 ","3,677 ",0 ,66 
,Gyeonggi Siheung-si,Male,"7,449 ",759 ,175 ,15 ,"4,555 ","1,902 ",0 ,43 
,Gyeonggi Siheung-si,Female,"6,883 ",640 ,160 ,18 ,"4,267 ","1,775 ",0 ,23 
,Gyeonggi Gunpo-si,Total,"8,429 ","1,207 ",43 ,128 ,"4,177 ","2,592 ",76 ,206 
,Gyeonggi Gunpo-si,Male,"4,330 ",624 ,15 ,61 ,"2,156 ","1,325 ",39 ,110 
,Gyeonggi Gunpo-si,Female,"4,099 ",583 ,28 ,67 ,"2,021 ","1,267 ",37 ,96 
,Gyeonggi Uiwang-si,Total,"4,803 ",757 ,370 ,423 ,"1,687 ","1,341 ",90 ,135 
,Gyeonggi Uiwang-si,Male,"2,495 ",381 ,183 ,238 ,876 ,699 ,43 ,75 
,Gyeonggi Uiwang-si,Female,"2,308 ",376 ,187 ,185 ,811 ,642 ,47 ,60 
,Gyeonggi Hanam-si,Total,"7,698 ",578 ,0 ,49 ,"4,568 ","2,233 ",207 ,63 
,Gyeonggi Hanam-si,Male,"3,935 ",309 ,0 ,19 ,"2,321 ","1,158 ",93 ,35 
,Gyeonggi Hanam-si,Female,"3,763 ",269 ,0 ,30 ,"2,247 ","1,075 ",114 ,28 
,Gyeonggi Yongin-si,Total,"34,009 ","2,035 ",387 ,"1,175 ","18,825 ","10,054 ",166 ,"1,367 "
,Gyeonggi Yongin-si,Male,"17,522 ","1,040 ",218 ,655 ,"9,667 ","5,136 ",94 ,712 
,Gyeonggi Yongin-si,Female,"16,487 ",995 ,169 ,520 ,"9,158 ","4,918 ",72 ,655 
,Gyeonggi Icheon-si,Total,"8,278 ",704 ,0 ,52 ,"6,281 ",884 ,20 ,337 
,Gyeonggi Icheon-si,Male,"4,302 ",366 ,0 ,28 ,"3,291 ",443 ,10 ,164 
,Gyeonggi Icheon-si,Female,"3,976 ",338 ,0 ,24 ,"2,990 ",441 ,10 ,173 
,Gyeonggi Anseong-si,Total,"6,949 ",680 ,194 ,186 ,"4,070 ","1,695 ",0 ,124 
,Gyeonggi Anseong-si,Male,"3,619 ",356 ,99 ,100 ,"2,122 ",876 ,0 ,66 
,Gyeonggi Anseong-si,Female,"3,330 ",324 ,95 ,86 ,"1,948 ",819 ,0 ,58 
,Gyeonggi Gimpo-si,Total,"13,180 ","1,280 ",557 ,0 ,"6,193 ","4,970 ",18 ,162 
,Gyeonggi Gimpo-si,Male,"6,731 ",637 ,311 ,0 ,"3,205 ","2,484 ",10 ,84 
,Gyeonggi Gimpo-si,Female,"6,449 ",643 ,246 ,0 ,"2,988 ","2,486 ",8 ,78 
,Gyeonggi Hwaseong-si,Total,"25,308 ","1,994 ",547 ,309 ,"12,844 ","8,972 ",0 ,642 
,Gyeonggi Hwaseong-si,Male,"13,014 ","1,013 ",280 ,152 ,"6,657 ","4,565 ",0 ,347 
,Gyeonggi Hwaseong-si,Female,"12,294 ",981 ,267 ,157 ,"6,187 ","4,407 ",0 ,295 
,Gyeonggi Gwangju-si,Total,"14,408 ","1,047 ",57 ,448 ,"9,896 ","2,835 ",40 ,85 
,Gyeonggi Gwangju-si,Male,"7,527 ",543 ,29 ,239 ,"5,140 ","1,509 ",19 ,48 
,Gyeonggi Gwangju-si,Female,"6,881 ",504 ,28 ,209 ,"4,756 ","1,326 ",21 ,37 
,Gyeonggi Yeoju-si,Total,"3,036 ",79 ,158 ,37 ,"2,301 ",413 ,0 ,48 
,Gyeonggi Yeoju-si,Male,"1,568 ",36 ,84 ,24 ,"1,191 ",212 ,0 ,21 
,Gyeonggi Yeoju-si,Female,"1,468 ",43 ,74 ,13 ,"1,110 ",201 ,0 ,27 
,Gyeonggi Yangpyeong-gun,Total,"2,925 ",737 ,47 ,139 ,"1,727 ",201 ,0 ,74 
,Gyeonggi Yangpyeong-gun,Male,"1,503 ",379 ,23 ,70 ,897 ,97 ,0 ,37 
,Gyeonggi Yangpyeong-gun,Female,"1,422 ",358 ,24 ,69 ,830 ,104 ,0 ,37 
Gangwon,Gangwon Total,Total,"41,020 ","5,599 ","6,224 ","1,789 ","17,691 ","7,505 ",83 ,"2,129 "
,Gangwon Total,Male,"21,061 ","2,905 ","3,213 ",893 ,"9,121 ","3,787 ",46 ,"1,096 "
,Gangwon Total,Female,"19,959 ","2,694 ","3,011 ",896 ,"8,570 ","3,718 ",37 ,"1,033 "
,Gangwon Chuncheon-si,Total,"8,497 ",912 ,"1,006 ",516 ,"3,496 ","2,069 ",38 ,460 
,Gangwon Chuncheon-si,Male,"4,363 ",474 ,513 ,263 ,"1,811 ","1,040 ",20 ,242 
,Gangwon Chuncheon-si,Female,"4,134 ",438 ,493 ,253 ,"1,685 ","1,029 ",18 ,218 
,Gangwon Wonju-si,Total,"10,006 ","1,260 ",622 ,218 ,"4,429 ","2,925 ",23 ,529 
,Gangwon Wonju-si,Male,"5,155 ",643 ,329 ,106 ,"2,317 ","1,474 ",12 ,274 
,Gangwon Wonju-si,Female,"4,851 ",617 ,293 ,112 ,"2,112 ","1,451 ",11 ,255 
,Gangwon Gangneung-si,Total,"5,558 ",214 ,"1,027 ",81 ,"3,343 ",690 ,22 ,181 
,Gangwon Gangneung-si,Male,"2,855 ",107 ,549 ,41 ,"1,698 ",353 ,14 ,93 
,Gangwon Gangneung-si,Female,"2,703 ",107 ,478 ,40 ,"1,645 ",337 ,8 ,88 
,Gangwon Donghae-si,Total,"2,576 ",144 ,561 ,142 ,"1,052 ",611 ,0 ,66 
,Gangwon Donghae-si,Male,"1,359 ",78 ,325 ,71 ,546 ,309 ,0 ,30 
,Gangwon Donghae-si,Female,"1,217 ",66 ,236 ,71 ,506 ,302 ,0 ,36 
,Gangwon Taebaek-si,Total,"1,295 ",595 ,161 ,71 ,223 ,96 ,0 ,149 
,Gangwon Taebaek-si,Male,665 ,315 ,84 ,30 ,121 ,50 ,0 ,65 
,Gangwon Taebaek-si,Female,630 ,280 ,77 ,41 ,102 ,46 ,0 ,84 
,Gangwon Sokcho-si,Total,"2,649 ",221 ,515 ,121 ,"1,285 ",427 ,0 ,80 
,Gangwon Sokcho-si,Male,"1,321 ",116 ,260 ,57 ,633 ,217 ,0 ,38 
,Gangwon Sokcho-si,Female,"1,328 ",105 ,255 ,64 ,652 ,210 ,0 ,42 
,Gangwon Samcheok-si,Total,"1,320 ",347 ,122 ,0 ,553 ,274 ,0 ,24 
,Gangwon Samcheok-si,Male,681 ,180 ,62 ,0 ,284 ,140 ,0 ,15 
,Gangwon Samcheok-si,Female,639 ,167 ,60 ,0 ,269 ,134 ,0 ,9 
,Gangwon Hongcheon-gun,Total,"1,530 ",116 ,228 ,109 ,856 ,96 ,0 ,125 
,Gangwon Hongcheon-gun,Male,768 ,60 ,115 ,53 ,429 ,45 ,0 ,66 
,Gangwon Hongcheon-gun,Female,762 ,56 ,113 ,56 ,427 ,51 ,0 ,59 
,Gangwon Hoengseong-gun,Total,876 ,83 ,375 ,49 ,253 ,78 ,0 ,38 
,Gangwon Hoengseong-gun,Male,431 ,42 ,186 ,23 ,119 ,41 ,0 ,20 
,Gangwon Hoengseong-gun,Female,445 ,41 ,189 ,26 ,134 ,37 ,0 ,18 
,Gangwon Yeongwol-gun,Total,597 ,93 ,250 ,127 ,87 ,40 ,0 ,0 
,Gangwon Yeongwol-gun,Male,320 ,54 ,131 ,67 ,51 ,17 ,0 ,0 
,Gangwon Yeongwol-gun,Female,277 ,39 ,119 ,60 ,36 ,23 ,0 ,0 
,Gangwon Pyongchang-gun,Total,709 ,126 ,174 ,81 ,311 ,17 ,0 ,0 
,Gangwon Pyongchang-gun,Male,336 ,59 ,74 ,40 ,155 ,8 ,0 ,0 
,Gangwon Pyongchang-gun,Female,373 ,67 ,100 ,41 ,156 ,9 ,0 ,0 
,Gangwon Jeongseon-gun,Total,618 ,279 ,324 ,0 ,0 ,15 ,0 ,0 
,Gangwon Jeongseon-gun,Male,321 ,152 ,163 ,0 ,0 ,6 ,0 ,0 
,Gangwon Jeongseon-gun,Female,297 ,127 ,161 ,0 ,0 ,9 ,0 ,0 
,Gangwon Cheolwon-gun,Total,"1,431 ",146 ,133 ,62 ,931 ,31 ,0 ,128 
,Gangwon Cheolwon-gun,Male,721 ,73 ,56 ,30 ,477 ,16 ,0 ,69 
,Gangwon Cheolwon-gun,Female,710 ,73 ,77 ,32 ,454 ,15 ,0 ,59 
,Gangwon Hwacheon-gun,Total,738 ,256 ,108 ,0 ,315 ,20 ,0 ,39 
,Gangwon Hwacheon-gun,Male,412 ,141 ,57 ,0 ,180 ,11 ,0 ,23 
,Gangwon Hwacheon-gun,Female,326 ,115 ,51 ,0 ,135 ,9 ,0 ,16 
,Gangwon Yanggu-gun,Total,743 ,93 ,331 ,66 ,144 ,7 ,0 ,102 
,Gangwon Yanggu-gun,Male,362 ,49 ,164 ,34 ,66 ,4 ,0 ,45 
,Gangwon Yanggu-gun,Female,381 ,44 ,167 ,32 ,78 ,3 ,0 ,57 
,Gangwon Inje-gun,Total,897 ,277 ,125 ,88 ,127 ,72 ,0 ,208 
,Gangwon Inje-gun,Male,482 ,135 ,67 ,50 ,75 ,39 ,0 ,116 
,Gangwon Inje-gun,Female,415 ,142 ,58 ,38 ,52 ,33 ,0 ,92 
,Gangwon Goseong-gun,Total,541 ,329 ,0 ,0 ,194 ,18 ,0 ,0 
,Gangwon Goseong-gun,Male,284 ,168 ,0 ,0 ,109 ,7 ,0 ,0 
,Gangwon Goseong-gun,Female,257 ,161 ,0 ,0 ,85 ,11 ,0 ,0 
,Gangwon Yangyang-gun,Total,439 ,108 ,162 ,58 ,92 ,19 ,0 ,0 
,Gangwon Yangyang-gun,Male,225 ,59 ,78 ,28 ,50 ,10 ,0 ,0 
,Gangwon Yangyang-gun,Female,214 ,49 ,84 ,30 ,42 ,9 ,0 ,0 
North Chuncheong,North Chungcheong Total,Total,"49,896 ","3,855 ","7,722 ","2,108 ","26,342 ","7,975 ",142 ,"1,752 "
,North Chungcheong Total,Male,"25,550 ","1,963 ","4,023 ","1,065 ","13,500 ","4,028 ",64 ,907 
,North Chungcheong Total,Female,"24,346 ","1,892 ","3,699 ","1,043 ","12,842 ","3,947 ",78 ,845 
,North Chungcheong Cheongju-si,Total,"30,100 ","1,222 ","3,123 ",730 ,"17,320 ","6,445 ",0 ,"1,260 "
,North Chungcheong Cheongju-si,Male,"15,499 ",619 ,"1,639 ",383 ,"8,933 ","3,270 ",0 ,655 
,North Chungcheong Cheongju-si,Female,"14,601 ",603 ,"1,484 ",347 ,"8,387 ","3,175 ",0 ,605 
,North Chungcheong Chungju-si,Total,"5,678 ",383 ,"1,171 ",208 ,"3,316 ",556 ,20 ,24 
,North Chungcheong Chungju-si,Male,"2,867 ",170 ,627 ,100 ,"1,658 ",289 ,9 ,14 
,North Chungcheong Chungju-si,Female,"2,811 ",213 ,544 ,108 ,"1,658 ",267 ,11 ,10 
,North Chungcheong Jecheon-si,Total,"3,152 ",553 ,557 ,352 ,"1,354 ",255 ,0 ,81 
,North Chungcheong Jecheon-si,Male,"1,608 ",290 ,296 ,179 ,685 ,118 ,0 ,40 
,North Chungcheong Jecheon-si,Female,"1,544 ",263 ,261 ,173 ,669 ,137 ,0 ,41 
,North Chungcheong Cheongwon-gun,Total,,0 ,0 ,0 ,0 ,0 ,0 ,0 
,North Chungcheong Cheongwon-gun,Male,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,North Chungcheong Cheongwon-gun,Female,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
,North Chungcheong Boeun-gun,Total,522 ,98 ,133 ,0 ,236 ,35 ,0 ,20 
,North Chungcheong Boeun-gun,Male,256 ,41 ,71 ,0 ,119 ,17 ,0 ,8 
,North Chungcheong Boeun-gun,Female,266 ,57 ,62 ,0 ,117 ,18 ,0 ,12 
,North Chungcheong Okcheon-gun,Total,946 ,216 ,139 ,42 ,449 ,63 ,19 ,18 
,North Chungcheong Okcheon-gun,Male,508 ,115 ,77 ,22 ,248 ,27 ,7 ,12 
,North Chungcheong Okcheon-gun,Female,438 ,101 ,62 ,20 ,201 ,36 ,12 ,6 
,North Chungcheong Yeongdong-gun,Total,862 ,115 ,430 ,31 ,218 ,18 ,26 ,24 
,North Chungcheong Yeongdong-gun,Male,441 ,54 ,220 ,25 ,113 ,9 ,10 ,10 
,North Chungcheong Yeongdong-gun,Female,421 ,61 ,210 ,6 ,105 ,9 ,16 ,14 
,North Chungcheong Jincheon-gun,Total,"2,909 ",361 ,503 ,307 ,"1,325 ",203 ,0 ,210 
,North Chungcheong Jincheon-gun,Male,"1,471 ",187 ,257 ,138 ,685 ,95 ,0 ,109 
,North Chungcheong Jincheon-gun,Female,"1,438 ",174 ,246 ,169 ,640 ,108 ,0 ,101 
,North Chungcheong Goesan-gun,Total,556 ,102 ,242 ,137 ,0 ,27 ,0 ,48 
,North Chungcheong Goesan-gun,Male,277 ,50 ,127 ,62 ,0 ,11 ,0 ,27 
,North Chungcheong Goesan-gun,Female,279 ,52 ,115 ,75 ,0 ,16 ,0 ,21 
,North Chungcheong Eumseong-gun,Total,"3,020 ",476 ,875 ,175 ,"1,079 ",313 ,77 ,25 
,North Chungcheong Eumseong-gun,Male,"1,545 ",250 ,443 ,96 ,548 ,158 ,38 ,12 
,North Chungcheong Eumseong-gun,Female,"1,475 ",226 ,432 ,79 ,531 ,155 ,39 ,13 
,North Chungcheong Jeungpyong-gun,Total,"1,553 ",99 ,307 ,0 ,"1,045 ",60 ,0 ,42 
,North Chungcheong Jeungpyong-gun,Male,767 ,56 ,146 ,0 ,511 ,34 ,0 ,20 
,North Chungcheong Jeungpyong-gun,Female,786 ,43 ,161 ,0 ,534 ,26 ,0 ,22 
,North Chungcheong Danyang-gun,Total,598 ,230 ,242 ,126 ,0 ,0 ,0 ,0 
,North Chungcheong Danyang-gun,Male,311 ,131 ,120 ,60 ,0 ,0 ,0 ,0 
,North Chungcheong Danyang-gun,Female,287 ,99 ,122 ,66 ,0 ,0 ,0 ,0 
South Chungcheong,South Chungcheong Total,Total,"69,787 ","4,109 ","7,398 ","2,435 ","36,921 ","16,235 ",61 ,"2,628 "
,South Chungcheong Total,Male,"36,139 ","2,191 ","3,839 ","1,283 ","19,056 ","8,373 ",29 ,"1,368 "
,South Chungcheong Total,Female,"33,648 ","1,918 ","3,559 ","1,152 ","17,865 ","7,862 ",32 ,"1,260 "
,South Chungcheong Cheonan-si,Total,"21,356 ","1,301 ",523 ,473 ,"11,611 ","6,897 ",61 ,490 
,South Chungcheong Cheonan-si,Male,"11,072 ",670 ,281 ,246 ,"6,037 ","3,544 ",29 ,265 
,South Chungcheong Cheonan-si,Female,"10,284 ",631 ,242 ,227 ,"5,574 ","3,353 ",32 ,225 
,South Chungcheong Gongju-si,Total,"2,492 ",332 ,284 ,220 ,"1,189 ",445 ,0 ,22 
,South Chungcheong Gongju-si,Male,"1,313 ",198 ,150 ,118 ,614 ,224 ,0 ,9 
,South Chungcheong Gongju-si,Female,"1,179 ",134 ,134 ,102 ,575 ,221 ,0 ,13 
,South Chungcheong Boryeong-si,Total,"2,472 ",218 ,382 ,161 ,"1,268 ",325 ,0 ,118 
,South Chungcheong Boryeong-si,Male,"1,256 ",117 ,199 ,91 ,640 ,163 ,0 ,46 
,South Chungcheong Boryeong-si,Female,"1,216 ",101 ,183 ,70 ,628 ,162 ,0 ,72 
,South Chungcheong Asan-si,Total,"15,159 ",526 ,767 ,123 ,"8,492 ","4,629 ",0 ,622 
,South Chungcheong Asan-si,Male,"7,910 ",292 ,413 ,70 ,"4,380 ","2,429 ",0 ,326 
,South Chungcheong Asan-si,Female,"7,249 ",234 ,354 ,53 ,"4,112 ","2,200 ",0 ,296 
,South Chungcheong Seosan-si,Total,"6,237 ",100 ,707 ,280 ,"3,801 ","1,038 ",0 ,311 
,South Chungcheong Seosan-si,Male,"3,272 ",59 ,376 ,153 ,"2,003 ",514 ,0 ,167 
,South Chungcheong Seosan-si,Female,"2,965 ",41 ,331 ,127 ,"1,798 ",524 ,0 ,144 
,South Chungcheong Nonsan-si,Total,"3,781 ",251 ,615 ,384 ,"1,807 ",587 ,0 ,137 
,South Chungcheong Nonsan-si,Male,"1,937 ",135 ,325 ,189 ,906 ,307 ,0 ,75 
,South Chungcheong Nonsan-si,Female,"1,844 ",116 ,290 ,195 ,901 ,280 ,0 ,62 
,South Chungcheong Gyerong-si,Total,"1,446 ",58 ,181 ,35 ,548 ,476 ,0 ,148 
,South Chungcheong Gyerong-si,Male,732 ,26 ,90 ,20 ,273 ,237 ,0 ,86 
,South Chungcheong Gyerong-si,Female,714 ,32 ,91 ,15 ,275 ,239 ,0 ,62 
,South Chungcheong Geumsan-gun,Total,"1,141 ",235 ,204 ,84 ,510 ,32 ,0 ,76 
,South Chungcheong Geumsan-gun,Male,586 ,110 ,108 ,40 ,272 ,17 ,0 ,39 
,South Chungcheong Geumsan-gun,Female,555 ,125 ,96 ,44 ,238 ,15 ,0 ,37 
,South Chungcheong Buyeo-gun,Total,"1,189 ",39 ,705 ,52 ,231 ,162 ,0 ,0 
,South Chungcheong Buyeo-gun,Male,602 ,24 ,335 ,30 ,124 ,89 ,0 ,0 
,South Chungcheong Buyeo-gun,Female,587 ,15 ,370 ,22 ,107 ,73 ,0 ,0 
,South Chungcheong Seocheon-gun,Total,"1,108 ",191 ,502 ,143 ,240 ,32 ,0 ,0 
,South Chungcheong Seocheon-gun,Male,553 ,99 ,243 ,69 ,125 ,17 ,0 ,0 
,South Chungcheong Seocheon-gun,Female,555 ,92 ,259 ,74 ,115 ,15 ,0 ,0 
,South Chungcheong Cheongyang-gun,Total,488 ,67 ,145 ,0 ,223 ,53 ,0 ,0 
,South Chungcheong Cheongyang-gun,Male,244 ,33 ,78 ,0 ,105 ,28 ,0 ,0 
,South Chungcheong Cheongyang-gun,Female,244 ,34 ,67 ,0 ,118 ,25 ,0 ,0 
,South Chungcheong Hongseong-gun,Total,"2,678 ",264 ,678 ,22 ,"1,228 ",312 ,0 ,174 
,South Chungcheong Hongseong-gun,Male,"1,391 ",146 ,342 ,13 ,650 ,155 ,0 ,85 
,South Chungcheong Hongseong-gun,Female,"1,287 ",118 ,336 ,9 ,578 ,157 ,0 ,89 
,South Chungcheong Yesan-gun,Total,"1,358 ",39 ,540 ,37 ,578 ,120 ,0 ,44 
,South Chungcheong Yesan-gun,Male,724 ,24 ,287 ,18 ,307 ,59 ,0 ,29 
,South Chungcheong Yesan-gun,Female,634 ,15 ,253 ,19 ,271 ,61 ,0 ,15 
,South Chungcheong Taean-gun,Total,"1,366 ",54 ,453 ,59 ,588 ,39 ,0 ,173 
,South Chungcheong Taean-gun,Male,674 ,28 ,232 ,26 ,289 ,17 ,0 ,82 
,South Chungcheong Taean-gun,Female,692 ,26 ,221 ,33 ,299 ,22 ,0 ,91 
,South Chungcheong Dangjin-si,Total,"7,516 ",434 ,712 ,362 ,"4,607 ","1,088 ",0 ,313 
,South Chungcheong Dangjin-si,Male,"3,873 ",230 ,380 ,200 ,"2,331 ",573 ,0 ,159 
,South Chungcheong Dangjin-si,Female,"3,643 ",204 ,332 ,162 ,"2,276 ",515 ,0 ,154 
North Jeolla,North Jeolla Total,Total,"52,105 ","3,118 ","8,517 ","4,883 ","24,326 ","10,218 ",20 ,"1,023 "
,North Jeolla Total,Male,"27,078 ","1,627 ","4,453 ","2,587 ","12,601 ","5,265 ",13 ,532 
,North Jeolla Total,Female,"25,027 ","1,491 ","4,064 ","2,296 ","11,725 ","4,953 ",7 ,491 
,North Jeolla Jeonju-si,Total,"20,586 ",451 ,"2,849 ",942 ,"10,380 ","5,321 ",20 ,623 
,North Jeolla Jeonju-si,Male,"10,650 ",228 ,"1,474 ",508 ,"5,349 ","2,755 ",13 ,323 
,North Jeolla Jeonju-si,Female,"9,936 ",223 ,"1,375 ",434 ,"5,031 ","2,566 ",7 ,300 
,North Jeolla Gunsan-si,Total,"9,127 ",704 ,"1,275 ",839 ,"4,501 ","1,703 ",0 ,105 
,North Jeolla Gunsan-si,Male,"4,742 ",364 ,689 ,423 ,"2,326 ",895 ,0 ,45 
