Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Seoul Guro-gu,Male,"6,478 ","1,830 ",146 ,208 ,"2,653 ","1,409 ",47 ,185 
,Seoul Guro-gu,Female,"6,099 ","1,693 ",132 ,211 ,"2,519 ","1,287 ",70 ,187 
,Seoul Geumcheon-gu,Total,"7,110 ","2,278 ",218 ,622 ,"2,786 ",870 ,10 ,326 
,Seoul Geumcheon-gu,Male,"3,623 ","1,139 ",98 ,300 ,"1,453 ",450 ,5 ,178 
,Seoul Geumcheon-gu,Female,"3,487 ","1,139 ",120 ,322 ,"1,333 ",420 ,5 ,148 
,Seoul Yeongdeungpo-gu,Total,"10,517 ","2,871 ",106 ,40 ,"3,752 ","1,688 ",0 ,"2,060 "
,Seoul Yeongdeungpo-gu,Male,"5,320 ","1,413 ",54 ,18 ,"1,931 ",882 ,0 ,"1,022 "
,Seoul Yeongdeungpo-gu,Female,"5,197 ","1,458 ",52 ,22 ,"1,821 ",806 ,0 ,"1,038 "
,Seoul Dongjak-gu,Total,"8,847 ","3,450 ",92 ,97 ,"3,424 ","1,520 ",40 ,224 
,Seoul Dongjak-gu,Male,"4,602 ","1,773 ",48 ,47 ,"1,786 ",801 ,23 ,124 
,Seoul Dongjak-gu,Female,"4,245 ","1,677 ",44 ,50 ,"1,638 ",719 ,17 ,100 
,Seoul Gwanak-gu,Total,"10,381 ","3,732 ",65 ,352 ,"3,894 ","1,819 ",0 ,519 
,Seoul Gwanak-gu,Male,"5,295 ","1,899 ",32 ,194 ,"1,981 ",913 ,0 ,276 
,Seoul Gwanak-gu,Female,"5,086 ","1,833 ",33 ,158 ,"1,913 ",906 ,0 ,243 
,Seoul Seocho-gu,Total,"8,956 ","3,667 ",0 ,235 ,"2,189 ","1,427 ",75 ,"1,363 "
,Seoul Seocho-gu,Male,"4,562 ","1,868 ",0 ,124 ,"1,129 ",711 ,41 ,689 
,Seoul Seocho-gu,Female,"4,394 ","1,799 ",0 ,111 ,"1,060 ",716 ,34 ,674 
,Seoul Gangnam-gu,Total,"9,972 ","4,095 ",0 ,0 ,"3,332 ","1,345 ",60 ,"1,140 "
,Seoul Gangnam-gu,Male,"5,145 ","2,143 ",0 ,0 ,"1,687 ",693 ,28 ,594 
,Seoul Gangnam-gu,Female,"4,827 ","1,952 ",0 ,0 ,"1,645 ",652 ,32 ,546 
,Seoul Songpa-gu,Total,"15,420 ","3,800 ",77 ,150 ,"6,856 ","3,484 ",64 ,989 
,Seoul Songpa-gu,Male,"7,958 ","1,962 ",34 ,68 ,"3,586 ","1,777 ",36 ,495 
,Seoul Songpa-gu,Female,"7,462 ","1,838 ",43 ,82 ,"3,270 ","1,707 ",28 ,494 
,Seoul Gangdong-gu,Total,"11,918 ","3,251 ",77 ,147 ,"6,263 ","2,006 ",0 ,174 
,Seoul Gangdong-gu,Male,"6,174 ","1,685 ",35 ,81 ,"3,249 ","1,039 ",0 ,85 
,Seoul Gangdong-gu,Female,"5,744 ","1,566 ",42 ,66 ,"3,014 ",967 ,0 ,89 
Busan,Busan Total,Total,"74,971 ","10,986 ","5,770 ","2,412 ","39,676 ","13,532 ",345 ,"2,250 "
,Busan Total,Male,"38,854 ","5,698 ","3,066 ","1,259 ","20,511 ","6,964 ",165 ,"1,191 "
,Busan Total,Female,"36,117 ","5,288 ","2,704 ","1,153 ","19,165 ","6,568 ",180 ,"1,059 "
,Busan Jung-gu,Total,852 ,298 ,41 ,0 ,401 ,38 ,0 ,74 
,Busan Jung-gu,Male,452 ,154 ,25 ,0 ,213 ,19 ,0 ,41 
,Busan Jung-gu,Female,400 ,144 ,16 ,0 ,188 ,19 ,0 ,33 
,Busan Seo-gu,Total,"1,727 ",647 ,94 ,124 ,752 ,110 ,0 ,0 
,Busan Seo-gu,Male,919 ,335 ,53 ,68 ,412 ,51 ,0 ,0 
,Busan Seo-gu,Female,808 ,312 ,41 ,56 ,340 ,59 ,0 ,0 
,Busan Dong-gu,Total,"1,641 ",454 ,199 ,106 ,613 ,120 ,0 ,149 
,Busan Dong-gu,Male,869 ,242 ,101 ,61 ,325 ,59 ,0 ,81 
,Busan Dong-gu,Female,772 ,212 ,98 ,45 ,288 ,61 ,0 ,68 
,Busan Yeongdo-gu,Total,"2,236 ",769 ,92 ,380 ,782 ,174 ,0 ,39 
,Busan Yeongdo-gu,Male,"1,132 ",386 ,40 ,195 ,404 ,85 ,0 ,22 
,Busan Yeongdo-gu,Female,"1,104 ",383 ,52 ,185 ,378 ,89 ,0 ,17 
,Busan Busanjin-gu,Total,"6,387 ","1,202 ",367 ,170 ,"3,059 ","1,065 ",40 ,484 
,Busan Busanjin-gu,Male,"3,285 ",629 ,194 ,100 ,"1,564 ",525 ,18 ,255 
,Busan Busanjin-gu,Female,"3,102 ",573 ,173 ,70 ,"1,495 ",540 ,22 ,229 
,Busan Dongnae-gu,Total,"5,338 ",671 ,329 ,0 ,"3,373 ",756 ,62 ,147 
,Busan Dongnae-gu,Male,"2,800 ",347 ,176 ,0 ,"1,777 ",393 ,25 ,82 
,Busan Dongnae-gu,Female,"2,538 ",324 ,153 ,0 ,"1,596 ",363 ,37 ,65 
,Busan Nam-gu,Total,"5,459 ","1,130 ",382 ,141 ,"2,491 ","1,061 ",44 ,210 
,Busan Nam-gu,Male,"2,865 ",592 ,219 ,73 ,"1,285 ",566 ,24 ,106 
,Busan Nam-gu,Female,"2,594 ",538 ,163 ,68 ,"1,206 ",495 ,20 ,104 
,Busan Buk-gu,Total,"6,968 ",437 ,415 ,41 ,"4,258 ","1,728 ",67 ,22 
,Busan Buk-gu,Male,"3,610 ",227 ,224 ,20 ,"2,184 ",906 ,37 ,12 
,Busan Buk-gu,Female,"3,358 ",210 ,191 ,21 ,"2,074 ",822 ,30 ,10 
,Busan Haeundae-gu,Total,"8,385 ",889 ,962 ,91 ,"4,785 ","1,471 ",14 ,173 
,Busan Haeundae-gu,Male,"4,411 ",477 ,512 ,46 ,"2,497 ",781 ,8 ,90 
,Busan Haeundae-gu,Female,"3,974 ",412 ,450 ,45 ,"2,288 ",690 ,6 ,83 
,Busan Saha-gu,Total,"8,422 ","1,424 ",680 ,586 ,"4,211 ","1,483 ",0 ,38 
,Busan Saha-gu,Male,"4,380 ",750 ,356 ,306 ,"2,181 ",764 ,0 ,23 
,Busan Saha-gu,Female,"4,042 ",674 ,324 ,280 ,"2,030 ",719 ,0 ,15 
,Busan Geumjeong-gu,Total,"4,496 ",609 ,387 ,45 ,"2,717 ",540 ,40 ,158 
,Busan Geumjeong-gu,Male,"2,308 ",312 ,210 ,23 ,"1,405 ",261 ,21 ,76 
,Busan Geumjeong-gu,Female,"2,188 ",297 ,177 ,22 ,"1,312 ",279 ,19 ,82 
,Busan Gangseo-gu,Total,"4,204 ",301 ,585 ,0 ,"1,799 ","1,156 ",32 ,331 
,Busan Gangseo-gu,Male,"2,128 ",147 ,304 ,0 ,897 ,585 ,11 ,184 
,Busan Gangseo-gu,Female,"2,076 ",154 ,281 ,0 ,902 ,571 ,21 ,147 
,Busan Yeonje-gu,Total,"4,234 ",385 ,204 ,382 ,"2,571 ",501 ,0 ,191 
,Busan Yeonje-gu,Male,"2,163 ",198 ,95 ,194 ,"1,322 ",261 ,0 ,93 
,Busan Yeonje-gu,Female,"2,071 ",187 ,109 ,188 ,"1,249 ",240 ,0 ,98 
,Busan Suyeong-gu,Total,"3,434 ",321 ,431 ,148 ,"2,190 ",335 ,0 ,9 
,Busan Suyeong-gu,Male,"1,791 ",160 ,239 ,72 ,"1,143 ",172 ,0 ,5 
,Busan Suyeong-gu,Female,"1,643 ",161 ,192 ,76 ,"1,047 ",163 ,0 ,4 
,Busan Sasang-gu,Total,"4,806 ",795 ,164 ,198 ,"2,547 ","1,096 ",0 ,6 
,Busan Sasang-gu,Male,"2,455 ",389 ,100 ,101 ,"1,299 ",562 ,0 ,4 
,Busan Sasang-gu,Female,"2,351 ",406 ,64 ,97 ,"1,248 ",534 ,0 ,2 
,Busan Gijang-gun,Total,"6,382 ",654 ,438 ,0 ,"3,127 ","1,898 ",46 ,219 
,Busan Gijang-gun,Male,"3,286 ",353 ,218 ,0 ,"1,603 ",974 ,21 ,117 
,Busan Gijang-gun,Female,"3,096 ",301 ,220 ,0 ,"1,524 ",924 ,25 ,102 
Daegu,Daegu Total,Total,"58,591 ","3,498 ","10,377 ","1,651 ","33,070 ","8,380 ",101 ,"1,514 "
,Daegu Total,Male,"30,187 ","1,815 ","5,468 ",856 ,"16,998 ","4,229 ",53 ,768 
,Daegu Total,Female,"28,404 ","1,683 ","4,909 ",795 ,"16,072 ","4,151 ",48 ,746 
,Daegu Jung-gu,Total,"1,590 ",154 ,277 ,65 ,740 ,181 ,0 ,173 
,Daegu Jung-gu,Male,799 ,88 ,147 ,35 ,363 ,83 ,0 ,83 
,Daegu Jung-gu,Female,791 ,66 ,130 ,30 ,377 ,98 ,0 ,90 
,Daegu Dong-gu,Total,"8,734 ",651 ,"1,297 ",175 ,"5,200 ","1,017 ",18 ,376 
,Daegu Dong-gu,Male,"4,517 ",324 ,660 ,99 ,"2,706 ",523 ,13 ,192 
,Daegu Dong-gu,Female,"4,217 ",327 ,637 ,76 ,"2,494 ",494 ,5 ,184 
,Daegu Seo-gu,Total,"4,723 ",345 ,401 ,178 ,"3,265 ",495 ,0 ,39 
,Daegu Seo-gu,Male,"2,406 ",175 ,227 ,84 ,"1,656 ",244 ,0 ,20 
,Daegu Seo-gu,Female,"2,317 ",170 ,174 ,94 ,"1,609 ",251 ,0 ,19 
,Daegu Nam-gu,Total,"2,816 ",95 ,"1,090 ",257 ,"1,198 ",137 ,20 ,19 
,Daegu Nam-gu,Male,"1,450 ",52 ,554 ,129 ,629 ,69 ,9 ,8 
,Daegu Nam-gu,Female,"1,366 ",43 ,536 ,128 ,569 ,68 ,11 ,11 
,Daegu Buk-gu,Total,"11,154 ",499 ,"1,934 ",179 ,"6,337 ","2,068 ",16 ,121 
,Daegu Buk-gu,Male,"5,775 ",265 ,"1,039 ",94 ,"3,265 ","1,033 ",8 ,71 
,Daegu Buk-gu,Female,"5,379 ",234 ,895 ,85 ,"3,072 ","1,035 ",8 ,50 
,Daegu Suseong-gu,Total,"8,026 ",398 ,"2,579 ",274 ,"3,465 ",814 ,35 ,461 
,Daegu Suseong-gu,Male,"4,088 ",210 ,"1,342 ",144 ,"1,741 ",408 ,16 ,227 
,Daegu Suseong-gu,Female,"3,938 ",188 ,"1,237 ",130 ,"1,724 ",406 ,19 ,234 
,Daegu Dalseo-gu,Total,"13,807 ",665 ,"1,657 ",523 ,"8,188 ","2,494 ",0 ,280 
,Daegu Dalseo-gu,Male,"7,186 ",357 ,894 ,271 ,"4,236 ","1,284 ",0 ,144 
,Daegu Dalseo-gu,Female,"6,621 ",308 ,763 ,252 ,"3,952 ","1,210 ",0 ,136 
,Daegu Dalseong-gun,Total,"7,741 ",691 ,"1,142 ",0 ,"4,677 ","1,174 ",12 ,45 
,Daegu Dalseong-gun,Male,"3,966 ",344 ,605 ,0 ,"2,402 ",585 ,7 ,23 
,Daegu Dalseong-gun,Female,"3,775 ",347 ,537 ,0 ,"2,275 ",589 ,5 ,22 
Incheon,Incheon Total,Total,"80,895 ","9,037 ",844 ,991 ,"47,819 ","18,913 ",190 ,"3,101 "
,Incheon Total,Male,"41,931 ","4,728 ",450 ,508 ,"24,671 ","9,865 ",104 ,"1,605 "
,Incheon Total,Female,"38,964 ","4,309 ",394 ,483 ,"23,148 ","9,048 ",86 ,"1,496 "
,Incheon Jung-gu,Total,"3,657 ",722 ,63 ,32 ,"1,011 ","1,080 ",0 ,749 
,Incheon Jung-gu,Male,"1,844 ",346 ,33 ,21 ,513 ,554 ,0 ,377 
,Incheon Jung-gu,Female,"1,813 ",376 ,30 ,11 ,498 ,526 ,0 ,372 
,Incheon Dong-gu,Total,"1,930 ",545 ,0 ,0 ,850 ,425 ,0 ,110 
,Incheon Dong-gu,Male,"1,033 ",321 ,0 ,0 ,442 ,217 ,0 ,53 
,Incheon Dong-gu,Female,897 ,224 ,0 ,0 ,408 ,208 ,0 ,57 
,Incheon Michuhol-gu,Total,"10,839 ","1,174 ",218 ,138 ,"7,271 ","1,649 ",71 ,318 
,Incheon Michuhol-gu,Male,"5,625 ",622 ,120 ,70 ,"3,714 ",887 ,37 ,175 
,Incheon Michuhol-gu,Female,"5,214 ",552 ,98 ,68 ,"3,557 ",762 ,34 ,143 
,Incheon Yeonsu-gu,Total,"8,836 ","1,182 ",0 ,36 ,"4,457 ","2,763 ",0 ,398 
,Incheon Yeonsu-gu,Male,"4,550 ",617 ,0 ,12 ,"2,305 ","1,419 ",0 ,197 
,Incheon Yeonsu-gu,Female,"4,286 ",565 ,0 ,24 ,"2,152 ","1,344 ",0 ,201 
,Incheon Namdong-gu,Total,"14,782 ","1,716 ",228 ,207 ,"9,069 ","3,210 ",0 ,352 
,Incheon Namdong-gu,Male,"7,660 ",898 ,122 ,100 ,"4,662 ","1,695 ",0 ,183 
,Incheon Namdong-gu,Female,"7,122 ",818 ,106 ,107 ,"4,407 ","1,515 ",0 ,169 
,Incheon Bupyong-gu,Total,"14,285 ","1,118 ",281 ,248 ,"8,413 ","3,665 ",63 ,497 
,Incheon Bupyong-gu,Male,"7,373 ",581 ,137 ,128 ,"4,314 ","1,922 ",36 ,255 
,Incheon Bupyong-gu,Female,"6,912 ",537 ,144 ,120 ,"4,099 ","1,743 ",27 ,242 
,Incheon Gyeyang-gu,Total,"9,172 ",739 ,0 ,44 ,"6,348 ","1,888 ",32 ,121 
,Incheon Gyeyang-gu,Male,"4,744 ",402 ,0 ,18 ,"3,298 ",950 ,18 ,58 
,Incheon Gyeyang-gu,Female,"4,428 ",337 ,0 ,26 ,"3,050 ",938 ,14 ,63 
,Incheon Seo-gu,Total,"16,167 ","1,267 ",54 ,231 ,"9,935 ","4,151 ",24 ,505 
,Incheon Seo-gu,Male,"8,470 ",641 ,38 ,130 ,"5,195 ","2,173 ",13 ,280 
,Incheon Seo-gu,Female,"7,697 ",626 ,16 ,101 ,"4,740 ","1,978 ",11 ,225 
