,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,,,"1,095,450","276,670","64,503","27,743","477,628","184,053","3,203","61,650"
,,,"567,995","143,794","34,075","14,463","247,414","94,644","1,786","31,819"
,,,"527,455","132,876","30,428","13,280","230,214","89,409","1,417","29,831"
Seoul,Total,Total,"167,427","81,969",991,"3,404","47,079","21,258",597,"12,129"
,Total,Male,"86,968","42,587",529,"1,775","24,485","10,991",320,"6,281"
,Total,Female,"80,459","39,382",462,"1,629","22,594","10,267",277,"5,848"
,Seoul Jongno-gu,Total,"2,642","1,385",47,23,139,35,0,"1,013"
,Seoul Jongno-gu,Male,"1,332",682,20,13,75,18,0,524
,Seoul Jongno-gu,Female,"1,310",703,27,10,64,17,0,489
,Seoul Jung-gu,Total,"2,712","1,288",0,212,174,146,0,892
,Seoul Jung-gu,Male,"1,430",660,0,116,99,81,0,474
,Seoul Jung-gu,Female,"1,282",628,0,96,75,65,0,418
,Seoul Yongsan-gu,Total,"3,728","1,632",65,212,773,492,0,554
,Seoul Yongsan-gu,Male,"1,966",849,36,108,399,266,0,308
,Seoul Yongsan-gu,Female,"1,762",783,29,104,374,226,0,246
,Seoul Seongdong-gu,Total,"5,286","3,533",0,97,685,759,0,212
,Seoul Seongdong-gu,Male,"2,801","1,922",0,48,350,371,0,110
,Seoul Seongdong-gu,Female,"2,485","1,611",0,49,335,388,0,102
,Seoul Gwangjin-gu,Total,"4,937","2,424",0,0,"1,846",549,27,91
,Seoul Gwangjin-gu,Male,"2,559","1,232",0,0,988,279,15,45
,Seoul Gwangjin-gu,Female,"2,378","1,192",0,0,858,270,12,46
,Seoul Dongdaemun-gu,Total,"6,102","3,144",0,119,"1,784",878,0,177
,Seoul Dongdaemun-gu,Male,"3,120","1,603",0,61,946,413,0,97
,Seoul Dongdaemun-gu,Female,"2,982","1,541",0,58,838,465,0,80
,Seoul Jungnang-gu,Total,"7,387","3,182",0,220,"3,068",736,17,164
,Seoul Jungnang-gu,Male,"3,796","1,640",0,104,"1,571",383,11,87
,Seoul Jungnang-gu,Female,"3,591","1,542",0,116,"1,497",353,6,77
,Seoul Seongbuk-gu,Total,"6,885","3,512",70,573,"1,592",944,43,151
,Seoul Seongbuk-gu,Male,"3,587","1,813",36,289,852,503,16,78
,Seoul Seongbuk-gu,Female,"3,298","1,699",34,284,740,441,27,73
,Seoul Gangbuk-gu,Total,"4,877","2,089",47,47,"2,373",236,36,49
,Seoul Gangbuk-gu,Male,"2,508","1,028",22,29,"1,271",115,20,23
,Seoul Gangbuk-gu,Female,"2,369","1,061",25,18,"1,102",121,16,26
,Seoul Dobong-gu,Total,"5,222","2,473",22,16,"1,863",649,32,167
,Seoul Dobong-gu,Male,"2,763","1,329",11,10,951,358,19,85
,Seoul Dobong-gu,Female,"2,459","1,144",11,6,912,291,13,82
,Seoul Nowon-gu,Total,"7,765","3,649",89,0,"1,740","2,123",0,164
,Seoul Nowon-gu,Male,"4,129","1,902",52,0,953,"1,139",0,83
,Seoul Nowon-gu,Female,"3,636","1,747",37,0,787,984,0,81
,Seoul Eunpyeong-gu,Total,"8,586","3,838",0,180,"3,912",496,15,145
,Seoul Eunpyeong-gu,Male,"4,446","2,023",0,91,"2,004",255,8,65
,Seoul Eunpyeong-gu,Female,"4,140","1,815",0,89,"1,908",241,7,80
