,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Seoul Seodaemun-gu,Total,"5,150","2,708",0,57,"1,510",535,20,320
,Seoul Seodaemun-gu,Male,"2,649","1,406",0,28,773,274,11,157
,Seoul Seodaemun-gu,Female,"2,501","1,302",0,29,737,261,9,163
,Seoul Mapo-gu,Total,"6,464","3,703",0,135,"1,161",728,115,622
,Seoul Mapo-gu,Male,"3,385","1,930",0,84,598,390,65,318
,Seoul Mapo-gu,Female,"3,079","1,773",0,51,563,338,50,304
,Seoul Yangcheon-gu,Total,"7,413","3,667",0,36,"2,120","1,343",0,247
,Seoul Yangcheon-gu,Male,"3,918","1,914",0,24,"1,120",728,0,132
,Seoul Yangcheon-gu,Female,"3,495","1,753",0,12,"1,000",615,0,115
,Seoul Gangseo-gu,Total,"10,729","4,307",143,290,"3,429","1,850",52,658
,Seoul Gangseo-gu,Male,"5,545","2,195",89,149,"1,779",953,29,351
,Seoul Gangseo-gu,Female,"5,184","2,112",54,141,"1,650",897,23,307
,Seoul Guro-gu,Total,"8,942","4,369",173,201,"2,499","1,385",50,265
,Seoul Guro-gu,Male,"4,734","2,316",100,120,"1,313",703,27,155
,Seoul Guro-gu,Female,"4,208","2,053",73,81,"1,186",682,23,110
,Seoul Geumcheon-gu,Total,"4,726","2,229",137,357,"1,529",295,0,179
,Seoul Geumcheon-gu,Male,"2,441","1,161",67,191,791,151,0,80
,Seoul Geumcheon-gu,Female,"2,285","1,068",70,166,738,144,0,99
,Seoul Yeongdeungpo-gu,Total,"8,726","3,838",71,58,"1,681","1,101",0,"1,977"
,Seoul Yeongdeungpo-gu,Male,"4,453","1,986",34,27,850,547,0,"1,009"
,Seoul Yeongdeungpo-gu,Female,"4,273","1,852",37,31,831,554,0,968
,Seoul Dongjak-gu,Total,"6,022","3,398",0,63,"1,533",812,38,178
,Seoul Dongjak-gu,Male,"3,175","1,783",0,29,808,441,22,92
,Seoul Dongjak-gu,Female,"2,847","1,615",0,34,725,371,16,86
,Seoul Gwanak-gu,Total,"6,335","3,545",0,170,"1,502",720,0,398
,Seoul Gwanak-gu,Male,"3,244","1,825",0,81,787,355,0,196
,Seoul Gwanak-gu,Female,"3,091","1,720",0,89,715,365,0,202
,Seoul Seocho-gu,Total,"7,077","4,078",0,174,"1,011",585,57,"1,172"
,Seoul Seocho-gu,Male,"3,730","2,184",0,84,527,290,33,612
,Seoul Seocho-gu,Female,"3,347","1,894",0,90,484,295,24,560
,Seoul Gangnam-gu,Total,"6,846","3,566",0,0,"1,625",570,48,"1,037"
,Seoul Gangnam-gu,Male,"3,502","1,838",0,0,807,296,18,543
,Seoul Gangnam-gu,Female,"3,344","1,728",0,0,818,274,30,494
,Seoul Songpa-gu,Total,"12,990","5,823",59,91,"3,945","1,996",30,"1,046"
,Seoul Songpa-gu,Male,"6,701","3,033",26,49,"2,029","1,026",18,520
,Seoul Songpa-gu,Female,"6,289","2,790",33,42,"1,916",970,12,526
,Seoul Gangdong-gu,Total,"9,878","4,589",68,73,"3,585","1,295",17,251
,Seoul Gangdong-gu,Male,"5,054","2,333",36,40,"1,844",656,8,137
,Seoul Gangdong-gu,Female,"4,824","2,256",32,33,"1,741",639,9,114
Busan,Total,Total,"55,850","14,632","4,211","1,652","24,862","7,790",165,"2,538"
,Total,Male,"29,004","7,602","2,254",862,"12,843","4,016",91,"1,336"
,Total,Female,"26,846","7,030","1,957",790,"12,019","3,774",74,"1,202"
,Busan Jung-gu,Total,540,145,33,0,269,36,0,57
,Busan Jung-gu,Male,279,83,18,0,134,17,0,27
,Busan Jung-gu,Female,261,62,15,0,135,19,0,30
,Busan Seo-gu,Total,"1,266",591,67,118,395,95,0,0
,Busan Seo-gu,Male,627,302,37,65,181,42,0,0
,Busan Seo-gu,Female,639,289,30,53,214,53,0,0
,Busan Dong-gu,Total,"1,291",448,172,98,435,44,0,94
,Busan Dong-gu,Male,684,232,91,51,236,20,0,54
,Busan Dong-gu,Female,607,216,81,47,199,24,0,40
,Busan Yeongdo-gu,Total,"1,538",679,81,238,380,87,0,73
,Busan Yeongdo-gu,Male,763,332,40,108,200,44,0,39
,Busan Yeongdo-gu,Female,775,347,41,130,180,43,0,34
,Busan Busanjin-gu,Total,"4,895","1,409",286,89,"2,058",586,21,446
,Busan Busanjin-gu,Male,"2,538",728,156,52,"1,058",302,11,231
,Busan Busanjin-gu,Female,"2,357",681,130,37,"1,000",284,10,215
,Busan Dongnae-gu,Total,"5,074","1,942",255,0,"2,297",375,59,146
,Busan Dongnae-gu,Male,"2,632","1,000",126,0,"1,192",205,33,76
,Busan Dongnae-gu,Female,"2,442",942,129,0,"1,105",170,26,70
,Busan Nam-gu,Total,"3,752",901,273,30,"1,557",658,48,285
,Busan Nam-gu,Male,"1,962",481,157,15,790,332,26,161
,Busan Nam-gu,Female,"1,790",420,116,15,767,326,22,124
,Busan Buk-gu,Total,"4,841",670,306,0,"2,860",971,23,11
,Busan Buk-gu,Male,"2,517",341,185,0,"1,504",471,12,4
,Busan Buk-gu,Female,"2,324",329,121,0,"1,356",500,11,7
,Busan Haeundae-gu,Total,"5,783","1,122",623,50,"2,817",983,0,188
,Busan Haeundae-gu,Male,"2,976",560,322,33,"1,459",496,0,106
,Busan Haeundae-gu,Female,"2,807",562,301,17,"1,358",487,0,82
,Busan Saha-gu,Total,"5,251","1,536",364,429,"2,204",669,0,49
,Busan Saha-gu,Male,"2,752",823,191,237,"1,131",338,0,32
,Busan Saha-gu,Female,"2,499",713,173,192,"1,073",331,0,17
,Busan Geumjeong-gu,Total,"3,078",895,195,47,"1,491",274,0,176
,Busan Geumjeong-gu,Male,"1,629",486,106,25,789,137,0,86
,Busan Geumjeong-gu,Female,"1,449",409,89,22,702,137,0,90
,Busan Gangseo-gu,Total,"4,639",716,496,0,"1,831","1,186",0,410
,Busan Gangseo-gu,Male,"2,482",406,253,0,991,626,0,206
,Busan Gangseo-gu,Female,"2,157",310,243,0,840,560,0,204
,Busan Yeonje-gu,Total,"3,462",843,187,236,"1,672",278,0,246
,Busan Yeonje-gu,Male,"1,766",432,93,112,848,152,0,129
,Busan Yeonje-gu,Female,"1,696",411,94,124,824,126,0,117
,Busan Suyeong-gu,Total,"2,575",687,358,148,"1,182",190,0,10
,Busan Suyeong-gu,Male,"1,331",352,185,77,620,90,0,7
,Busan Suyeong-gu,Female,"1,244",335,173,71,562,100,0,3
,Busan Sasang-gu,Total,"2,809",796,122,169,"1,218",501,0,3
,Busan Sasang-gu,Male,"1,462",397,79,87,620,276,0,3
,Busan Sasang-gu,Female,"1,347",399,43,82,598,225,0,0
,Busan Gijang-gun,Total,"5,056","1,252",393,0,"2,196",857,14,344
,Busan Gijang-gun,Male,"2,604",647,215,0,"1,090",468,9,175
,Busan Gijang-gun,Female,"2,452",605,178,0,"1,106",389,5,169
Daegu,Total,Total,"42,487","10,511","6,858",793,"18,354","4,205",70,"1,696"
,Total,Male,"22,284","5,489","3,707",416,"9,645","2,145",37,845
,Total,Female,"20,203","5,022","3,151",377,"8,709","2,060",33,851
,Daegu Jung-gu,Total,"1,478",494,229,61,468,113,0,113
,Daegu Jung-gu,Male,763,234,105,33,272,57,0,62
,Daegu Jung-gu,Female,715,260,124,28,196,56,0,51
,Daegu Dong-gu,Total,"6,410","1,220",805,68,"3,338",580,14,385
,Daegu Dong-gu,Male,"3,320",633,434,33,"1,731",296,4,189
,Daegu Dong-gu,Female,"3,090",587,371,35,"1,607",284,10,196
,Daegu Seo-gu,Total,"2,700",804,164,143,"1,372",180,0,37
,Daegu Seo-gu,Male,"1,440",413,104,62,743,101,0,17
,Daegu Seo-gu,Female,"1,260",391,60,81,629,79,0,20
,Daegu Nam-gu,Total,"1,891",471,608,142,559,34,16,61
,Daegu Nam-gu,Male,"1,023",239,328,83,314,18,10,31
,Daegu Nam-gu,Female,868,232,280,59,245,16,6,30
,Daegu Buk-gu,Total,"7,843","1,537","1,174",60,"3,865",985,12,210
,Daegu Buk-gu,Male,"4,104",833,632,30,"1,988",499,4,118
,Daegu Buk-gu,Female,"3,739",704,542,30,"1,877",486,8,92
,Daegu Suseong-gu,Total,"5,605","1,870","1,830",159,"1,082",278,20,366
,Daegu Suseong-gu,Male,"2,981","1,011",978,98,574,137,12,171
,Daegu Suseong-gu,Female,"2,624",859,852,61,508,141,8,195
,Daegu Dalseo-gu,Total,"9,017","1,942","1,253",160,"4,209","1,160",0,293
,Daegu Dalseo-gu,Male,"4,741","1,020",699,77,"2,193",596,0,156
,Daegu Dalseo-gu,Female,"4,276",922,554,83,"2,016",564,0,137
,Daegu Dalseong-gun,Total,"7,543","2,173",795,0,"3,461",875,8,231
,Daegu Dalseong-gun,Male,"3,912","1,106",427,0,"1,830",441,7,101
,Daegu Dalseong-gun,Female,"3,631","1,067",368,0,"1,631",434,1,130
Incheon,Total,Total,"62,200","13,124",689,680,"32,207","11,715",42,"3,743"
,Total,Male,"32,369","6,923",367,360,"16,721","6,041",23,"1,934"
,Total,Female,"29,831","6,201",322,320,"15,486","5,674",19,"1,809"
,Incheon Jung-gu,Total,"3,868","1,294",61,0,798,817,0,898
,Incheon Jung-gu,Male,"2,049",677,36,0,406,436,0,494
,Incheon Jung-gu,Female,"1,819",617,25,0,392,381,0,404
,Incheon Dong-gu,Total,"1,127",471,0,0,432,131,0,93
,Incheon Dong-gu,Male,567,233,0,0,221,65,0,48
,Incheon Dong-gu,Female,560,238,0,0,211,66,0,45
,Incheon Michuhol-gu,Total,"7,930","1,330",151,179,"4,874","1,063",0,333
,Incheon Michuhol-gu,Male,"4,102",682,69,98,"2,526",557,0,170
,Incheon Michuhol-gu,Female,"3,828",648,82,81,"2,348",506,0,163
,Incheon Yeonsu-gu,Total,"8,700","2,441",0,93,"3,209","2,172",0,785
,Incheon Yeonsu-gu,Male,"4,512","1,293",0,45,"1,670","1,120",0,384
,Incheon Yeonsu-gu,Female,"4,188","1,148",0,48,"1,539","1,052",0,401
,Incheon Namdong-gu,Total,"9,710","2,010",160,84,"5,423","1,683",0,350
,Incheon Namdong-gu,Male,"5,082","1,066",83,45,"2,848",866,0,174
,Incheon Namdong-gu,Female,"4,628",944,77,39,"2,575",817,0,176
,Incheon Bupyong-gu,Total,"9,839","1,638",272,30,"5,554","1,834",17,494
,Incheon Bupyong-gu,Male,"5,130",898,145,14,"2,854",948,12,259
,Incheon Bupyong-gu,Female,"4,709",740,127,16,"2,700",886,5,235
,Incheon Gyeyang-gu,Total,"5,563",819,0,0,"3,852",794,14,84
,Incheon Gyeyang-gu,Male,"2,868",435,0,0,"1,980",397,7,49
,Incheon Gyeyang-gu,Female,"2,695",384,0,0,"1,872",397,7,35
,Incheon Seo-gu,Total,"14,546","2,607",45,235,"7,831","3,205",11,612
,Incheon Seo-gu,Male,"7,592","1,378",34,121,"4,103","1,643",4,309
,Incheon Seo-gu,Female,"6,954","1,229",11,114,"3,728","1,562",7,303
,Incheon Ganghwa-gun,Total,644,335,0,59,201,16,0,33
,Incheon Ganghwa-gun,Male,332,170,0,37,96,9,0,20
,Incheon Ganghwa-gun,Female,312,165,0,22,105,7,0,13
,Incheon Ongjin-gun,Total,273,179,0,0,33,0,0,61
,Incheon Ongjin-gun,Male,135,91,0,0,17,0,0,27
,Incheon Ongjin-gun,Female,138,88,0,0,16,0,0,34
Gwangju,Total,Total,"31,732","5,885","4,693",981,"14,029","4,742",56,"1,346"
,Total,Male,"16,451","3,063","2,471",528,"7,271","2,436",28,654
,Total,Female,"15,281","2,822","2,222",453,"6,758","2,306",28,692
,Gwangju Dong-gu,Total,"2,296",607,300,73,855,128,0,333
,Gwangju Dong-gu,Male,"1,183",310,158,39,441,64,0,171
,Gwangju Dong-gu,Female,"1,113",297,142,34,414,64,0,162
,Gwangju Seo-gu,Total,"5,248",883,816,51,"2,206","1,004",0,288
,Gwangju Seo-gu,Male,"2,702",474,469,25,"1,093",507,0,134
,Gwangju Seo-gu,Female,"2,546",409,347,26,"1,113",497,0,154
,Gwangju Nam-gu,Total,"4,130",812,899,348,"1,589",424,0,58
,Gwangju Nam-gu,Male,"2,146",421,448,196,839,216,0,26
,Gwangju Nam-gu,Female,"1,984",391,451,152,750,208,0,32
,Gwangju Buk-gu,Total,"9,451","1,691","1,531",396,"4,116","1,308",0,409
,Gwangju Buk-gu,Male,"4,850",859,795,210,"2,095",688,0,203
,Gwangju Buk-gu,Female,"4,601",832,736,186,"2,021",620,0,206
,Gwangju Gwangsan-gu,Total,"10,607","1,892","1,147",113,"5,263","1,878",56,258
,Gwangju Gwangsan-gu,Male,"5,570",999,601,58,"2,803",961,28,120
,Gwangju Gwangsan-gu,Female,"5,037",893,546,55,"2,460",917,28,138
Daejeon,Total,Total,"28,144","4,863","2,051",408,"9,091","8,073",179,"3,479"
,Total,Male,"14,536","2,545","1,061",222,"4,720","4,128",89,"1,771"
,Total,Female,"13,608","2,318",990,186,"4,371","3,945",90,"1,708"
,Daejeon Dong-gu,Total,"4,085","1,014",506,117,"1,452",848,14,134
,Daejeon Dong-gu,Male,"2,139",536,261,67,760,430,8,77
,Daejeon Dong-gu,Female,"1,946",478,245,50,692,418,6,57
,Daejeon Jung-gu,Total,"3,604",835,289,91,"1,232",942,94,121
,Daejeon Jung-gu,Male,"1,820",418,139,48,642,476,46,51
,Daejeon Jung-gu,Female,"1,784",417,150,43,590,466,48,70
,Daejeon Seo-gu,Total,"8,437","1,179",413,51,"2,676","3,158",18,942
,Daejeon Seo-gu,Male,"4,351",637,222,29,"1,370","1,609",9,475
,Daejeon Seo-gu,Female,"4,086",542,191,22,"1,306","1,549",9,467
,Daejeon Yuseong-gu,Total,"8,985",979,598,80,"2,810","2,311",53,"2,154"
,Daejeon Yuseong-gu,Male,"4,672",508,321,44,"1,462","1,216",26,"1,095"
,Daejeon Yuseong-gu,Female,"4,313",471,277,36,"1,348","1,095",27,"1,059"
,Daejeon Daedeok-gu,Total,"3,033",856,245,69,921,814,0,128
,Daejeon Daedeok-gu,Male,"1,554",446,118,34,486,397,0,73
,Daejeon Daedeok-gu,Female,"1,479",410,127,35,435,417,0,55
Ulsan,Total,Total,"24,892","4,461",675,325,"14,399","3,167",163,"1,702"
,Total,Male,"12,912","2,293",379,166,"7,386","1,646",97,945
,Total,Female,"11,980","2,168",296,159,"7,013","1,521",66,757
,Ulsan Jung-gu,Total,"4,075",328,142,0,"2,669",391,0,545
,Ulsan Jung-gu,Male,"2,135",174,85,0,"1,380",209,0,287
,Ulsan Jung-gu,Female,"1,940",154,57,0,"1,289",182,0,258
,Ulsan Nam-gu,Total,"5,674","1,145",21,0,"3,116",987,136,269
,Ulsan Nam-gu,Male,"2,927",573,10,0,"1,582",529,80,153
,Ulsan Nam-gu,Female,"2,747",572,11,0,"1,534",458,56,116
,Ulsan Dong-gu,Total,"3,935",618,0,0,"2,544",437,0,336
,Ulsan Dong-gu,Male,"2,031",333,0,0,"1,291",215,0,192
,Ulsan Dong-gu,Female,"1,904",285,0,0,"1,253",222,0,144
,Ulsan Buk-gu,Total,"6,574","1,480",113,163,"3,604","1,020",27,167
,Ulsan Buk-gu,Male,"3,446",762,67,89,"1,891",531,17,89
,Ulsan Buk-gu,Female,"3,128",718,46,74,"1,713",489,10,78
,Ulsan Ulju-gun ,Total,"4,634",890,399,162,"2,466",332,0,385
,Ulsan Ulju-gun ,Male,"2,373",451,217,77,"1,242",162,0,224
,Ulsan Ulju-gun ,Female,"2,261",439,182,85,"1,224",170,0,161
Sejong,Total,Total,"14,927","5,378",370,213,"4,900","1,725",0,"2,341"
,Total,Male,"7,676","2,809",198,113,"2,516",865,0,"1,175"
,Total,Female,"7,251","2,569",172,100,"2,384",860,0,"1,166"
,Sejong,Total,"14,927","5,378",370,213,"4,900","1,725",0,"2,341"
,,Male,"7,676","2,809",198,113,"2,516",865,0,"1,175"
,,Female,"7,251","2,569",172,100,"2,384",860,0,"1,166"
Gyeonggi,? ?,Total,"331,516","75,054","3,197","5,221","158,807","72,533","1,577","15,127"
,,Male,"171,779","38,991","1,723","2,766","82,267","37,292",900,"7,840"
,,Female,"159,737","36,063","1,474","2,455","76,540","35,241",677,"7,287"
,Gyeonggi Suwon-si,Total,"25,590","4,262",177,433,"11,940","6,789",54,"1,935"
,Gyeonggi Suwon-si,Male,"13,273","2,232",98,225,"6,217","3,489",29,983
,Gyeonggi Suwon-si,Female,"12,317","2,030",79,208,"5,723","3,300",25,952
,Gyeonggi Seongnam-si,Total,"18,699","6,425",70,430,"4,344","3,854",196,"3,380"
,Gyeonggi Seongnam-si,Male,"9,700","3,290",34,225,"2,258","1,982",115,"1,796"
,Gyeonggi Seongnam-si,Female,"8,999","3,135",36,205,"2,086","1,872",81,"1,584"
,Gyeonggi Uijeongbu-si,Total,"10,992","2,218",0,79,"5,668","2,671",20,336
,Gyeonggi Uijeongbu-si,Male,"5,794","1,205",0,41,"2,969","1,401",14,164
,Gyeonggi Uijeongbu-si,Female,"5,198","1,013",0,38,"2,699","1,270",6,172
,Gyeonggi Anyang-si,Total,"12,043","2,585",88,27,"5,675","3,179",85,404
,Gyeonggi Anyang-si,Male,"6,173","1,275",40,12,"2,931","1,651",44,220
,Gyeonggi Anyang-si,Female,"5,870","1,310",48,15,"2,744","1,528",41,184
,Gyeonggi Bucheon-si,Total,"15,416","2,621",93,612,"7,977","3,578",103,432
,Gyeonggi Bucheon-si,Male,"8,071","1,406",65,320,"4,214","1,802",53,211
,Gyeonggi Bucheon-si,Female,"7,345","1,215",28,292,"3,763","1,776",50,221
,Gyeonggi Gwangmyeong-si,Total,"6,191","2,111",40,100,"1,996","1,700",44,200
,Gyeonggi Gwangmyeong-si,Male,"3,146","1,053",15,46,"1,043",857,23,109
,Gyeonggi Gwangmyeong-si,Female,"3,045","1,058",25,54,953,843,21,91
,Gyeonggi Pyeongtaek-si,Total,"15,518","3,665",145,209,"8,270","2,599",5,625
,Gyeonggi Pyeongtaek-si,Male,"7,932","1,872",75,106,"4,229","1,332",5,313
,Gyeonggi Pyeongtaek-si,Female,"7,586","1,793",70,103,"4,041","1,267",0,312
,Gyeonggi Dongducheon-si,Total,"2,230",491,36,33,"1,251",406,0,13
,Gyeonggi Dongducheon-si,Male,"1,133",255,27,17,623,203,0,8
,Gyeonggi Dongducheon-si,Female,"1,097",236,9,16,628,203,0,5
,Gyeonggi Ansan-si,Total,"15,517","2,652",0,305,"9,634","2,482",42,402
,Gyeonggi Ansan-si,Male,"7,991","1,337",0,152,"5,025","1,244",23,210
,Gyeonggi Ansan-si,Female,"7,526","1,315",0,153,"4,609","1,238",19,192
,Gyeonggi Goyang-si,Total,"21,710","5,598",120,156,"9,662","4,908",161,"1,105"
,Gyeonggi Goyang-si,Male,"11,133","2,850",68,81,"4,986","2,481",91,576
,Gyeonggi Goyang-si,Female,"10,577","2,748",52,75,"4,676","2,427",70,529
,Gyeonggi Gwacheon-si,Total,"2,216","1,005",72,0,259,249,106,525
,Gyeonggi Gwacheon-si,Male,"1,162",533,37,0,144,132,62,254
,Gyeonggi Gwacheon-si,Female,"1,054",472,35,0,115,117,44,271
,Gyeonggi Guri-si,Total,"4,003",945,0,55,"1,613","1,327",0,63
,Gyeonggi Guri-si,Male,"2,079",482,0,33,858,679,0,27
,Gyeonggi Guri-si,Female,"1,924",463,0,22,755,648,0,36
,Gyeonggi Namyangju-si,Total,"17,899","4,398",138,449,"9,044","3,711",37,122
,Gyeonggi Namyangju-si,Male,"9,400","2,329",68,258,"4,709","1,968",16,52
,Gyeonggi Namyangju-si,Female,"8,499","2,069",70,191,"4,335","1,743",21,70
,Gyeonggi Osan-si,Total,"7,003","2,502",35,120,"2,363","1,831",0,152
,Gyeonggi Osan-si,Male,"3,617","1,291",25,66,"1,223",930,0,82
,Gyeonggi Osan-si,Female,"3,386","1,211",10,54,"1,140",901,0,70
,Gyeonggi Siheung-si,Total,"16,643","4,792",239,157,"7,422","3,789",0,244
,Gyeonggi Siheung-si,Male,"8,497","2,468",122,86,"3,794","1,902",0,125
,Gyeonggi Siheung-si,Female,"8,146","2,324",117,71,"3,628","1,887",0,119
,Gyeonggi Gunpo-si,Total,"5,781","1,423",42,85,"2,647","1,324",20,240
,Gyeonggi Gunpo-si,Male,"2,976",729,24,41,"1,364",686,11,121
,Gyeonggi Gunpo-si,Female,"2,805",694,18,44,"1,283",638,9,119
,Gyeonggi Uiwang-si,Total,"4,179","1,181",367,328,"1,176",904,62,161
,Gyeonggi Uiwang-si,Male,"2,192",625,200,177,608,455,34,93
,Gyeonggi Uiwang-si,Female,"1,987",556,167,151,568,449,28,68
,Gyeonggi Hanam-si,Total,"9,508","3,601",0,50,"3,684","1,844",206,123
,Gyeonggi Hanam-si,Male,"4,979","1,873",0,28,"1,942",967,117,52
,Gyeonggi Hanam-si,Female,"4,529","1,728",0,22,"1,742",877,89,71
,Gyeonggi Yongin-si,Total,"27,119","3,362",298,546,"15,684","5,589",216,"1,424"
,Gyeonggi Yongin-si,Male,"14,083","1,737",160,301,"8,135","2,850",130,770
,Gyeonggi Yongin-si,Female,"13,036","1,625",138,245,"7,549","2,739",86,654
,Gyeonggi Paju-si,Total,"13,050","2,516",52,29,"6,150","3,310",17,976
,Gyeonggi Paju-si,Male,"6,762","1,282",27,15,"3,201","1,717",14,506
,Gyeonggi Paju-si,Female,"6,288","1,234",25,14,"2,949","1,593",3,470
,Gyeonggi Icheon-si,Total,"6,327",939,0,17,"4,538",490,0,343
,Gyeonggi Icheon-si,Male,"3,321",537,0,8,"2,323",264,0,189
,Gyeonggi Icheon-si,Female,"3,006",402,0,9,"2,215",226,0,154
,Gyeonggi Anseong-si,Total,"5,365",925,199,142,"3,163",936,0,0
,Gyeonggi Anseong-si,Male,"2,818",518,122,62,"1,647",469,0,0
,Gyeonggi Anseong-si,Female,"2,547",407,77,80,"1,516",467,0,0
,Gyeonggi Gimpo-si,Total,"13,520","3,121",394,0,"5,773","4,058",16,158
,Gyeonggi Gimpo-si,Male,"7,128","1,686",202,0,"2,992","2,160",7,81
,Gyeonggi Gimpo-si,Female,"6,392","1,435",192,0,"2,781","1,898",9,77
,Gyeonggi Hwaseong-si,Total,"25,956","6,076",310,227,"11,743","6,652",30,918
,Gyeonggi Hwaseong-si,Male,"13,411","3,147",158,125,"6,036","3,454",21,470
,Gyeonggi Hwaseong-si,Female,"12,545","2,929",152,102,"5,707","3,198",9,448
,Gyeonggi Gwangju-si,Total,"12,565","1,857",42,315,"8,326","1,907",27,91
,Gyeonggi Gwangju-si,Male,"6,450","1,000",25,164,"4,227",978,14,42
,Gyeonggi Gwangju-si,Female,"6,115",857,17,151,"4,099",929,13,49
,Gyeonggi Yangju-si,Total,"6,944","1,418",0,49,"3,830","1,454",0,193
,Gyeonggi Yangju-si,Male,"3,616",747,0,24,"2,006",741,0,98
,Gyeonggi Yangju-si,Female,"3,328",671,0,25,"1,824",713,0,95
,Gyeonggi Pocheon-si,Total,"3,380",779,0,126,"1,750",345,130,250
,Gyeonggi Pocheon-si,Male,"1,806",417,0,73,923,184,77,132
,Gyeonggi Pocheon-si,Female,"1,574",362,0,53,827,161,53,118
,Gyeonggi Yeoju-si,Total,"2,037",310,113,40,"1,261",273,0,40
,Gyeonggi Yeoju-si,Male,"1,040",153,57,27,651,131,0,21
,Gyeonggi Yeoju-si,Female,997,157,56,13,610,142,0,19
,Gyeonggi Yeoncheon-gun,Total,782,306,47,0,193,107,0,129
,Gyeonggi Yeoncheon-gun,Male,396,156,30,0,92,59,0,59
,Gyeonggi Yeoncheon-gun,Female,386,150,17,0,101,48,0,70
,Gyeonggi Gapyeong-gun,Total,"1,113",268,47,84,474,158,0,82
,Gyeonggi Gapyeong-gun,Male,567,144,27,40,240,73,0,43
,Gyeonggi Gapyeong-gun,Female,546,124,20,44,234,85,0,39
,Gyeonggi Yangpyeong-gun,Total,"2,220",702,33,18,"1,297",109,0,61
,Gyeonggi Yangpyeong-gun,Male,"1,133",362,17,13,657,51,0,33
,Gyeonggi Yangpyeong-gun,Female,"1,087",340,16,5,640,58,0,28
Gangwon,Total,Total,"32,680","7,421","4,438","1,141","12,454","4,319",54,"2,853"
,Total,Male,"16,823","3,879","2,293",588,"6,418","2,178",28,"1,439"
,Total,Female,"15,857","3,542","2,145",553,"6,036","2,141",26,"1,414"
