Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Sejong,Total,"14,298 ","1,656 ",604 ,330 ,"6,506 ","3,104 ",0 ,"2,098 "
,,Male,"7,413 ",844 ,316 ,169 ,"3,369 ","1,618 ",0 ,"1,097 "
,,Female,"6,885 ",812 ,288 ,161 ,"3,137 ","1,486 ",0 ,"1,001 "
Gyeonggi,Gyeonggi Total,Total,"393,149 ","46,461 ","4,373 ","7,743 ","208,017 ","109,721 ","1,747 ","15,087 "
,Gyeonggi Total,Male,"203,265 ","23,990 ","2,311 ","4,094 ","107,687 ","56,403 ",932 ,"7,848 "
,Gyeonggi Total,Female,"189,884 ","22,471 ","2,062 ","3,649 ","100,330 ","53,318 ",815 ,"7,239 "
,Gyeonggi Goyang-si,Total,"26,382 ","3,392 ",200 ,186 ,"12,960 ","8,142 ",191 ,"1,311 "
,Gyeonggi Goyang-si,Male,"13,603 ","1,746 ",107 ,101 ,"6,655 ","4,205 ",98 ,691 
,Gyeonggi Goyang-si,Female,"12,779 ","1,646 ",93 ,85 ,"6,305 ","3,937 ",93 ,620 
,Gyeonggi Uijeongbu-si,Total,"13,313 ","1,039 ",44 ,174 ,"7,479 ","4,220 ",20 ,337 
,Gyeonggi Uijeongbu-si,Male,"6,931 ",554 ,23 ,90 ,"3,892 ","2,183 ",12 ,177 
,Gyeonggi Uijeongbu-si,Female,"6,382 ",485 ,21 ,84 ,"3,587 ","2,037 ",8 ,160 
,Gyeonggi Namyangju-si,Total,"22,070 ","2,594 ",206 ,815 ,"12,285 ","6,076 ",35 ,59 
,Gyeonggi Namyangju-si,Male,"11,409 ","1,326 ",110 ,437 ,"6,436 ","3,052 ",17 ,31 
,Gyeonggi Namyangju-si,Female,"10,661 ","1,268 ",96 ,378 ,"5,849 ","3,024 ",18 ,28 
,Gyeonggi Paju-si,Total,"14,505 ",858 ,210 ,39 ,"7,705 ","4,749 ",33 ,911 
,Gyeonggi Paju-si,Male,"7,551 ",473 ,110 ,28 ,"4,027 ","2,406 ",16 ,491 
,Gyeonggi Paju-si,Female,"6,954 ",385 ,100 ,11 ,"3,678 ","2,343 ",17 ,420 
,Gyeonggi Guri-si,Total,"5,339 ",821 ,0 ,185 ,"2,377 ","1,870 ",0 ,86 
,Gyeonggi Guri-si,Male,"2,810 ",418 ,0 ,103 ,"1,239 ","1,000 ",0 ,50 
,Gyeonggi Guri-si,Female,"2,529 ",403 ,0 ,82 ,"1,138 ",870 ,0 ,36 
,Gyeonggi Pocheon-si,Total,"4,398 ",716 ,0 ,98 ,"2,651 ",564 ,111 ,258 
,Gyeonggi Pocheon-si,Male,"2,305 ",352 ,0 ,51 ,"1,403 ",314 ,58 ,127 
,Gyeonggi Pocheon-si,Female,"2,093 ",364 ,0 ,47 ,"1,248 ",250 ,53 ,131 
,Gyeonggi Yangju-si,Total,"7,482 ",933 ,0 ,61 ,"4,347 ","1,961 ",0 ,180 
,Gyeonggi Yangju-si,Male,"3,883 ",492 ,0 ,35 ,"2,253 ","1,013 ",0 ,90 
,Gyeonggi Yangju-si,Female,"3,599 ",441 ,0 ,26 ,"2,094 ",948 ,0 ,90 
,Gyeonggi Dongducheon-si,Total,"3,265 ",483 ,34 ,68 ,"1,900 ",780 ,0 ,0 
,Gyeonggi Dongducheon-si,Male,"1,717 ",251 ,25 ,35 ,"1,013 ",393 ,0 ,0 
,Gyeonggi Dongducheon-si,Female,"1,548 ",232 ,9 ,33 ,887 ,387 ,0 ,0 
,Gyeonggi Gapyeong-gun,Total,"1,494 ",268 ,59 ,81 ,803 ,192 ,0 ,91 
,Gyeonggi Gapyeong-gun,Male,760 ,144 ,27 ,46 ,407 ,89 ,0 ,47 
,Gyeonggi Gapyeong-gun,Female,734 ,124 ,32 ,35 ,396 ,103 ,0 ,44 
,Gyeonggi Yeoncheon-gun,Total,"1,067 ",304 ,89 ,42 ,328 ,177 ,0 ,127 
,Gyeonggi Yeoncheon-gun,Male,537 ,153 ,54 ,19 ,162 ,82 ,0 ,67 
,Gyeonggi Yeoncheon-gun,Female,530 ,151 ,35 ,23 ,166 ,95 ,0 ,60 
,Gyeonggi Suwon-si,Total,"33,819 ","3,344 ",231 ,487 ,"16,211 ","11,246 ",73 ,"2,227 "
,Gyeonggi Suwon-si,Male,"17,534 ","1,738 ",116 ,259 ,"8,367 ","5,829 ",52 ,"1,173 "
,Gyeonggi Suwon-si,Female,"16,285 ","1,606 ",115 ,228 ,"7,844 ","5,417 ",21 ,"1,054 "
,Gyeonggi Seongnam-si,Total,"22,916 ","5,485 ",78 ,744 ,"7,317 ","6,191 ",208 ,"2,893 "
,Gyeonggi Seongnam-si,Male,"11,847 ","2,837 ",45 ,389 ,"3,789 ","3,215 ",113 ,"1,459 "
,Gyeonggi Seongnam-si,Female,"11,069 ","2,648 ",33 ,355 ,"3,528 ","2,976 ",95 ,"1,434 "
,Gyeonggi Anyang-si,Total,"15,107 ","2,239 ",103 ,48 ,"7,234 ","5,056 ",61 ,366 
,Gyeonggi Anyang-si,Male,"7,719 ","1,132 ",64 ,22 ,"3,734 ","2,542 ",29 ,196 
,Gyeonggi Anyang-si,Female,"7,388 ","1,107 ",39 ,26 ,"3,500 ","2,514 ",32 ,170 
,Gyeonggi Bucheon-si,Total,"20,357 ","2,173 ",192 ,915 ,"11,455 ","5,046 ",92 ,484 
,Gyeonggi Bucheon-si,Male,"10,481 ","1,120 ",103 ,468 ,"5,909 ","2,583 ",51 ,247 
,Gyeonggi Bucheon-si,Female,"9,876 ","1,053 ",89 ,447 ,"5,546 ","2,463 ",41 ,237 
,Gyeonggi Gwangmyeong-si,Total,"9,327 ","1,980 ",54 ,158 ,"3,969 ","2,892 ",61 ,213 
,Gyeonggi Gwangmyeong-si,Male,"4,834 ","1,023 ",20 ,90 ,"2,087 ","1,467 ",33 ,114 
,Gyeonggi Gwangmyeong-si,Female,"4,493 ",957 ,34 ,68 ,"1,882 ","1,425 ",28 ,99 
,Gyeonggi Pyeongtaek-si,Total,"14,970 ","1,215 ",195 ,186 ,"9,588 ","3,117 ",19 ,650 
,Gyeonggi Pyeongtaek-si,Male,"7,710 ",625 ,94 ,99 ,"4,935 ","1,595 ",13 ,349 
,Gyeonggi Pyeongtaek-si,Female,"7,260 ",590 ,101 ,87 ,"4,653 ","1,522 ",6 ,301 
,Gyeonggi Ansan-si,Total,"19,275 ","1,884 ",0 ,400 ,"12,313 ","4,172 ",57 ,449 
,Gyeonggi Ansan-si,Male,"9,915 ",933 ,0 ,189 ,"6,353 ","2,182 ",28 ,230 
,Gyeonggi Ansan-si,Female,"9,360 ",951 ,0 ,211 ,"5,960 ","1,990 ",29 ,219 
,Gyeonggi Gwacheon-si,Total,"2,205 ",605 ,76 ,0 ,316 ,337 ,139 ,732 
,Gyeonggi Gwacheon-si,Male,"1,194 ",329 ,35 ,0 ,175 ,173 ,85 ,397 
,Gyeonggi Gwacheon-si,Female,"1,011 ",276 ,41 ,0 ,141 ,164 ,54 ,335 
,Gyeonggi Osan-si,Total,"8,442 ","2,147 ",36 ,129 ,"3,323 ","2,667 ",0 ,140 
,Gyeonggi Osan-si,Male,"4,360 ","1,110 ",26 ,68 ,"1,745 ","1,354 ",0 ,57 
,Gyeonggi Osan-si,Female,"4,082 ","1,037 ",10 ,61 ,"1,578 ","1,313 ",0 ,83 
,Gyeonggi Siheung-si,Total,"16,003 ","1,865 ",326 ,35 ,"9,717 ","3,979 ",0 ,81 
,Gyeonggi Siheung-si,Male,"8,345 ",999 ,167 ,19 ,"5,032 ","2,084 ",0 ,44 
,Gyeonggi Siheung-si,Female,"7,658 ",866 ,159 ,16 ,"4,685 ","1,895 ",0 ,37 
,Gyeonggi Gunpo-si,Total,"8,017 ","1,189 ",34 ,129 ,"3,964 ","2,424 ",74 ,203 
,Gyeonggi Gunpo-si,Male,"4,112 ",620 ,11 ,62 ,"2,015 ","1,255 ",39 ,110 
,Gyeonggi Gunpo-si,Female,"3,905 ",569 ,23 ,67 ,"1,949 ","1,169 ",35 ,93 
,Gyeonggi Uiwang-si,Total,"4,678 ",749 ,370 ,429 ,"1,590 ","1,288 ",98 ,154 
,Gyeonggi Uiwang-si,Male,"2,426 ",377 ,179 ,233 ,804 ,695 ,52 ,86 
,Gyeonggi Uiwang-si,Female,"2,252 ",372 ,191 ,196 ,786 ,593 ,46 ,68 
,Gyeonggi Hanam-si,Total,"8,405 ",835 ,0 ,44 ,"4,880 ","2,357 ",226 ,63 
,Gyeonggi Hanam-si,Male,"4,308 ",447 ,0 ,21 ,"2,490 ","1,210 ",107 ,33 
,Gyeonggi Hanam-si,Female,"4,097 ",388 ,0 ,23 ,"2,390 ","1,147 ",119 ,30 
,Gyeonggi Yongin-si,Total,"33,829 ","2,086 ",368 ,"1,166 ","18,928 ","9,588 ",170 ,"1,523 "
,Gyeonggi Yongin-si,Male,"17,477 ","1,052 ",217 ,625 ,"9,735 ","4,969 ",93 ,786 
,Gyeonggi Yongin-si,Female,"16,352 ","1,034 ",151 ,541 ,"9,193 ","4,619 ",77 ,737 
,Gyeonggi Icheon-si,Total,"8,041 ",680 ,0 ,119 ,"5,982 ",859 ,20 ,381 
,Gyeonggi Icheon-si,Male,"4,155 ",365 ,0 ,56 ,"3,105 ",434 ,8 ,187 
,Gyeonggi Icheon-si,Female,"3,886 ",315 ,0 ,63 ,"2,877 ",425 ,12 ,194 
,Gyeonggi Anseong-si,Total,"6,783 ",696 ,195 ,175 ,"4,064 ","1,530 ",0 ,123 
,Gyeonggi Anseong-si,Male,"3,531 ",348 ,103 ,99 ,"2,111 ",800 ,0 ,70 
,Gyeonggi Anseong-si,Female,"3,252 ",348 ,92 ,76 ,"1,953 ",730 ,0 ,53 
,Gyeonggi Gimpo-si,Total,"14,233 ","1,615 ",513 ,0 ,"6,475 ","5,476 ",19 ,135 
,Gyeonggi Gimpo-si,Male,"7,256 ",812 ,270 ,0 ,"3,351 ","2,745 ",9 ,69 
,Gyeonggi Gimpo-si,Female,"6,977 ",803 ,243 ,0 ,"3,124 ","2,731 ",10 ,66 
,Gyeonggi Hwaseong-si,Total,"26,730 ","2,385 ",508 ,242 ,"13,634 ","9,264 ",0 ,697 
,Gyeonggi Hwaseong-si,Male,"13,812 ","1,246 ",272 ,125 ,"7,061 ","4,742 ",0 ,366 
,Gyeonggi Hwaseong-si,Female,"12,918 ","1,139 ",236 ,117 ,"6,573 ","4,522 ",0 ,331 
,Gyeonggi Gwangju-si,Total,"14,912 ","1,067 ",54 ,438 ,"10,289 ","2,927 ",40 ,97 
,Gyeonggi Gwangju-si,Male,"7,757 ",541 ,25 ,239 ,"5,373 ","1,513 ",19 ,47 
,Gyeonggi Gwangju-si,Female,"7,155 ",526 ,29 ,199 ,"4,916 ","1,414 ",21 ,50 
,Gyeonggi Yeoju-si,Total,"2,883 ",79 ,155 ,35 ,"2,170 ",398 ,0 ,46 
,Gyeonggi Yeoju-si,Male,"1,478 ",40 ,82 ,22 ,"1,115 ",196 ,0 ,23 
,Gyeonggi Yeoju-si,Female,"1,405 ",39 ,73 ,13 ,"1,055 ",202 ,0 ,23 
,Gyeonggi Yangpyeong-gun,Total,"2,902 ",735 ,43 ,115 ,"1,763 ",176 ,0 ,70 
,Gyeonggi Yangpyeong-gun,Male,"1,508 ",387 ,26 ,64 ,914 ,83 ,0 ,34 
,Gyeonggi Yangpyeong-gun,Female,"1,394 ",348 ,17 ,51 ,849 ,93 ,0 ,36 
Gangwon,Gangwon Total,Total,"39,337 ","5,543 ","6,020 ","1,757 ","16,756 ","6,950 ",75 ,"2,236 "
,Gangwon Total,Male,"20,191 ","2,851 ","3,147 ",887 ,"8,626 ","3,477 ",43 ,"1,160 "
,Gangwon Total,Female,"19,146 ","2,692 ","2,873 ",870 ,"8,130 ","3,473 ",32 ,"1,076 "
,Gangwon Chuncheon-si,Total,"8,186 ",959 ,925 ,503 ,"3,240 ","1,973 ",39 ,547 
,Gangwon Chuncheon-si,Male,"4,211 ",523 ,481 ,256 ,"1,668 ",960 ,24 ,299 
,Gangwon Chuncheon-si,Female,"3,975 ",436 ,444 ,247 ,"1,572 ","1,013 ",15 ,248 
,Gangwon Wonju-si,Total,"9,619 ","1,271 ",635 ,242 ,"4,297 ","2,611 ",16 ,547 
,Gangwon Wonju-si,Male,"4,978 ",636 ,353 ,119 ,"2,260 ","1,328 ",7 ,275 
,Gangwon Wonju-si,Female,"4,641 ",635 ,282 ,123 ,"2,037 ","1,283 ",9 ,272 
,Gangwon Gangneung-si,Total,"5,209 ",216 ,978 ,69 ,"3,096 ",640 ,20 ,190 
,Gangwon Gangneung-si,Male,"2,677 ",105 ,529 ,39 ,"1,579 ",310 ,12 ,103 
,Gangwon Gangneung-si,Female,"2,532 ",111 ,449 ,30 ,"1,517 ",330 ,8 ,87 
,Gangwon Donghae-si,Total,"2,545 ",151 ,540 ,186 ,"1,014 ",575 ,0 ,79 
,Gangwon Donghae-si,Male,"1,302 ",76 ,287 ,96 ,525 ,282 ,0 ,36 
,Gangwon Donghae-si,Female,"1,243 ",75 ,253 ,90 ,489 ,293 ,0 ,43 
,Gangwon Taebaek-si,Total,"1,190 ",554 ,163 ,66 ,164 ,97 ,0 ,146 
,Gangwon Taebaek-si,Male,619 ,307 ,81 ,29 ,86 ,54 ,0 ,62 
,Gangwon Taebaek-si,Female,571 ,247 ,82 ,37 ,78 ,43 ,0 ,84 
,Gangwon Sokcho-si,Total,"2,533 ",198 ,497 ,118 ,"1,322 ",345 ,0 ,53 
,Gangwon Sokcho-si,Male,"1,251 ",108 ,242 ,53 ,645 ,177 ,0 ,26 
,Gangwon Sokcho-si,Female,"1,282 ",90 ,255 ,65 ,677 ,168 ,0 ,27 
,Gangwon Samcheok-si,Total,"1,305 ",335 ,129 ,0 ,528 ,289 ,0 ,24 
,Gangwon Samcheok-si,Male,695 ,176 ,73 ,0 ,283 ,149 ,0 ,14 
,Gangwon Samcheok-si,Female,610 ,159 ,56 ,0 ,245 ,140 ,0 ,10 
,Gangwon Hongcheon-gun,Total,"1,495 ",98 ,235 ,97 ,861 ,93 ,0 ,111 
,Gangwon Hongcheon-gun,Male,767 ,46 ,130 ,47 ,435 ,48 ,0 ,61 
,Gangwon Hongcheon-gun,Female,728 ,52 ,105 ,50 ,426 ,45 ,0 ,50 
,Gangwon Hoengseong-gun,Total,868 ,79 ,376 ,38 ,254 ,79 ,0 ,42 
,Gangwon Hoengseong-gun,Male,434 ,42 ,187 ,18 ,122 ,44 ,0 ,21 
,Gangwon Hoengseong-gun,Female,434 ,37 ,189 ,20 ,132 ,35 ,0 ,21 
,Gangwon Yeongwol-gun,Total,530 ,98 ,211 ,84 ,97 ,40 ,0 ,0 
,Gangwon Yeongwol-gun,Male,267 ,52 ,109 ,46 ,43 ,17 ,0 ,0 
,Gangwon Yeongwol-gun,Female,263 ,46 ,102 ,38 ,54 ,23 ,0 ,0 
,Gangwon Pyongchang-gun,Total,674 ,137 ,160 ,86 ,276 ,15 ,0 ,0 
,Gangwon Pyongchang-gun,Male,323 ,60 ,74 ,43 ,139 ,7 ,0 ,0 
,Gangwon Pyongchang-gun,Female,351 ,77 ,86 ,43 ,137 ,8 ,0 ,0 
,Gangwon Jeongseon-gun,Total,572 ,255 ,307 ,0 ,0 ,10 ,0 ,0 
,Gangwon Jeongseon-gun,Male,315 ,151 ,159 ,0 ,0 ,5 ,0 ,0 
,Gangwon Jeongseon-gun,Female,257 ,104 ,148 ,0 ,0 ,5 ,0 ,0 
,Gangwon Cheolwon-gun,Total,"1,329 ",142 ,130 ,49 ,862 ,28 ,0 ,118 
,Gangwon Cheolwon-gun,Male,679 ,71 ,59 ,26 ,444 ,17 ,0 ,62 
,Gangwon Cheolwon-gun,Female,650 ,71 ,71 ,23 ,418 ,11 ,0 ,56 
,Gangwon Hwacheon-gun,Total,730 ,272 ,114 ,0 ,245 ,36 ,0 ,63 
,Gangwon Hwacheon-gun,Male,388 ,136 ,60 ,0 ,133 ,20 ,0 ,39 
,Gangwon Hwacheon-gun,Female,342 ,136 ,54 ,0 ,112 ,16 ,0 ,24 
,Gangwon Yanggu-gun,Total,732 ,92 ,325 ,73 ,131 ,8 ,0 ,103 
,Gangwon Yanggu-gun,Male,366 ,44 ,168 ,37 ,63 ,5 ,0 ,49 
,Gangwon Yanggu-gun,Female,366 ,48 ,157 ,36 ,68 ,3 ,0 ,54 
,Gangwon Inje-gun,Total,894 ,244 ,147 ,97 ,112 ,81 ,0 ,213 
,Gangwon Inje-gun,Male,451 ,105 ,80 ,54 ,58 ,41 ,0 ,113 
,Gangwon Inje-gun,Female,443 ,139 ,67 ,43 ,54 ,40 ,0 ,100 
,Gangwon Goseong-gun,Total,518 ,338 ,0 ,0 ,166 ,14 ,0 ,0 
,Gangwon Goseong-gun,Male,263 ,166 ,0 ,0 ,92 ,5 ,0 ,0 
,Gangwon Goseong-gun,Female,255 ,172 ,0 ,0 ,74 ,9 ,0 ,0 
,Gangwon Yangyang-gun,Total,408 ,104 ,148 ,49 ,91 ,16 ,0 ,0 
,Gangwon Yangyang-gun,Male,205 ,47 ,75 ,24 ,51 ,8 ,0 ,0 
,Gangwon Yangyang-gun,Female,203 ,57 ,73 ,25 ,40 ,8 ,0 ,0 
North Chuncheong,North Chungcheong Total,Total,"48,774 ","3,942 ","7,528 ","2,034 ","25,650 ","7,602 ",149 ,"1,869 "
,North Chungcheong Total,Male,"25,061 ","2,004 ","3,928 ","1,023 ","13,185 ","3,895 ",67 ,959 
,North Chungcheong Total,Female,"23,713 ","1,938 ","3,600 ","1,011 ","12,465 ","3,707 ",82 ,910 
,North Chungcheong Cheongju-si,Total,"29,255 ","1,268 ","3,115 ",727 ,"16,772 ","6,028 ",0 ,"1,345 "
,North Chungcheong Cheongju-si,Male,"15,088 ",651 ,"1,664 ",372 ,"8,638 ","3,088 ",0 ,675 
,North Chungcheong Cheongju-si,Female,"14,167 ",617 ,"1,451 ",355 ,"8,134 ","2,940 ",0 ,670 
,North Chungcheong Chungju-si,Total,"5,563 ",373 ,"1,118 ",195 ,"3,288 ",544 ,20 ,25 
,North Chungcheong Chungju-si,Male,"2,822 ",175 ,581 ,94 ,"1,664 ",286 ,7 ,15 
,North Chungcheong Chungju-si,Female,"2,741 ",198 ,537 ,101 ,"1,624 ",258 ,13 ,10 
,North Chungcheong Jecheon-si,Total,"3,069 ",473 ,559 ,326 ,"1,385 ",228 ,0 ,98 
,North Chungcheong Jecheon-si,Male,"1,607 ",245 ,297 ,162 ,751 ,102 ,0 ,50 
,North Chungcheong Jecheon-si,Female,"1,462 ",228 ,262 ,164 ,634 ,126 ,0 ,48 
,North Chungcheong Boeun-gun,Total,489 ,90 ,122 ,0 ,227 ,30 ,0 ,20 
,North Chungcheong Boeun-gun,Male,247 ,38 ,67 ,0 ,118 ,16 ,0 ,8 
,North Chungcheong Boeun-gun,Female,242 ,52 ,55 ,0 ,109 ,14 ,0 ,12 
,North Chungcheong Okcheon-gun,Total,896 ,208 ,138 ,48 ,394 ,66 ,17 ,25 
,North Chungcheong Okcheon-gun,Male,468 ,99 ,73 ,27 ,213 ,31 ,9 ,16 
,North Chungcheong Okcheon-gun,Female,428 ,109 ,65 ,21 ,181 ,35 ,8 ,9 
,North Chungcheong Yeongdong-gun,Total,803 ,111 ,384 ,33 ,213 ,13 ,30 ,19 
,North Chungcheong Yeongdong-gun,Male,425 ,54 ,200 ,29 ,115 ,4 ,14 ,9 
,North Chungcheong Yeongdong-gun,Female,378 ,57 ,184 ,4 ,98 ,9 ,16 ,10 
,North Chungcheong Jincheon-gun,Total,"3,077 ",526 ,517 ,294 ,"1,258 ",250 ,0 ,232 
,North Chungcheong Jincheon-gun,Male,"1,560 ",278 ,270 ,134 ,620 ,127 ,0 ,131 
,North Chungcheong Jincheon-gun,Female,"1,517 ",248 ,247 ,160 ,638 ,123 ,0 ,101 
,North Chungcheong Goesan-gun,Total,534 ,109 ,220 ,133 ,0 ,28 ,0 ,44 
,North Chungcheong Goesan-gun,Male,259 ,57 ,108 ,55 ,0 ,14 ,0 ,25 
,North Chungcheong Goesan-gun,Female,275 ,52 ,112 ,78 ,0 ,14 ,0 ,19 
,North Chungcheong Eumseong-gun,Total,"3,014 ",466 ,848 ,165 ,"1,070 ",359 ,82 ,24 
,North Chungcheong Eumseong-gun,Male,"1,546 ",245 ,424 ,91 ,542 ,197 ,37 ,10 
,North Chungcheong Eumseong-gun,Female,"1,468 ",221 ,424 ,74 ,528 ,162 ,45 ,14 
,North Chungcheong Jeungpyong-gun,Total,"1,536 ",94 ,306 ,0 ,"1,043 ",56 ,0 ,37 
,North Chungcheong Jeungpyong-gun,Male,766 ,45 ,147 ,0 ,524 ,30 ,0 ,20 
,North Chungcheong Jeungpyong-gun,Female,770 ,49 ,159 ,0 ,519 ,26 ,0 ,17 
,North Chungcheong Danyang-gun,Total,538 ,224 ,201 ,113 ,0 ,0 ,0 ,0 
,North Chungcheong Danyang-gun,Male,273 ,117 ,97 ,59 ,0 ,0 ,0 ,0 
,North Chungcheong Danyang-gun,Female,265 ,107 ,104 ,54 ,0 ,0 ,0 ,0 
South Chungcheong,South Chungcheong Total,Total,"68,411 ","4,606 ","6,992 ","2,310 ","36,162 ","15,530 ",62 ,"2,749 "
,South Chungcheong Total,Male,"35,220 ","2,412 ","3,622 ","1,190 ","18,450 ","8,089 ",33 ,"1,424 "
,South Chungcheong Total,Female,"33,191 ","2,194 ","3,370 ","1,120 ","17,712 ","7,441 ",29 ,"1,325 "
,South Chungcheong Cheonan-si,Total,"21,265 ","1,502 ",496 ,461 ,"11,436 ","6,714 ",62 ,594 
,South Chungcheong Cheonan-si,Male,"10,895 ",761 ,271 ,243 ,"5,793 ","3,462 ",33 ,332 
,South Chungcheong Cheonan-si,Female,"10,370 ",741 ,225 ,218 ,"5,643 ","3,252 ",29 ,262 
,South Chungcheong Gongju-si,Total,"2,328 ",339 ,301 ,204 ,"1,084 ",400 ,0 ,0 
,South Chungcheong Gongju-si,Male,"1,225 ",197 ,151 ,108 ,566 ,203 ,0 ,0 
,South Chungcheong Gongju-si,Female,"1,103 ",142 ,150 ,96 ,518 ,197 ,0 ,0 
,South Chungcheong Boryeong-si,Total,"2,329 ",212 ,336 ,139 ,"1,242 ",278 ,0 ,122 
,South Chungcheong Boryeong-si,Male,"1,188 ",109 ,176 ,73 ,632 ,149 ,0 ,49 
,South Chungcheong Boryeong-si,Female,"1,141 ",103 ,160 ,66 ,610 ,129 ,0 ,73 
,South Chungcheong Asan-si,Total,"15,008 ",706 ,746 ,108 ,"8,390 ","4,430 ",0 ,628 
,South Chungcheong Asan-si,Male,"7,801 ",368 ,403 ,65 ,"4,300 ","2,339 ",0 ,326 
,South Chungcheong Asan-si,Female,"7,207 ",338 ,343 ,43 ,"4,090 ","2,091 ",0 ,302 
,South Chungcheong Seosan-si,Total,"6,225 ",87 ,643 ,262 ,"3,911 ","1,019 ",0 ,303 
,South Chungcheong Seosan-si,Male,"3,264 ",54 ,342 ,141 ,"2,046 ",534 ,0 ,147 
,South Chungcheong Seosan-si,Female,"2,961 ",33 ,301 ,121 ,"1,865 ",485 ,0 ,156 
,South Chungcheong Nonsan-si,Total,"3,585 ",257 ,608 ,344 ,"1,679 ",536 ,0 ,161 
,South Chungcheong Nonsan-si,Male,"1,839 ",150 ,324 ,160 ,837 ,280 ,0 ,88 
,South Chungcheong Nonsan-si,Female,"1,746 ",107 ,284 ,184 ,842 ,256 ,0 ,73 
,South Chungcheong Gyerong-si,Total,"1,401 ",57 ,130 ,30 ,594 ,441 ,0 ,149 
,South Chungcheong Gyerong-si,Male,698 ,28 ,55 ,12 ,292 ,236 ,0 ,75 
,South Chungcheong Gyerong-si,Female,703 ,29 ,75 ,18 ,302 ,205 ,0 ,74 
,South Chungcheong Geumsan-gun,Total,"1,082 ",240 ,185 ,84 ,456 ,34 ,0 ,83 
,South Chungcheong Geumsan-gun,Male,552 ,113 ,98 ,37 ,247 ,13 ,0 ,44 
,South Chungcheong Geumsan-gun,Female,530 ,127 ,87 ,47 ,209 ,21 ,0 ,39 
,South Chungcheong Buyeo-gun,Total,"1,099 ",44 ,631 ,49 ,226 ,149 ,0 ,0 
,South Chungcheong Buyeo-gun,Male,543 ,22 ,306 ,25 ,118 ,72 ,0 ,0 
,South Chungcheong Buyeo-gun,Female,556 ,22 ,325 ,24 ,108 ,77 ,0 ,0 
,South Chungcheong Seocheon-gun,Total,"1,041 ",177 ,481 ,140 ,213 ,30 ,0 ,0 
,South Chungcheong Seocheon-gun,Male,516 ,84 ,238 ,69 ,109 ,16 ,0 ,0 
,South Chungcheong Seocheon-gun,Female,525 ,93 ,243 ,71 ,104 ,14 ,0 ,0 
,South Chungcheong Cheongyang-gun,Total,446 ,72 ,132 ,0 ,196 ,46 ,0 ,0 
,South Chungcheong Cheongyang-gun,Male,227 ,31 ,70 ,0 ,99 ,27 ,0 ,0 
,South Chungcheong Cheongyang-gun,Female,219 ,41 ,62 ,0 ,97 ,19 ,0 ,0 
,South Chungcheong Hongseong-gun,Total,"2,574 ",278 ,641 ,25 ,"1,143 ",313 ,0 ,174 
,South Chungcheong Hongseong-gun,Male,"1,333 ",155 ,318 ,11 ,598 ,157 ,0 ,94 
,South Chungcheong Hongseong-gun,Female,"1,241 ",123 ,323 ,14 ,545 ,156 ,0 ,80 
,South Chungcheong Yesan-gun,Total,"1,368 ",58 ,514 ,39 ,591 ,96 ,0 ,70 
,South Chungcheong Yesan-gun,Male,740 ,33 ,273 ,20 ,323 ,51 ,0 ,40 
,South Chungcheong Yesan-gun,Female,628 ,25 ,241 ,19 ,268 ,45 ,0 ,30 
,South Chungcheong Taean-gun,Total,"1,323 ",54 ,437 ,64 ,577 ,37 ,0 ,154 
,South Chungcheong Taean-gun,Male,642 ,28 ,220 ,35 ,267 ,17 ,0 ,75 
,South Chungcheong Taean-gun,Female,681 ,26 ,217 ,29 ,310 ,20 ,0 ,79 
,South Chungcheong Dangjin-si,Total,"7,337 ",523 ,711 ,361 ,"4,424 ","1,007 ",0 ,311 
,South Chungcheong Dangjin-si,Male,"3,757 ",279 ,377 ,191 ,"2,223 ",533 ,0 ,154 
,South Chungcheong Dangjin-si,Female,"3,580 ",244 ,334 ,170 ,"2,201 ",474 ,0 ,157 
North Jeolla,North Jeolla Total,Total,"49,670 ","3,295 ","8,156 ","4,656 ","23,520 ","8,921 ",19 ,"1,103 "
,North Jeolla Total,Male,"25,830 ","1,735 ","4,282 ","2,425 ","12,219 ","4,587 ",13 ,569 
,North Jeolla Total,Female,"23,840 ","1,560 ","3,874 ","2,231 ","11,301 ","4,334 ",6 ,534 
,North Jeolla Jeonju-si,Total,"20,134 ",486 ,"2,750 ",933 ,"10,629 ","4,613 ",19 ,704 
,North Jeolla Jeonju-si,Male,"10,435 ",258 ,"1,430 ",491 ,"5,515 ","2,361 ",13 ,367 
,North Jeolla Jeonju-si,Female,"9,699 ",228 ,"1,320 ",442 ,"5,114 ","2,252 ",6 ,337 
,North Jeolla Gunsan-si,Total,"8,583 ",724 ,"1,268 ",800 ,"4,193 ","1,504 ",0 ,94 
,North Jeolla Gunsan-si,Male,"4,465 ",399 ,677 ,412 ,"2,159 ",783 ,0 ,35 
,North Jeolla Gunsan-si,Female,"4,118 ",325 ,591 ,388 ,"2,034 ",721 ,0 ,59 
,North Jeolla Iksan-si,Total,"7,499 ",570 ,"1,036 ",781 ,"3,551 ","1,409 ",0 ,152 
,North Jeolla Iksan-si,Male,"3,903 ",303 ,546 ,405 ,"1,815 ",747 ,0 ,87 
,North Jeolla Iksan-si,Female,"3,596 ",267 ,490 ,376 ,"1,736 ",662 ,0 ,65 
