,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Seoul Yangcheon-gu,Female,"4,376","1,904",0,21,"1,451",860,4,136
,Seoul Gangseo-gu,Total,"12,520","4,417",201,184,"4,617","2,229",100,772
,Seoul Gangseo-gu,Male,"6,465","2,266",110,82,"2,398","1,134",48,427
,Seoul Gangseo-gu,Female,"6,055","2,151",91,102,"2,219","1,095",52,345
,Seoul Guro-gu,Total,"10,293","4,370",250,311,"3,220","1,767",67,308
,Seoul Guro-gu,Male,"5,303","2,292",131,155,"1,623",893,37,172
,Seoul Guro-gu,Female,"4,990","2,078",119,156,"1,597",874,30,136
,Seoul Geumcheon-gu,Total,"5,607","2,383",193,442,"1,851",507,0,231
,Seoul Geumcheon-gu,Male,"2,893","1,238",101,217,950,265,0,122
,Seoul Geumcheon-gu,Female,"2,714","1,145",92,225,901,242,0,109
,Seoul Yeongdeungpo-gu,Total,"9,841","3,860",94,38,"2,339","1,235",0,"2,275"
,Seoul Yeongdeungpo-gu,Male,"5,095","2,056",50,19,"1,185",635,0,"1,150"
,Seoul Yeongdeungpo-gu,Female,"4,746","1,804",44,19,"1,154",600,0,"1,125"
,Seoul Dongjak-gu,Total,"7,293","3,678",29,89,"2,190","1,032",42,233
,Seoul Dongjak-gu,Male,"3,736","1,888",14,40,"1,140",521,22,111
,Seoul Dongjak-gu,Female,"3,557","1,790",15,49,"1,050",511,20,122
,Seoul Gwanak-gu,Total,"7,978","4,054",9,281,"2,202",958,8,466
,Seoul Gwanak-gu,Male,"4,167","2,122",6,150,"1,164",494,3,228
,Seoul Gwanak-gu,Female,"3,811","1,932",3,131,"1,038",464,5,238
,Seoul Seocho-gu,Total,"8,310","4,402",0,180,"1,455",792,56,"1,425"
,Seoul Seocho-gu,Male,"4,299","2,252",0,93,761,436,30,727
,Seoul Seocho-gu,Female,"4,011","2,150",0,87,694,356,26,698
,Seoul Gangnam-gu,Total,"8,202","4,028",0,0,"2,131",795,56,"1,192"
,Seoul Gangnam-gu,Male,"4,240","2,108",0,0,"1,090",418,22,602
,Seoul Gangnam-gu,Female,"3,962","1,920",0,0,"1,041",377,34,590
,Seoul Songpa-gu,Total,"14,346","5,475",70,104,"5,135","2,427",36,"1,099"
,Seoul Songpa-gu,Male,"7,523","2,868",35,46,"2,718","1,278",23,555
,Seoul Songpa-gu,Female,"6,823","2,607",35,58,"2,417","1,149",13,544
,Seoul Gangdong-gu,Total,"10,860","4,325",82,143,"4,451","1,544",18,297
,Seoul Gangdong-gu,Male,"5,578","2,238",48,67,"2,269",794,5,157
,Seoul Gangdong-gu,Female,"5,282","2,087",34,76,"2,182",750,13,140
Busan,Busan Total,Total,"65,290","14,328","4,874","2,013","30,573","10,587",248,"2,667"
,Busan Total,Male,"33,739","7,387","2,621","1,055","15,735","5,432",138,"1,371"
,Busan Total,Female,"31,551","6,941","2,253",958,"14,838","5,155",110,"1,296"
,Busan Jung-gu,Total,713,243,42,0,294,56,0,78
,Busan Jung-gu,Male,374,129,28,0,144,38,0,35
,Busan Jung-gu,Female,339,114,14,0,150,18,0,43
,Busan Seo-gu,Total,"1,450",663,70,142,490,85,0,0
,Busan Seo-gu,Male,742,322,41,84,255,40,0,0
,Busan Seo-gu,Female,708,341,29,58,235,45,0,0
,Busan Dong-gu,Total,"1,396",492,183,97,421,81,0,122
,Busan Dong-gu,Male,769,277,104,48,243,34,0,63
,Busan Dong-gu,Female,627,215,79,49,178,47,0,59
,Busan Yeongdo-gu,Total,"1,872",738,81,296,501,164,0,92
,Busan Yeongdo-gu,Male,964,376,45,147,265,87,0,44
,Busan Yeongdo-gu,Female,908,362,36,149,236,77,0,48
,Busan Busanjin-gu,Total,"5,478","1,314",329,125,"2,368",848,31,463
,Busan Busanjin-gu,Male,"2,776",655,181,72,"1,208",421,19,220
,Busan Busanjin-gu,Female,"2,702",659,148,53,"1,160",427,12,243
,Busan Dongnae-gu,Total,"5,348","1,639",247,0,"2,733",512,70,147
,Busan Dongnae-gu,Male,"2,807",853,133,0,"1,427",264,46,84
,Busan Dongnae-gu,Female,"2,541",786,114,0,"1,306",248,24,63
,Busan Nam-gu,Total,"4,706","1,043",355,49,"2,073",863,47,276
,Busan Nam-gu,Male,"2,443",545,190,29,"1,061",444,25,149
,Busan Nam-gu,Female,"2,263",498,165,20,"1,012",419,22,127
,Busan Buk-gu,Total,"5,501",598,315,0,"3,317","1,224",34,13
,Busan Buk-gu,Male,"2,841",305,171,0,"1,710",634,16,5
,Busan Buk-gu,Female,"2,660",293,144,0,"1,607",590,18,8
,Busan Haeundae-gu,Total,"6,941","1,120",726,87,"3,678","1,103",0,227
,Busan Haeundae-gu,Male,"3,571",571,380,46,"1,892",561,0,121
,Busan Haeundae-gu,Female,"3,370",549,346,41,"1,786",542,0,106
,Busan Saha-gu,Total,"6,768","1,585",541,539,"2,956","1,078",0,69
,Busan Saha-gu,Male,"3,526",849,274,290,"1,493",579,0,41
,Busan Saha-gu,Female,"3,242",736,267,249,"1,463",499,0,28
,Busan Geumjeong-gu,Total,"3,668",810,268,57,"1,939",394,13,187
,Busan Geumjeong-gu,Male,"1,891",413,143,24,"1,024",187,7,93
,Busan Geumjeong-gu,Female,"1,777",397,125,33,915,207,6,94
,Busan Gangseo-gu,Total,"5,011",599,564,0,"1,965","1,505",0,378
,Busan Gangseo-gu,Male,"2,562",312,296,0,"1,021",737,0,196
,Busan Gangseo-gu,Female,"2,449",287,268,0,944,768,0,182
,Busan Yeonje-gu,Total,"4,014",757,200,284,"2,122",388,0,263
,Busan Yeonje-gu,Male,"2,077",389,101,151,"1,100",199,0,137
,Busan Yeonje-gu,Female,"1,937",368,99,133,"1,022",189,0,126
,Busan Suyeong-gu,Total,"2,934",649,397,146,"1,479",252,0,11
,Busan Suyeong-gu,Male,"1,557",368,216,70,769,126,0,8
,Busan Suyeong-gu,Female,"1,377",281,181,76,710,126,0,3
,Busan Sasang-gu,Total,"3,608",972,137,191,"1,603",700,0,5
,Busan Sasang-gu,Male,"1,874",487,87,94,815,389,0,2
,Busan Sasang-gu,Female,"1,734",485,50,97,788,311,0,3
,Busan Gijang-gun,Total,"5,882","1,106",419,0,"2,634","1,334",53,336
,Busan Gijang-gun,Male,"2,965",536,231,0,"1,308",692,25,173
,Busan Gijang-gun,Female,"2,917",570,188,0,"1,326",642,28,163
Daegu,Daegu Total,Total,"49,029","8,248","8,438","1,055","24,024","5,317",80,"1,867"
,Daegu Total,Male,"25,426","4,218","4,526",548,"12,483","2,686",39,926
,Daegu Total,Female,"23,603","4,030","3,912",507,"11,541","2,631",41,941
,Daegu Jung-gu,Total,"1,453",285,232,62,594,133,0,147
,Daegu Jung-gu,Male,755,143,101,34,328,67,0,82
,Daegu Jung-gu,Female,698,142,131,28,266,66,0,65
,Daegu Dong-gu,Total,"7,325","1,080",942,85,"4,142",642,14,420
,Daegu Dong-gu,Male,"3,777",540,504,43,"2,139",335,3,213
,Daegu Dong-gu,Female,"3,548",540,438,42,"2,003",307,11,207
,Daegu Seo-gu,Total,"3,321",725,228,167,"1,911",257,0,33
,Daegu Seo-gu,Male,"1,740",391,136,80,981,140,0,12
,Daegu Seo-gu,Female,"1,581",334,92,87,930,117,0,21
,Daegu Nam-gu,Total,"2,148",302,819,180,671,101,16,59
,Daegu Nam-gu,Male,"1,129",156,430,93,362,54,10,24
,Daegu Nam-gu,Female,"1,019",146,389,87,309,47,6,35
,Daegu Buk-gu,Total,"9,322","1,256","1,576",85,"4,909","1,275",14,207
,Daegu Buk-gu,Male,"4,850",636,859,45,"2,543",651,5,111
,Daegu Buk-gu,Female,"4,472",620,717,40,"2,366",624,9,96
,Daegu Suseong-gu,Total,"6,376","1,305","2,159",178,"1,860",406,26,442
,Daegu Suseong-gu,Male,"3,296",670,"1,144",103,950,192,16,221
,Daegu Suseong-gu,Female,"3,080",635,"1,015",75,910,214,10,221
,Daegu Dalseo-gu,Total,"11,158","1,665","1,508",298,"5,842","1,506",0,339
,Daegu Dalseo-gu,Male,"5,857",870,837,150,"3,082",751,0,167
,Daegu Dalseo-gu,Female,"5,301",795,671,148,"2,760",755,0,172
,Daegu Dalseong-gun,Total,"7,926","1,630",974,0,"4,095",997,10,220
,Daegu Dalseong-gun,Male,"4,022",812,515,0,"2,098",496,5,96
,Daegu Dalseong-gun,Female,"3,904",818,459,0,"1,997",501,5,124
Incheon,Incheon Total,Total,"68,106","11,399",789,872,"37,400","13,844",110,"3,692"
,Incheon Total,Male,"35,360","5,936",427,475,"19,407","7,133",58,"1,924"
,Incheon Total,Female,"32,746","5,463",362,397,"17,993","6,711",52,"1,768"
,Incheon Jung-gu,Total,"3,907","1,059",63,23,819,975,0,968
,Incheon Jung-gu,Male,"2,028",540,38,13,435,484,0,518
,Incheon Jung-gu,Female,"1,879",519,25,10,384,491,0,450
,Incheon Dong-gu,Total,"1,246",472,0,0,484,178,0,112
,Incheon Dong-gu,Male,656,251,0,0,268,83,0,54
,Incheon Dong-gu,Female,590,221,0,0,216,95,0,58
,Incheon Michuhol-gu,Total,"8,699","1,133",188,208,"5,688","1,164",12,306
,Incheon Michuhol-gu,Male,"4,508",562,94,111,"2,951",604,9,177
,Incheon Michuhol-gu,Female,"4,191",571,94,97,"2,737",560,3,129
,Incheon Yeonsu-gu,Total,"9,401","2,404",0,36,"3,627","2,672",0,662
,Incheon Yeonsu-gu,Male,"4,826","1,247",0,21,"1,890","1,345",0,323
,Incheon Yeonsu-gu,Female,"4,575","1,157",0,15,"1,737","1,327",0,339
,Incheon Namdong-gu,Total,"11,700","2,095",204,140,"6,733","2,117",0,411
,Incheon Namdong-gu,Male,"6,134","1,112",107,82,"3,537","1,084",0,212
,Incheon Namdong-gu,Female,"5,566",983,97,58,"3,196","1,033",0,199
,Incheon Bupyong-gu,Total,"11,029","1,213",281,102,"6,520","2,359",53,501
,Incheon Bupyong-gu,Male,"5,705",646,154,59,"3,342","1,224",28,252
,Incheon Bupyong-gu,Female,"5,324",567,127,43,"3,178","1,135",25,249
,Incheon Gyeyang-gu,Total,"6,352",685,0,0,"4,540","1,025",21,81
,Incheon Gyeyang-gu,Male,"3,284",362,0,0,"2,333",541,10,38
,Incheon Gyeyang-gu,Female,"3,068",323,0,0,"2,207",484,11,43
,Incheon Seo-gu,Total,"14,770","1,781",53,303,"8,720","3,340",24,549
,Incheon Seo-gu,Male,"7,698",925,34,163,"4,513","1,757",11,295
,Incheon Seo-gu,Female,"7,072",856,19,140,"4,207","1,583",13,254
,Incheon Ganghwa-gun,Total,693,350,0,60,235,14,0,34
,Incheon Ganghwa-gun,Male,358,177,0,26,119,11,0,25
,Incheon Ganghwa-gun,Female,335,173,0,34,116,3,0,9
,Incheon Ongjin-gun,Total,309,207,0,0,34,0,0,68
,Incheon Ongjin-gun,Male,163,114,0,0,19,0,0,30
,Incheon Ongjin-gun,Female,146,93,0,0,15,0,0,38
Gwangju,Gwangju Total,Total,"36,742","3,856","6,333","1,233","17,280","6,453",104,"1,483"
,Gwangju Total,Male,"19,161","2,005","3,408",646,"8,980","3,325",52,745
,Gwangju Total,Female,"17,581","1,851","2,925",587,"8,300","3,128",52,738
,Gwangju Dong-gu,Total,"2,429",325,483,87,"1,026",165,0,343
,Gwangju Dong-gu,Male,"1,308",172,259,53,568,83,0,173
,Gwangju Dong-gu,Female,"1,121",153,224,34,458,82,0,170
,Gwangju Seo-gu,Total,"6,261",783,935,64,"2,685","1,452",24,318
,Gwangju Seo-gu,Male,"3,253",405,548,36,"1,350",743,14,157
,Gwangju Seo-gu,Female,"3,008",378,387,28,"1,335",709,10,161
,Gwangju Nam-gu,Total,"4,817",492,"1,154",458,"2,028",618,13,54
,Gwangju Nam-gu,Male,"2,538",250,625,243,"1,075",314,5,26
,Gwangju Nam-gu,Female,"2,279",242,529,215,953,304,8,28
,Gwangju Buk-gu,Total,"10,722","1,141","2,153",498,"4,854","1,619",0,457
,Gwangju Buk-gu,Male,"5,535",596,"1,118",254,"2,505",823,0,239
,Gwangju Buk-gu,Female,"5,187",545,"1,035",244,"2,349",796,0,218
,Gwangju Gwangsan-gu,Total,"12,513","1,115","1,608",126,"6,687","2,599",67,311
,Gwangju Gwangsan-gu,Male,"6,527",582,858,60,"3,482","1,362",33,150
,Gwangju Gwangsan-gu,Female,"5,986",533,750,66,"3,205","1,237",34,161
Daejeon,Daejeon Total,Total,"34,037","3,619","2,445",506,"13,020","10,376",153,"3,918"
,Daejeon Total,Male,"17,744","1,934","1,270",274,"6,887","5,302",84,"1,993"
,Daejeon Total,Female,"16,293","1,685","1,175",232,"6,133","5,074",69,"1,925"
,Daejeon Dong-gu,Total,"4,964",737,639,112,"2,247","1,079",18,132
,Daejeon Dong-gu,Male,"2,612",414,316,74,"1,173",557,9,69
,Daejeon Dong-gu,Female,"2,352",323,323,38,"1,074",522,9,63
,Daejeon Jung-gu,Total,"4,518",729,287,87,"2,068","1,191",27,129
,Daejeon Jung-gu,Male,"2,336",381,143,45,"1,108",590,14,55
,Daejeon Jung-gu,Female,"2,182",348,144,42,960,601,13,74
,Daejeon Seo-gu,Total,"10,395",667,421,133,"4,030","3,935",47,"1,162"
,Daejeon Seo-gu,Male,"5,417",356,225,67,"2,167","1,981",27,594
,Daejeon Seo-gu,Female,"4,978",311,196,66,"1,863","1,954",20,568
,Daejeon Yuseong-gu,Total,"10,488",647,764,82,"3,500","3,144",61,"2,290"
,Daejeon Yuseong-gu,Male,"5,498",340,412,40,"1,838","1,663",34,"1,171"
,Daejeon Yuseong-gu,Female,"4,990",307,352,42,"1,662","1,481",27,"1,119"
,Daejeon Daedeok-gu,Total,"3,672",839,334,92,"1,175","1,027",0,205
,Daejeon Daedeok-gu,Male,"1,881",443,174,48,601,511,0,104
,Daejeon Daedeok-gu,Female,"1,791",396,160,44,574,516,0,101
Ulsan,Ulsan Total,Total,"29,805","4,222",792,344,"18,416","4,033",207,"1,791"
,Ulsan Total,Male,"15,581","2,221",437,189,"9,519","2,145",125,945
,Ulsan Total,Female,"14,224","2,001",355,155,"8,897","1,888",82,846
,Ulsan Jung-gu,Total,"5,216",346,171,0,"3,611",542,0,546
,Ulsan Jung-gu,Male,"2,753",176,105,0,"1,902",277,0,293
,Ulsan Jung-gu,Female,"2,463",170,66,0,"1,709",265,0,253
,Ulsan Nam-gu,Total,"6,823","1,155",38,0,"3,903","1,219",177,331
,Ulsan Nam-gu,Male,"3,538",597,22,0,"2,006",638,107,168
,Ulsan Nam-gu,Female,"3,285",558,16,0,"1,897",581,70,163
,Ulsan Dong-gu,Total,"5,181",651,0,0,"3,677",549,0,304
,Ulsan Dong-gu,Male,"2,683",365,0,0,"1,875",279,0,164
,Ulsan Dong-gu,Female,"2,498",286,0,0,"1,802",270,0,140
,Ulsan Buk-gu,Total,"7,272","1,282",115,130,"4,206","1,317",30,192
,Ulsan Buk-gu,Male,"3,824",665,66,75,"2,174",728,18,98
,Ulsan Buk-gu,Female,"3,448",617,49,55,"2,032",589,12,94
,Ulsan Ulju-gun ,Total,"5,313",788,468,214,"3,019",406,0,418
,Ulsan Ulju-gun ,Male,"2,783",418,244,114,"1,562",223,0,222
,Ulsan Ulju-gun ,Female,"2,530",370,224,100,"1,457",183,0,196
Sejong,Sejong Total,Total,"15,349","3,702",423,263,"6,002","2,482",0,"2,477"
,Sejong Total,Male,"7,898","1,937",229,153,"3,070","1,239",0,"1,270"
,Sejong Total,Female,"7,451","1,765",194,110,"2,932","1,243",0,"1,207"
,Sejong,Total,"15,349","3,702",423,263,"6,002","2,482",0,"2,477"
,Sejong,Male,"7,898","1,937",229,153,"3,070","1,239",0,"1,270"
,Sejong,Female,"7,451","1,765",194,110,"2,932","1,243",0,"1,207"
Gyeonggi,Gyeonggi Total,Total,"358,813","63,480","3,806","6,233","180,182","87,505","1,578","16,029"
,Gyeonggi Total,Male,"185,917","32,882","2,040","3,257","93,319","45,232",862,"8,325"
,Gyeonggi Total,Female,"172,896","30,598","1,766","2,976","86,863","42,273",716,"7,704"
,Gyeonggi Suwon-si,Total,"28,552","3,685",212,450,"13,331","8,570",71,"2,233"
,Gyeonggi Suwon-si,Male,"14,816","1,920",111,233,"6,904","4,441",47,"1,160"
,Gyeonggi Suwon-si,Female,"13,736","1,765",101,217,"6,427","4,129",24,"1,073"
,Gyeonggi Seongnam-si,Total,"20,409","5,838",81,553,"5,579","4,641",197,"3,520"
,Gyeonggi Seongnam-si,Male,"10,460","3,044",40,276,"2,839","2,344",116,"1,801"
,Gyeonggi Seongnam-si,Female,"9,949","2,794",41,277,"2,740","2,297",81,"1,719"
,Gyeonggi Uijeongbu-si,Total,"12,066","1,890",27,95,"6,451","3,234",13,356
,Gyeonggi Uijeongbu-si,Male,"6,339","1,005",11,50,"3,361","1,718",8,186
,Gyeonggi Uijeongbu-si,Female,"5,727",885,16,45,"3,090","1,516",5,170
,Gyeonggi Anyang-si,Total,"12,804","2,231",98,27,"6,211","3,761",64,412
,Gyeonggi Anyang-si,Male,"6,568","1,135",55,14,"3,189","1,907",32,236
,Gyeonggi Anyang-si,Female,"6,236","1,096",43,13,"3,022","1,854",32,176
,Gyeonggi Bucheon-si,Total,"17,386","2,463",166,729,"9,263","4,131",109,525
,Gyeonggi Bucheon-si,Male,"9,050","1,315",92,382,"4,787","2,149",55,270
,Gyeonggi Bucheon-si,Female,"8,336","1,148",74,347,"4,476","1,982",54,255
,Gyeonggi Gwangmyeong-si,Total,"7,237","2,056",54,107,"2,727","2,007",82,204
,Gyeonggi Gwangmyeong-si,Male,"3,741","1,067",26,61,"1,407","1,026",43,111
,Gyeonggi Gwangmyeong-si,Female,"3,496",989,28,46,"1,320",981,39,93
,Gyeonggi Pyeongtaek-si,Total,"14,900","2,398",167,135,"8,715","2,767",13,705
,Gyeonggi Pyeongtaek-si,Male,"7,645","1,260",86,61,"4,426","1,425",8,379
,Gyeonggi Pyeongtaek-si,Female,"7,255","1,138",81,74,"4,289","1,342",5,326
,Gyeonggi Dongducheon-si,Total,"2,580",498,31,37,"1,500",514,0,0
,Gyeonggi Dongducheon-si,Male,"1,363",264,23,19,784,273,0,0
,Gyeonggi Dongducheon-si,Female,"1,217",234,8,18,716,241,0,0
,Gyeonggi Ansan-si,Total,"17,279","2,546",0,393,"10,730","3,106",48,456
,Gyeonggi Ansan-si,Male,"8,892","1,295",0,201,"5,565","1,568",25,238
,Gyeonggi Ansan-si,Female,"8,387","1,251",0,192,"5,165","1,538",23,218
,Gyeonggi Goyang-si,Total,"23,566","4,929",130,166,"10,825","6,140",174,"1,202"
,Gyeonggi Goyang-si,Male,"12,172","2,515",74,99,"5,624","3,150",93,617
,Gyeonggi Goyang-si,Female,"11,394","2,414",56,67,"5,201","2,990",81,585
,Gyeonggi Gwacheon-si,Total,"2,027",640,74,0,277,299,118,619
,Gyeonggi Gwacheon-si,Male,"1,095",364,38,0,158,151,58,326
,Gyeonggi Gwacheon-si,Female,932,276,36,0,119,148,60,293
,Gyeonggi Guri-si,Total,"4,716",936,0,147,"1,995","1,551",0,87
,Gyeonggi Guri-si,Male,"2,416",479,0,81,"1,026",785,0,45
,Gyeonggi Guri-si,Female,"2,300",457,0,66,969,766,0,42
,Gyeonggi Namyangju-si,Total,"19,722","3,605",174,596,"10,397","4,859",31,60
,Gyeonggi Namyangju-si,Male,"10,281","1,810",93,317,"5,439","2,576",15,31
,Gyeonggi Namyangju-si,Female,"9,441","1,795",81,279,"4,958","2,283",16,29
,Gyeonggi Osan-si,Total,"8,005","2,554",34,168,"2,794","2,292",0,163
,Gyeonggi Osan-si,Male,"4,124","1,331",26,94,"1,395","1,203",0,75
,Gyeonggi Osan-si,Female,"3,881","1,223",8,74,"1,399","1,089",0,88
,Gyeonggi Siheung-si,Total,"17,203","3,879",283,161,"8,703","4,017",0,160
,Gyeonggi Siheung-si,Male,"8,849","2,049",163,75,"4,456","2,010",0,96
,Gyeonggi Siheung-si,Female,"8,354","1,830",120,86,"4,247","2,007",0,64
,Gyeonggi Gunpo-si,Total,"6,696","1,463",41,116,"3,130","1,697",38,211
,Gyeonggi Gunpo-si,Male,"3,459",726,19,50,"1,639",899,20,106
,Gyeonggi Gunpo-si,Female,"3,237",737,22,66,"1,491",798,18,105
,Gyeonggi Uiwang-si,Total,"4,620","1,154",387,334,"1,388","1,104",62,191
,Gyeonggi Uiwang-si,Male,"2,481",601,205,177,734,616,40,108
,Gyeonggi Uiwang-si,Female,"2,139",553,182,157,654,488,22,83
,Gyeonggi Hanam-si,Total,"9,360","2,301",0,49,"4,479","2,215",228,88
,Gyeonggi Hanam-si,Male,"4,867","1,184",0,22,"2,344","1,149",125,43
,Gyeonggi Hanam-si,Female,"4,493","1,117",0,27,"2,135","1,066",103,45
,Gyeonggi Yongin-si,Total,"30,325","2,875",319,892,"17,207","7,300",139,"1,593"
,Gyeonggi Yongin-si,Male,"15,823","1,493",177,459,"8,988","3,792",80,834
,Gyeonggi Yongin-si,Female,"14,502","1,382",142,433,"8,219","3,508",59,759
,Gyeonggi Paju-si,Total,"13,112","1,523",175,17,"6,834","3,572",25,966
,Gyeonggi Paju-si,Male,"6,792",792,84,10,"3,542","1,850",15,499
,Gyeonggi Paju-si,Female,"6,320",731,91,7,"3,292","1,722",10,467
,Gyeonggi Icheon-si,Total,"7,127",881,0,45,"5,192",602,16,391
,Gyeonggi Icheon-si,Male,"3,757",493,0,26,"2,706",322,6,204
,Gyeonggi Icheon-si,Female,"3,370",388,0,19,"2,486",280,10,187
,Gyeonggi Anseong-si,Total,"5,976",773,198,153,"3,667","1,185",0,0
,Gyeonggi Anseong-si,Male,"3,080",405,106,78,"1,864",627,0,0
,Gyeonggi Anseong-si,Female,"2,896",368,92,75,"1,803",558,0,0
,Gyeonggi Gimpo-si,Total,"14,117","2,702",416,0,"6,228","4,645",15,111
,Gyeonggi Gimpo-si,Male,"7,216","1,347",215,0,"3,194","2,391",8,61
,Gyeonggi Gimpo-si,Female,"6,901","1,355",201,0,"3,034","2,254",7,50
,Gyeonggi Hwaseong-si,Total,"27,121","4,889",386,156,"12,592","8,155",0,943
,Gyeonggi Hwaseong-si,Male,"14,152","2,531",209,85,"6,619","4,237",0,471
,Gyeonggi Hwaseong-si,Female,"12,969","2,358",177,71,"5,973","3,918",0,472
,Gyeonggi Gwangju-si,Total,"14,093","1,495",45,394,"9,622","2,401",31,105
,Gyeonggi Gwangju-si,Male,"7,190",777,22,209,"4,909","1,199",16,58
,Gyeonggi Gwangju-si,Female,"6,903",718,23,185,"4,713","1,202",15,47
,Gyeonggi Yangju-si,Total,"7,054","1,156",0,53,"4,029","1,613",0,203
,Gyeonggi Yangju-si,Male,"3,703",600,0,32,"2,146",821,0,104
,Gyeonggi Yangju-si,Female,"3,351",556,0,21,"1,883",792,0,99
,Gyeonggi Pocheon-si,Total,"3,683",668,0,74,"2,178",393,104,266
,Gyeonggi Pocheon-si,Male,"1,932",330,0,43,"1,150",222,52,135
,Gyeonggi Pocheon-si,Female,"1,751",338,0,31,"1,028",171,52,131
,Gyeonggi Yeoju-si,Total,"2,387",137,146,30,"1,722",307,0,45
,Gyeonggi Yeoju-si,Male,"1,223",70,78,19,881,155,0,20
,Gyeonggi Yeoju-si,Female,"1,164",67,68,11,841,152,0,25
,Gyeonggi Yeoncheon-gun,Total,919,317,61,31,259,115,0,136
,Gyeonggi Yeoncheon-gun,Male,483,177,40,11,126,62,0,67
,Gyeonggi Yeoncheon-gun,Female,436,140,21,20,133,53,0,69
