,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Nation Total,Total,"1,244,396","253,251","78,322","34,066","578,196","230,444","3,716","66,401"
,Nation Total,Male,"644,496","131,303","41,100","17,710","299,290","118,878","2,010","34,205"
,Nation Total,Female,"599,900","121,948","37,222","16,356","278,906","111,566","1,706","32,196"
Seoul,Seoul Total,Total,"196,260","85,925","1,393","4,242","62,749","27,106",760,"14,085"
,Seoul Total,Male,"101,380","44,512",746,"2,169","32,341","13,997",395,"7,220"
,Seoul Total,Female,"94,880","41,413",647,"2,073","30,408","13,109",365,"6,865"
,Seoul Jongno-gu,Total,"3,263","1,615",55,33,254,39,0,"1,267"
,Seoul Jongno-gu,Male,"1,665",800,27,19,146,11,0,662
,Seoul Jongno-gu,Female,"1,598",815,28,14,108,28,0,605
,Seoul Jung-gu,Total,"3,240","1,551",0,270,186,185,0,"1,048"
,Seoul Jung-gu,Male,"1,680",811,0,151,89,101,0,528
,Seoul Jung-gu,Female,"1,560",740,0,119,97,84,0,520
,Seoul Yongsan-gu,Total,"4,322","1,770",78,251,888,670,31,634
,Seoul Yongsan-gu,Male,"2,219",900,43,122,454,349,20,331
,Seoul Yongsan-gu,Female,"2,103",870,35,129,434,321,11,303
,Seoul Seongdong-gu,Total,"6,308","3,987",0,128,"1,074",890,0,229
,Seoul Seongdong-gu,Male,"3,251","2,071",0,64,557,440,0,119
,Seoul Seongdong-gu,Female,"3,057","1,916",0,64,517,450,0,110
,Seoul Gwangjin-gu,Total,"6,148","2,497",0,0,"2,782",742,31,96
,Seoul Gwangjin-gu,Male,"3,181","1,265",0,0,"1,431",408,17,60
,Seoul Gwangjin-gu,Female,"2,967","1,232",0,0,"1,351",334,14,36
,Seoul Dongdaemun-gu,Total,"6,860","3,178",0,148,"2,225","1,064",0,245
,Seoul Dongdaemun-gu,Male,"3,506","1,638",0,80,"1,130",529,0,129
,Seoul Dongdaemun-gu,Female,"3,354","1,540",0,68,"1,095",535,0,116
,Seoul Jungnang-gu,Total,"8,448","3,268",0,229,"3,692","1,052",24,183
,Seoul Jungnang-gu,Male,"4,413","1,721",0,133,"1,912",544,12,91
,Seoul Jungnang-gu,Female,"4,035","1,547",0,96,"1,780",508,12,92
,Seoul Seongbuk-gu,Total,"7,947","3,715",92,770,"2,006","1,144",40,180
,Seoul Seongbuk-gu,Male,"4,136","1,889",58,390,"1,077",608,24,90
,Seoul Seongbuk-gu,Female,"3,811","1,826",34,380,929,536,16,90
,Seoul Gangbuk-gu,Total,"6,079","2,383",51,75,"3,175",316,23,56
,Seoul Gangbuk-gu,Male,"3,115","1,206",26,43,"1,637",175,8,20
,Seoul Gangbuk-gu,Female,"2,964","1,177",25,32,"1,538",141,15,36
,Seoul Dobong-gu,Total,"6,701","2,505",26,48,"2,949",979,29,165
,Seoul Dobong-gu,Male,"3,517","1,350",14,24,"1,517",518,20,74
,Seoul Dobong-gu,Female,"3,184","1,155",12,24,"1,432",461,9,91
,Seoul Nowon-gu,Total,"9,433","4,119",163,0,"2,170","2,729",15,237
,Seoul Nowon-gu,Male,"4,856","2,092",83,0,"1,155","1,396",11,119
,Seoul Nowon-gu,Female,"4,577","2,027",80,0,"1,015","1,333",4,118
,Seoul Eunpyeong-gu,Total,"10,082","3,534",0,281,"5,426",707,16,118
,Seoul Eunpyeong-gu,Male,"5,225","1,859",0,139,"2,794",361,8,64
,Seoul Eunpyeong-gu,Female,"4,857","1,675",0,142,"2,632",346,8,54
,Seoul Seodaemun-gu,Total,"5,754","2,864",0,73,"1,827",594,20,376
,Seoul Seodaemun-gu,Male,"2,954","1,506",0,36,911,308,9,184
,Seoul Seodaemun-gu,Female,"2,800","1,358",0,37,916,286,11,192
,Seoul Mapo-gu,Total,"7,459","3,928",0,127,"1,625",972,139,668
,Seoul Mapo-gu,Male,"3,773","1,961",0,83,805,504,71,349
,Seoul Mapo-gu,Female,"3,686","1,967",0,44,820,468,68,319
,Seoul Yangcheon-gu,Total,"8,966","4,019",0,37,"2,879","1,737",9,285
,Seoul Yangcheon-gu,Male,"4,590","2,115",0,16,"1,428",877,5,149
