Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Seoul Gangdong-gu,Total,"11,699 ","2,841 ",81 ,152 ,"6,334 ","2,138 ",0 ,153 
,Seoul Gangdong-gu,Male,"6,063 ","1,473 ",37 ,82 ,"3,294 ","1,106 ",0 ,71 
,Seoul Gangdong-gu,Female,"5,636 ","1,368 ",44 ,70 ,"3,040 ","1,032 ",0 ,82 
Busan,Busan Total,Total,"75,006 ","10,964 ","5,796 ","2,532 ","39,945 ","13,539 ",278 ,"1,952 "
,Busan Total,Male,"38,884 ","5,657 ","3,069 ","1,309 ","20,745 ","6,917 ",142 ,"1,045 "
,Busan Total,Female,"36,122 ","5,307 ","2,727 ","1,223 ","19,200 ","6,622 ",136 ,907 
,Busan Jung-gu,Total,876 ,295 ,42 ,0 ,423 ,37 ,0 ,79 
,Busan Jung-gu,Male,444 ,146 ,27 ,0 ,216 ,16 ,0 ,39 
,Busan Jung-gu,Female,432 ,149 ,15 ,0 ,207 ,21 ,0 ,40 
,Busan Seo-gu,Total,"1,747 ",629 ,89 ,164 ,756 ,109 ,0 ,0 
,Busan Seo-gu,Male,915 ,325 ,53 ,82 ,396 ,59 ,0 ,0 
,Busan Seo-gu,Female,832 ,304 ,36 ,82 ,360 ,50 ,0 ,0 
,Busan Dong-gu,Total,"1,667 ",493 ,195 ,101 ,609 ,111 ,0 ,158 
,Busan Dong-gu,Male,875 ,261 ,95 ,52 ,321 ,60 ,0 ,86 
,Busan Dong-gu,Female,792 ,232 ,100 ,49 ,288 ,51 ,0 ,72 
,Busan Yeongdo-gu,Total,"2,292 ",807 ,91 ,381 ,823 ,166 ,0 ,24 
,Busan Yeongdo-gu,Male,"1,164 ",394 ,46 ,198 ,431 ,81 ,0 ,14 
,Busan Yeongdo-gu,Female,"1,128 ",413 ,45 ,183 ,392 ,85 ,0 ,10 
,Busan Busanjin-gu,Total,"6,421 ","1,174 ",366 ,208 ,"3,158 ",989 ,43 ,483 
,Busan Busanjin-gu,Male,"3,301 ",610 ,194 ,117 ,"1,608 ",489 ,20 ,263 
,Busan Busanjin-gu,Female,"3,120 ",564 ,172 ,91 ,"1,550 ",500 ,23 ,220 
,Busan Dongnae-gu,Total,"5,254 ",673 ,354 ,0 ,"3,358 ",758 ,22 ,89 
,Busan Dongnae-gu,Male,"2,740 ",344 ,196 ,0 ,"1,762 ",381 ,7 ,50 
,Busan Dongnae-gu,Female,"2,514 ",329 ,158 ,0 ,"1,596 ",377 ,15 ,39 
,Busan Nam-gu,Total,"5,638 ","1,134 ",404 ,155 ,"2,668 ","1,070 ",15 ,192 
,Busan Nam-gu,Male,"2,939 ",596 ,223 ,74 ,"1,387 ",553 ,9 ,97 
,Busan Nam-gu,Female,"2,699 ",538 ,181 ,81 ,"1,281 ",517 ,6 ,95 
,Busan Buk-gu,Total,"7,145 ",443 ,447 ,44 ,"4,337 ","1,780 ",74 ,20 
,Busan Buk-gu,Male,"3,715 ",249 ,245 ,19 ,"2,248 ",905 ,38 ,11 
,Busan Buk-gu,Female,"3,430 ",194 ,202 ,25 ,"2,089 ",875 ,36 ,9 
,Busan Haeundae-gu,Total,"8,557 ",939 ,989 ,98 ,"4,910 ","1,537 ",14 ,70 
,Busan Haeundae-gu,Male,"4,459 ",503 ,508 ,51 ,"2,565 ",789 ,9 ,34 
,Busan Haeundae-gu,Female,"4,098 ",436 ,481 ,47 ,"2,345 ",748 ,5 ,36 
,Busan Saha-gu,Total,"8,379 ","1,438 ",631 ,597 ,"4,158 ","1,533 ",0 ,22 
,Busan Saha-gu,Male,"4,347 ",747 ,325 ,310 ,"2,154 ",792 ,0 ,19 
,Busan Saha-gu,Female,"4,032 ",691 ,306 ,287 ,"2,004 ",741 ,0 ,3 
,Busan Geumjeong-gu,Total,"4,432 ",595 ,393 ,42 ,"2,722 ",575 ,23 ,82 
,Busan Geumjeong-gu,Male,"2,336 ",315 ,232 ,26 ,"1,426 ",281 ,12 ,44 
,Busan Geumjeong-gu,Female,"2,096 ",280 ,161 ,16 ,"1,296 ",294 ,11 ,38 
,Busan Gangseo-gu,Total,"3,687 ",317 ,563 ,0 ,"1,520 ",966 ,36 ,285 
,Busan Gangseo-gu,Male,"1,904 ",162 ,288 ,0 ,776 ,505 ,17 ,156 
,Busan Gangseo-gu,Female,"1,783 ",155 ,275 ,0 ,744 ,461 ,19 ,129 
,Busan Yeonje-gu,Total,"4,208 ",373 ,203 ,389 ,"2,546 ",488 ,0 ,209 
,Busan Yeonje-gu,Male,"2,181 ",201 ,101 ,198 ,"1,341 ",236 ,0 ,104 
,Busan Yeonje-gu,Female,"2,027 ",172 ,102 ,191 ,"1,205 ",252 ,0 ,105 
,Busan Suyeong-gu,Total,"3,430 ",253 ,416 ,154 ,"2,241 ",356 ,0 ,10 
,Busan Suyeong-gu,Male,"1,785 ",120 ,219 ,78 ,"1,185 ",176 ,0 ,7 
,Busan Suyeong-gu,Female,"1,645 ",133 ,197 ,76 ,"1,056 ",180 ,0 ,3 
,Busan Sasang-gu,Total,"4,925 ",780 ,163 ,199 ,"2,685 ","1,089 ",0 ,9 
,Busan Sasang-gu,Male,"2,516 ",371 ,93 ,104 ,"1,374 ",570 ,0 ,4 
,Busan Sasang-gu,Female,"2,409 ",409 ,70 ,95 ,"1,311 ",519 ,0 ,5 
,Busan Gijang-gun,Total,"6,348 ",621 ,450 ,0 ,"3,031 ","1,975 ",51 ,220 
,Busan Gijang-gun,Male,"3,263 ",313 ,224 ,0 ,"1,555 ","1,024 ",30 ,117 
,Busan Gijang-gun,Female,"3,085 ",308 ,226 ,0 ,"1,476 ",951 ,21 ,103 
Daegu,Daegu Total,Total,"58,706 ","2,719 ","10,734 ","1,734 ","33,690 ","8,579 ",101 ,"1,149 "
,Daegu Total,Male,"30,306 ","1,462 ","5,729 ",917 ,"17,187 ","4,383 ",54 ,574 
,Daegu Total,Female,"28,400 ","1,257 ","5,005 ",817 ,"16,503 ","4,196 ",47 ,575 
,Daegu Jung-gu,Total,"1,594 ",152 ,289 ,50 ,728 ,196 ,0 ,179 
,Daegu Jung-gu,Male,787 ,71 ,145 ,26 ,359 ,95 ,0 ,91 
,Daegu Jung-gu,Female,807 ,81 ,144 ,24 ,369 ,101 ,0 ,88 
,Daegu Dong-gu,Total,"8,858 ",512 ,"1,395 ",201 ,"5,421 ","1,050 ",17 ,262 
,Daegu Dong-gu,Male,"4,584 ",275 ,731 ,116 ,"2,780 ",542 ,11 ,129 
,Daegu Dong-gu,Female,"4,274 ",237 ,664 ,85 ,"2,641 ",508 ,6 ,133 
,Daegu Seo-gu,Total,"4,966 ",350 ,386 ,183 ,"3,521 ",491 ,0 ,35 
,Daegu Seo-gu,Male,"2,578 ",181 ,228 ,94 ,"1,802 ",253 ,0 ,20 
,Daegu Seo-gu,Female,"2,388 ",169 ,158 ,89 ,"1,719 ",238 ,0 ,15 
,Daegu Nam-gu,Total,"2,882 ",44 ,"1,153 ",250 ,"1,280 ",132 ,18 ,5 
,Daegu Nam-gu,Male,"1,504 ",31 ,616 ,126 ,652 ,68 ,10 ,1 
,Daegu Nam-gu,Female,"1,378 ",13 ,537 ,124 ,628 ,64 ,8 ,4 
,Daegu Buk-gu,Total,"11,235 ",303 ,"2,019 ",175 ,"6,445 ","2,249 ",13 ,31 
,Daegu Buk-gu,Male,"5,838 ",172 ,"1,074 ",85 ,"3,335 ","1,148 ",7 ,17 
,Daegu Buk-gu,Female,"5,397 ",131 ,945 ,90 ,"3,110 ","1,101 ",6 ,14 
,Daegu Suseong-gu,Total,"8,252 ",234 ,"2,652 ",285 ,"3,743 ",914 ,35 ,389 
,Daegu Suseong-gu,Male,"4,264 ",139 ,"1,402 ",157 ,"1,864 ",496 ,15 ,191 
,Daegu Suseong-gu,Female,"3,988 ",95 ,"1,250 ",128 ,"1,879 ",418 ,20 ,198 
,Daegu Dalseo-gu,Total,"14,352 ",585 ,"1,724 ",590 ,"8,586 ","2,619 ",0 ,248 
,Daegu Dalseo-gu,Male,"7,372 ",320 ,936 ,313 ,"4,355 ","1,323 ",0 ,125 
,Daegu Dalseo-gu,Female,"6,980 ",265 ,788 ,277 ,"4,231 ","1,296 ",0 ,123 
,Daegu Dalseong-gun,Total,"6,567 ",539 ,"1,116 ",0 ,"3,966 ",928 ,18 ,0 
,Daegu Dalseong-gun,Male,"3,379 ",273 ,597 ,0 ,"2,040 ",458 ,11 ,0 
,Daegu Dalseong-gun,Female,"3,188 ",266 ,519 ,0 ,"1,926 ",470 ,7 ,0 
Incheon,Incheon Total,Total,"81,096 ","8,687 ",900 ,"1,129 ","48,060 ","19,270 ",179 ,"2,871 "
,Incheon Total,Male,"41,902 ","4,489 ",471 ,563 ,"24,856 ","9,961 ",93 ,"1,469 "
,Incheon Total,Female,"39,194 ","4,198 ",429 ,566 ,"23,204 ","9,309 ",86 ,"1,402 "
,Incheon Jung-gu,Total,"3,649 ",725 ,63 ,30 ,991 ,"1,123 ",0 ,717 
,Incheon Jung-gu,Male,"1,857 ",358 ,33 ,20 ,505 ,578 ,0 ,363 
,Incheon Jung-gu,Female,"1,792 ",367 ,30 ,10 ,486 ,545 ,0 ,354 
,Incheon Dong-gu,Total,"2,016 ",551 ,0 ,0 ,895 ,470 ,0 ,100 
,Incheon Dong-gu,Male,"1,048 ",313 ,0 ,0 ,456 ,239 ,0 ,40 
,Incheon Dong-gu,Female,968 ,238 ,0 ,0 ,439 ,231 ,0 ,60 
,Incheon Michuhol-gu,Total,"10,781 ","1,181 ",228 ,148 ,"7,136 ","1,695 ",63 ,330 
,Incheon Michuhol-gu,Male,"5,576 ",601 ,121 ,71 ,"3,680 ",910 ,31 ,162 
,Incheon Michuhol-gu,Female,"5,205 ",580 ,107 ,77 ,"3,456 ",785 ,32 ,168 
,Incheon Yeonsu-gu,Total,"8,560 ","1,074 ",0 ,38 ,"4,384 ","2,711 ",0 ,353 
,Incheon Yeonsu-gu,Male,"4,434 ",572 ,0 ,16 ,"2,303 ","1,362 ",0 ,181 
,Incheon Yeonsu-gu,Female,"4,126 ",502 ,0 ,22 ,"2,081 ","1,349 ",0 ,172 
,Incheon Namdong-gu,Total,"14,667 ","1,586 ",228 ,248 ,"9,059 ","3,221 ",0 ,325 
,Incheon Namdong-gu,Male,"7,580 ",789 ,111 ,121 ,"4,738 ","1,649 ",0 ,172 
,Incheon Namdong-gu,Female,"7,087 ",797 ,117 ,127 ,"4,321 ","1,572 ",0 ,153 
,Incheon Bupyong-gu,Total,"14,426 ","1,046 ",302 ,327 ,"8,509 ","3,758 ",56 ,428 
,Incheon Bupyong-gu,Male,"7,344 ",529 ,154 ,169 ,"4,301 ","1,941 ",30 ,220 
,Incheon Bupyong-gu,Female,"7,082 ",517 ,148 ,158 ,"4,208 ","1,817 ",26 ,208 
,Incheon Gyeyang-gu,Total,"9,635 ",740 ,0 ,51 ,"6,706 ","1,983 ",34 ,121 
,Incheon Gyeyang-gu,Male,"4,975 ",404 ,0 ,23 ,"3,440 ","1,029 ",18 ,61 
,Incheon Gyeyang-gu,Female,"4,660 ",336 ,0 ,28 ,"3,266 ",954 ,16 ,60 
,Incheon Seo-gu,Total,"16,145 ","1,215 ",79 ,232 ,"9,899 ","4,215 ",26 ,479 
,Incheon Seo-gu,Male,"8,450 ",610 ,52 ,122 ,"5,192 ","2,202 ",14 ,258 
,Incheon Seo-gu,Female,"7,695 ",605 ,27 ,110 ,"4,707 ","2,013 ",12 ,221 
,Incheon Ganghwa-gun,Total,913 ,382 ,0 ,55 ,384 ,74 ,0 ,18 
,Incheon Ganghwa-gun,Male,465 ,212 ,0 ,21 ,182 ,38 ,0 ,12 
,Incheon Ganghwa-gun,Female,448 ,170 ,0 ,34 ,202 ,36 ,0 ,6 
,Incheon Ongjin-gun,Total,304 ,187 ,0 ,0 ,97 ,20 ,0 ,0 
,Incheon Ongjin-gun,Male,173 ,101 ,0 ,0 ,59 ,13 ,0 ,0 
,Incheon Ongjin-gun,Female,131 ,86 ,0 ,0 ,38 ,7 ,0 ,0 
Gwangju,Gwangju Total,Total,"47,207 ","2,378 ","8,416 ","1,483 ","24,076 ","9,239 ",342 ,"1,273 "
,Gwangju Total,Male,"24,414 ","1,207 ","4,448 ",770 ,"12,449 ","4,675 ",194 ,671 
,Gwangju Total,Female,"22,793 ","1,171 ","3,968 ",713 ,"11,627 ","4,564 ",148 ,602 
,Gwangju Dong-gu,Total,"2,249 ",81 ,587 ,124 ,"1,029 ",160 ,0 ,268 
,Gwangju Dong-gu,Male,"1,191 ",48 ,312 ,68 ,538 ,78 ,0 ,147 
,Gwangju Dong-gu,Female,"1,058 ",33 ,275 ,56 ,491 ,82 ,0 ,121 
,Gwangju Seo-gu,Total,"8,195 ",800 ,"1,294 ",56 ,"3,644 ","2,085 ",64 ,252 
,Gwangju Seo-gu,Male,"4,262 ",408 ,732 ,27 ,"1,840 ","1,069 ",41 ,145 
,Gwangju Seo-gu,Female,"3,933 ",392 ,562 ,29 ,"1,804 ","1,016 ",23 ,107 
,Gwangju Nam-gu,Total,"6,000 ",227 ,"1,351 ",509 ,"2,896 ",919 ,98 ,0 
,Gwangju Nam-gu,Male,"3,127 ",126 ,684 ,273 ,"1,522 ",469 ,53 ,0 
,Gwangju Nam-gu,Female,"2,873 ",101 ,667 ,236 ,"1,374 ",450 ,45 ,0 
,Gwangju Buk-gu,Total,"13,186 ",837 ,"2,655 ",599 ,"6,389 ","2,216 ",48 ,442 
,Gwangju Buk-gu,Male,"6,728 ",403 ,"1,383 ",298 ,"3,281 ","1,111 ",26 ,226 
,Gwangju Buk-gu,Female,"6,458 ",434 ,"1,272 ",301 ,"3,108 ","1,105 ",22 ,216 
,Gwangju Gwangsan-gu,Total,"17,577 ",433 ,"2,529 ",195 ,"10,118 ","3,859 ",132 ,311 
,Gwangju Gwangsan-gu,Male,"9,106 ",222 ,"1,337 ",104 ,"5,268 ","1,948 ",74 ,153 
,Gwangju Gwangsan-gu,Female,"8,471 ",211 ,"1,192 ",91 ,"4,850 ","1,911 ",58 ,158 
Daejeon,Daejeon Total,Total,"44,482 ","1,734 ","3,010 ",635 ,"19,710 ","15,818 ",302 ,"3,273 "
,Daejeon Total,Male,"23,050 ",940 ,"1,567 ",321 ,"10,243 ","8,170 ",147 ,"1,662 "
,Daejeon Total,Female,"21,432 ",794 ,"1,443 ",314 ,"9,467 ","7,648 ",155 ,"1,611 "
,Daejeon Dong-gu,Total,"7,057 ",292 ,847 ,136 ,"3,982 ","1,617 ",57 ,126 
,Daejeon Dong-gu,Male,"3,606 ",142 ,446 ,65 ,"2,047 ",815 ,28 ,63 
,Daejeon Dong-gu,Female,"3,451 ",150 ,401 ,71 ,"1,935 ",802 ,29 ,63 
,Daejeon Jung-gu,Total,"6,370 ",211 ,377 ,99 ,"3,751 ","1,776 ",87 ,69 
,Daejeon Jung-gu,Male,"3,319 ",115 ,191 ,50 ,"1,971 ",917 ,37 ,38 
,Daejeon Jung-gu,Female,"3,051 ",96 ,186 ,49 ,"1,780 ",859 ,50 ,31 
,Daejeon Seo-gu,Total,"13,618 ",540 ,447 ,170 ,"5,401 ","5,795 ",105 ,"1,160 "
,Daejeon Seo-gu,Male,"7,063 ",299 ,230 ,95 ,"2,788 ","3,036 ",58 ,557 
,Daejeon Seo-gu,Female,"6,555 ",241 ,217 ,75 ,"2,613 ","2,759 ",47 ,603 
,Daejeon Yuseong-gu,Total,"12,050 ",190 ,919 ,107 ,"4,156 ","4,904 ",53 ,"1,721 "
,Daejeon Yuseong-gu,Male,"6,277 ",109 ,476 ,51 ,"2,166 ","2,531 ",24 ,920 
,Daejeon Yuseong-gu,Female,"5,773 ",81 ,443 ,56 ,"1,990 ","2,373 ",29 ,801 
,Daejeon Daedeok-gu,Total,"5,387 ",501 ,420 ,123 ,"2,420 ","1,726 ",0 ,197 
,Daejeon Daedeok-gu,Male,"2,785 ",275 ,224 ,60 ,"1,271 ",871 ,0 ,84 
,Daejeon Daedeok-gu,Female,"2,602 ",226 ,196 ,63 ,"1,149 ",855 ,0 ,113 
Ulsan,Ulsan Total,Total,"34,762 ","2,230 ",863 ,454 ,"23,824 ","5,832 ",142 ,"1,417 "
,Ulsan Total,Male,"18,007 ","1,200 ",443 ,224 ,"12,401 ","2,980 ",66 ,693 
,Ulsan Total,Female,"16,755 ","1,030 ",420 ,230 ,"11,423 ","2,852 ",76 ,724 
,Ulsan Jung-gu,Total,"6,285 ",303 ,195 ,0 ,"4,623 ",812 ,34 ,318 
,Ulsan Jung-gu,Male,"3,260 ",150 ,113 ,0 ,"2,420 ",409 ,15 ,153 
,Ulsan Jung-gu,Female,"3,025 ",153 ,82 ,0 ,"2,203 ",403 ,19 ,165 
,Ulsan Nam-gu,Total,"8,705 ",656 ,48 ,0 ,"5,679 ","1,967 ",75 ,280 
,Ulsan Nam-gu,Male,"4,508 ",353 ,20 ,0 ,"2,916 ","1,030 ",40 ,149 
,Ulsan Nam-gu,Female,"4,197 ",303 ,28 ,0 ,"2,763 ",937 ,35 ,131 
,Ulsan Dong-gu,Total,"6,510 ",452 ,0 ,0 ,"4,799 ",948 ,0 ,311 
,Ulsan Dong-gu,Male,"3,353 ",256 ,0 ,0 ,"2,469 ",483 ,0 ,145 
,Ulsan Dong-gu,Female,"3,157 ",196 ,0 ,0 ,"2,330 ",465 ,0 ,166 
,Ulsan Buk-gu,Total,"6,933 ",282 ,118 ,218 ,"4,568 ","1,529 ",33 ,185 
,Ulsan Buk-gu,Male,"3,626 ",157 ,59 ,120 ,"2,436 ",755 ,11 ,88 
,Ulsan Buk-gu,Female,"3,307 ",125 ,59 ,98 ,"2,132 ",774 ,22 ,97 
,Ulsan Ulju-gun ,Total,"6,329 ",537 ,502 ,236 ,"4,155 ",576 ,0 ,323 
,Ulsan Ulju-gun ,Male,"3,260 ",284 ,251 ,104 ,"2,160 ",303 ,0 ,158 
,Ulsan Ulju-gun ,Female,"3,069 ",253 ,251 ,132 ,"1,995 ",273 ,0 ,165 
Sejong,Sejong Total,Total,"10,846 ","1,077 ",719 ,379 ,"4,436 ","2,153 ",0 ,"2,082 "
,Sejong Total,Male,"5,518 ",556 ,365 ,194 ,"2,242 ","1,079 ",0 ,"1,082 "
,Sejong Total,Female,"5,328 ",521 ,354 ,185 ,"2,194 ","1,074 ",0 ,"1,000 "
,Sejong,Total,"10,846 ","1,077 ",719 ,379 ,"4,436 ","2,153 ",0 ,"2,082 "
,,Male,"5,518 ",556 ,365 ,194 ,"2,242 ","1,079 ",0 ,"1,082 "
,,Female,"5,328 ",521 ,354 ,185 ,"2,194 ","1,074 ",0 ,"1,000 "
Gyeonggi,Gyeonggi Total,Total,"390,870 ","41,245 ","4,719 ","8,250 ","207,684 ","114,793 ","1,564 ","12,615 "
