Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
Nation Total,,Total,"1,451,215 ","175,929 ","99,113 ","45,374 ","745,663 ","328,594 ","4,240 ","52,302 "
,,Male,"750,122 ","91,124 ","52,038 ","23,638 ","385,046 ","168,970 ","2,197 ","27,109 "
,,Female,"701,093 ","84,805 ","47,075 ","21,736 ","360,617 ","159,624 ","2,043 ","25,193 "
Seoul,Seoul Total,Total,"236,550 ","67,240 ","2,005 ","5,848 ","102,575 ","46,284 ",798 ,"11,800 "
,Seoul Total,Male,"121,801 ","34,764 ","1,039 ","3,005 ","52,645 ","23,778 ",427 ,"6,143 "
,Seoul Total,Female,"114,749 ","32,476 ",966 ,"2,843 ","49,930 ","22,506 ",371 ,"5,657 "
,Seoul Jongno-gu,Total,"3,901 ","1,668 ",86 ,126 ,609 ,89 ,0 ,"1,323 "
,Seoul Jongno-gu,Male,"2,086 ",885 ,52 ,68 ,314 ,47 ,0 ,720 
,Seoul Jongno-gu,Female,"1,815 ",783 ,34 ,58 ,295 ,42 ,0 ,603 
,Seoul Jung-gu,Total,"3,446 ","1,589 ",0 ,323 ,420 ,274 ,0 ,840 
,Seoul Jung-gu,Male,"1,793 ",816 ,0 ,170 ,206 ,138 ,0 ,463 
,Seoul Jung-gu,Female,"1,653 ",773 ,0 ,153 ,214 ,136 ,0 ,377 
,Seoul Yongsan-gu,Total,"4,830 ","1,503 ",84 ,337 ,"1,457 ",913 ,24 ,512 
,Seoul Yongsan-gu,Male,"2,477 ",756 ,42 ,173 ,748 ,471 ,13 ,274 
,Seoul Yongsan-gu,Female,"2,353 ",747 ,42 ,164 ,709 ,442 ,11 ,238 
,Seoul Seongdong-gu,Total,"7,049 ","3,437 ",0 ,175 ,"1,971 ","1,281 ",0 ,185 
,Seoul Seongdong-gu,Male,"3,633 ","1,740 ",0 ,85 ,"1,049 ",656 ,0 ,103 
,Seoul Seongdong-gu,Female,"3,416 ","1,697 ",0 ,90 ,922 ,625 ,0 ,82 
,Seoul Gwangjin-gu,Total,"8,046 ","1,930 ",0 ,67 ,"4,661 ","1,228 ",63 ,97 
,Seoul Gwangjin-gu,Male,"4,197 ","1,033 ",0 ,35 ,"2,431 ",612 ,32 ,54 
,Seoul Gwangjin-gu,Female,"3,849 ",897 ,0 ,32 ,"2,230 ",616 ,31 ,43 
,Seoul Dongdaemun-gu,Total,"8,364 ","2,602 ",0 ,182 ,"3,576 ","1,766 ",0 ,238 
,Seoul Dongdaemun-gu,Male,"4,333 ","1,345 ",0 ,102 ,"1,865 ",904 ,0 ,117 
,Seoul Dongdaemun-gu,Female,"4,031 ","1,257 ",0 ,80 ,"1,711 ",862 ,0 ,121 
,Seoul Jungnang-gu,Total,"10,558 ","2,627 ",79 ,250 ,"5,678 ","1,784 ",0 ,140 
,Seoul Jungnang-gu,Male,"5,421 ","1,344 ",48 ,126 ,"2,920 ",917 ,0 ,66 
,Seoul Jungnang-gu,Female,"5,137 ","1,283 ",31 ,124 ,"2,758 ",867 ,0 ,74 
,Seoul Seongbuk-gu,Total,"10,494 ","3,109 ",152 ,955 ,"3,876 ","2,230 ",23 ,149 
,Seoul Seongbuk-gu,Male,"5,312 ","1,624 ",68 ,486 ,"1,903 ","1,140 ",14 ,77 
,Seoul Seongbuk-gu,Female,"5,182 ","1,485 ",84 ,469 ,"1,973 ","1,090 ",9 ,72 
,Seoul Gangbuk-gu,Total,"7,948 ","1,834 ",62 ,177 ,"4,891 ",909 ,26 ,49 
,Seoul Gangbuk-gu,Male,"4,121 ",959 ,37 ,109 ,"2,496 ",478 ,14 ,28 
,Seoul Gangbuk-gu,Female,"3,827 ",875 ,25 ,68 ,"2,395 ",431 ,12 ,21 
,Seoul Dobong-gu,Total,"9,044 ","1,844 ",24 ,69 ,"4,774 ","2,182 ",29 ,122 
,Seoul Dobong-gu,Male,"4,762 ",976 ,11 ,35 ,"2,512 ","1,148 ",20 ,60 
,Seoul Dobong-gu,Female,"4,282 ",868 ,13 ,34 ,"2,262 ","1,034 ",9 ,62 
,Seoul Nowon-gu,Total,"12,748 ","3,289 ",171 ,20 ,"4,024 ","4,985 ",30 ,229 
,Seoul Nowon-gu,Male,"6,517 ","1,721 ",83 ,7 ,"2,059 ","2,513 ",17 ,117 
,Seoul Nowon-gu,Female,"6,231 ","1,568 ",88 ,13 ,"1,965 ","2,472 ",13 ,112 
,Seoul Eunpyeong-gu,Total,"12,746 ","1,733 ",120 ,209 ,"9,098 ","1,489 ",35 ,62 
,Seoul Eunpyeong-gu,Male,"6,583 ",882 ,63 ,101 ,"4,690 ",802 ,17 ,28 
,Seoul Eunpyeong-gu,Female,"6,163 ",851 ,57 ,108 ,"4,408 ",687 ,18 ,34 
,Seoul Seodaemun-gu,Total,"6,421 ","2,219 ",0 ,123 ,"2,658 ",987 ,18 ,416 
,Seoul Seodaemun-gu,Male,"3,273 ","1,171 ",0 ,62 ,"1,312 ",503 ,11 ,214 
,Seoul Seodaemun-gu,Female,"3,148 ","1,048 ",0 ,61 ,"1,346 ",484 ,7 ,202 
,Seoul Mapo-gu,Total,"8,442 ","3,193 ",0 ,329 ,"2,829 ","1,575 ",145 ,371 
,Seoul Mapo-gu,Male,"4,306 ","1,618 ",0 ,177 ,"1,448 ",793 ,81 ,189 
,Seoul Mapo-gu,Female,"4,136 ","1,575 ",0 ,152 ,"1,381 ",782 ,64 ,182 
,Seoul Yangcheon-gu,Total,"11,667 ","3,512 ",0 ,65 ,"5,048 ","2,817 ",16 ,209 
,Seoul Yangcheon-gu,Male,"6,014 ","1,792 ",0 ,38 ,"2,614 ","1,452 ",9 ,109 
,Seoul Yangcheon-gu,Female,"5,653 ","1,720 ",0 ,27 ,"2,434 ","1,365 ",7 ,100 
,Seoul Gangseo-gu,Total,"15,707 ","3,508 ",277 ,158 ,"7,906 ","3,542 ",30 ,286 
,Seoul Gangseo-gu,Male,"7,967 ","1,793 ",148 ,80 ,"3,982 ","1,780 ",17 ,167 
,Seoul Gangseo-gu,Female,"7,740 ","1,715 ",129 ,78 ,"3,924 ","1,762 ",13 ,119 
,Seoul Guro-gu,Total,"12,836 ","3,257 ",277 ,417 ,"5,407 ","3,009 ",116 ,353 
,Seoul Guro-gu,Male,"6,615 ","1,698 ",153 ,206 ,"2,747 ","1,587 ",51 ,173 
,Seoul Guro-gu,Female,"6,221 ","1,559 ",124 ,211 ,"2,660 ","1,422 ",65 ,180 
,Seoul Geumcheon-gu,Total,"7,045 ","2,077 ",220 ,690 ,"2,885 ",889 ,9 ,275 
,Seoul Geumcheon-gu,Male,"3,654 ","1,047 ",108 ,344 ,"1,515 ",472 ,5 ,163 
,Seoul Geumcheon-gu,Female,"3,391 ","1,030 ",112 ,346 ,"1,370 ",417 ,4 ,112 
,Seoul Yeongdeungpo-gu,Total,"10,273 ","2,477 ",107 ,94 ,"3,922 ","1,804 ",0 ,"1,869 "
,Seoul Yeongdeungpo-gu,Male,"5,177 ","1,230 ",56 ,43 ,"1,982 ",956 ,0 ,910 
,Seoul Yeongdeungpo-gu,Female,"5,096 ","1,247 ",51 ,51 ,"1,940 ",848 ,0 ,959 
,Seoul Dongjak-gu,Total,"8,826 ","3,174 ",93 ,86 ,"3,581 ","1,670 ",40 ,182 
,Seoul Dongjak-gu,Male,"4,576 ","1,649 ",47 ,44 ,"1,891 ",822 ,26 ,97 
,Seoul Dongjak-gu,Female,"4,250 ","1,525 ",46 ,42 ,"1,690 ",848 ,14 ,85 
,Seoul Gwanak-gu,Total,"10,520 ","3,200 ",96 ,420 ,"4,201 ","2,046 ",34 ,523 
,Seoul Gwanak-gu,Male,"5,424 ","1,653 ",52 ,218 ,"2,134 ","1,073 ",17 ,277 
,Seoul Gwanak-gu,Female,"5,096 ","1,547 ",44 ,202 ,"2,067 ",973 ,17 ,246 
,Seoul Seocho-gu,Total,"8,804 ","3,268 ",0 ,231 ,"2,383 ","1,547 ",77 ,"1,298 "
,Seoul Seocho-gu,Male,"4,560 ","1,704 ",0 ,117 ,"1,256 ",789 ,43 ,651 
,Seoul Seocho-gu,Female,"4,244 ","1,564 ",0 ,114 ,"1,127 ",758 ,34 ,647 
,Seoul Gangnam-gu,Total,"10,219 ","4,146 ",0 ,0 ,"3,473 ","1,504 ",56 ,"1,040 "
,Seoul Gangnam-gu,Male,"5,324 ","2,198 ",0 ,0 ,"1,762 ",780 ,25 ,559 
,Seoul Gangnam-gu,Female,"4,895 ","1,948 ",0 ,0 ,"1,711 ",724 ,31 ,481 
,Seoul Songpa-gu,Total,"14,917 ","3,203 ",76 ,193 ,"6,913 ","3,626 ",27 ,879 
,Seoul Songpa-gu,Male,"7,613 ","1,657 ",34 ,97 ,"3,515 ","1,839 ",15 ,456 
,Seoul Songpa-gu,Female,"7,304 ","1,546 ",42 ,96 ,"3,398 ","1,787 ",12 ,423 
