,,Classification,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,Gyeonggi Yeoju-si,Male,"1,172",115,78,27,785,145,0,22
,Gyeonggi Yeoju-si,Female,"1,075",111,64,11,705,166,0,18
,Gyeonggi Yeoncheon-gun,Total,863,315,54,2,246,113,0,133
,Gyeonggi Yeoncheon-gun,Male,443,166,35,1,122,57,0,62
,Gyeonggi Yeoncheon-gun,Female,420,149,19,1,124,56,0,71
,Gyeonggi Gapyeong-gun,Total,"1,229",298,48,84,528,182,0,89
,Gyeonggi Gapyeong-gun,Male,621,155,22,44,265,92,0,43
,Gyeonggi Gapyeong-gun,Female,608,143,26,40,263,90,0,46
,Gyeonggi Yangpyeong-gun,Total,"2,408",721,36,35,"1,476",106,0,34
,Gyeonggi Yangpyeong-gun,Male,"1,217",351,21,24,748,55,0,18
,Gyeonggi Yangpyeong-gun,Female,"1,191",370,15,11,728,51,0,16
Gangwon,Gangwon Total,Total,"34,622","7,179","4,904","1,355","13,538","4,854",77,"2,715"
,Gangwon Total,Male,"17,788","3,741","2,528",704,"6,958","2,448",36,"1,373"
,Gangwon Total,Female,"16,834","3,438","2,376",651,"6,580","2,406",41,"1,342"
,Gangwon Chuncheon-si,Total,"7,128","1,287",651,351,"2,708","1,491",29,611
,Gangwon Chuncheon-si,Male,"3,631",677,333,174,"1,382",755,15,295
,Gangwon Chuncheon-si,Female,"3,497",610,318,177,"1,326",736,14,316
,Gangwon Wonju-si,Total,"8,835","1,543",548,223,"4,035","1,677",33,776
,Gangwon Wonju-si,Male,"4,556",811,292,109,"2,092",836,15,401
,Gangwon Wonju-si,Female,"4,279",732,256,114,"1,943",841,18,375
,Gangwon Gangneung-si,Total,"4,705",696,887,49,"2,352",369,15,337
,Gangwon Gangneung-si,Male,"2,420",362,476,29,"1,197",180,6,170
,Gangwon Gangneung-si,Female,"2,285",334,411,20,"1,155",189,9,167
,Gangwon Donghae-si,Total,"2,029",147,407,158,788,462,0,67
,Gangwon Donghae-si,Male,"1,060",77,214,74,425,236,0,34
,Gangwon Donghae-si,Female,969,70,193,84,363,226,0,33
,Gangwon Taebaek-si,Total,905,453,126,26,86,71,0,143
,Gangwon Taebaek-si,Male,491,249,55,17,54,47,0,69
,Gangwon Taebaek-si,Female,414,204,71,9,32,24,0,74
,Gangwon Sokcho-si,Total,"2,296",672,477,93,781,267,0,6
,Gangwon Sokcho-si,Male,"1,174",345,241,50,387,146,0,5
,Gangwon Sokcho-si,Female,"1,122",327,236,43,394,121,0,1
,Gangwon Samcheok-si,Total,"1,011",305,84,0,368,231,0,23
,Gangwon Samcheok-si,Male,512,164,45,0,187,106,0,10
,Gangwon Samcheok-si,Female,499,141,39,0,181,125,0,13
,Gangwon Hongcheon-gun,Total,"1,205",116,152,59,676,87,0,115
,Gangwon Hongcheon-gun,Male,641,58,75,33,361,43,0,71
,Gangwon Hongcheon-gun,Female,564,58,77,26,315,44,0,44
,Gangwon Hoengseong-gun,Total,760,74,296,37,282,34,0,37
,Gangwon Hoengseong-gun,Male,401,36,159,19,149,17,0,21
,Gangwon Hoengseong-gun,Female,359,38,137,18,133,17,0,16
,Gangwon Yeongwol-gun,Total,479,94,166,89,90,40,0,0
,Gangwon Yeongwol-gun,Male,269,57,91,52,47,22,0,0
,Gangwon Yeongwol-gun,Female,210,37,75,37,43,18,0,0
,Gangwon Pyongchang-gun,Total,551,270,119,69,92,1,0,0
,Gangwon Pyongchang-gun,Male,285,139,63,36,46,1,0,0
,Gangwon Pyongchang-gun,Female,266,131,56,33,46,0,0,0
,Gangwon Jeongseon-gun,Total,484,229,196,0,0,8,0,51
,Gangwon Jeongseon-gun,Male,243,113,108,0,0,1,0,21
,Gangwon Jeongseon-gun,Female,241,116,88,0,0,7,0,30
,Gangwon Cheolwon-gun,Total,"1,232",146,144,54,728,22,0,138
,Gangwon Cheolwon-gun,Male,589,74,63,28,355,9,0,60
,Gangwon Cheolwon-gun,Female,643,72,81,26,373,13,0,78
,Gangwon Hwacheon-gun,Total,664,276,93,0,179,45,0,71
,Gangwon Hwacheon-gun,Male,348,141,47,0,92,24,0,44
,Gangwon Hwacheon-gun,Female,316,135,46,0,87,21,0,27
,Gangwon Yanggu-gun,Total,622,131,297,56,47,5,0,86
,Gangwon Yanggu-gun,Male,301,70,138,28,17,3,0,45
,Gangwon Yanggu-gun,Female,321,61,159,28,30,2,0,41
,Gangwon Inje-gun,Total,893,242,122,64,173,38,0,254
,Gangwon Inje-gun,Male,454,124,53,41,91,18,0,127
,Gangwon Inje-gun,Female,439,118,69,23,82,20,0,127
,Gangwon Goseong-gun,Total,472,332,0,0,140,0,0,0
,Gangwon Goseong-gun,Male,229,158,0,0,71,0,0,0
,Gangwon Goseong-gun,Female,243,174,0,0,69,0,0,0
,Gangwon Yangyang-gun,Total,351,166,139,27,13,6,0,0
,Gangwon Yangyang-gun,Male,184,86,75,14,5,4,0,0
,Gangwon Yangyang-gun,Female,167,80,64,13,8,2,0,0
North Chungcheong,North Chungcheong Total,Total,"42,124","6,633","6,069","1,459","20,343","5,557",67,"1,996"
,North Chungcheong Total,Male,"21,781","3,453","3,157",758,"10,403","2,924",31,"1,055"
,North Chungcheong Total,Female,"20,343","3,180","2,912",701,"9,940","2,633",36,941
,North Chungcheong Cheongju-si,Total,"25,971","2,842","2,570",644,"13,904","4,531",0,"1,480"
,North Chungcheong Cheongju-si,Male,"13,390","1,471","1,341",349,"7,089","2,377",0,763
,North Chungcheong Cheongju-si,Female,"12,581","1,371","1,229",295,"6,815","2,154",0,717
,North Chungcheong Chungju-si,Total,"4,715",873,999,133,"2,289",334,16,71
,North Chungcheong Chungju-si,Male,"2,436",466,529,71,"1,145",182,6,37
,North Chungcheong Chungju-si,Female,"2,279",407,470,62,"1,144",152,10,34
,North Chungcheong Jecheon-si,Total,"2,561",598,438,165,"1,111",121,0,128
,North Chungcheong Jecheon-si,Male,"1,368",316,226,93,598,60,0,75
,North Chungcheong Jecheon-si,Female,"1,193",282,212,72,513,61,0,53
,North Chungcheong Boeun-gun,Total,376,52,113,0,196,0,0,15
,North Chungcheong Boeun-gun,Male,176,25,57,0,86,0,0,8
,North Chungcheong Boeun-gun,Female,200,27,56,0,110,0,0,7
,North Chungcheong Okcheon-gun,Total,700,255,124,57,216,29,0,19
,North Chungcheong Okcheon-gun,Male,388,157,66,26,110,18,0,11
,North Chungcheong Okcheon-gun,Female,312,98,58,31,106,11,0,8
,North Chungcheong Yeongdong-gun,Total,628,175,276,20,121,0,20,16
,North Chungcheong Yeongdong-gun,Male,324,87,141,12,61,0,11,12
,North Chungcheong Yeongdong-gun,Female,304,88,135,8,60,0,9,4
,North Chungcheong Jincheon-gun,Total,"2,795",879,391,203,868,257,0,197
,North Chungcheong Jincheon-gun,Male,"1,455",438,222,98,450,135,0,112
,North Chungcheong Jincheon-gun,Female,"1,340",441,169,105,418,122,0,85
,North Chungcheong Goesan-gun,Total,350,95,134,88,0,16,0,17
,North Chungcheong Goesan-gun,Male,176,49,74,35,0,10,0,8
,North Chungcheong Goesan-gun,Female,174,46,60,53,0,6,0,9
,North Chungcheong Eumseong-gun,Total,"2,374",485,615,90,897,234,31,22
,North Chungcheong Eumseong-gun,Male,"1,218",254,298,49,478,120,14,5
,North Chungcheong Eumseong-gun,Female,"1,156",231,317,41,419,114,17,17
,North Chungcheong Jeungpyong-gun,Total,"1,221",159,255,0,741,35,0,31
,North Chungcheong Jeungpyong-gun,Male,632,68,132,0,386,22,0,24
,North Chungcheong Jeungpyong-gun,Female,589,91,123,0,355,13,0,7
,North Chungcheong Danyang-gun,Total,433,220,154,59,0,0,0,0
,North Chungcheong Danyang-gun,Male,218,122,71,25,0,0,0,0
,North Chungcheong Danyang-gun,Female,215,98,83,34,0,0,0,0
South Chungcheong,South Chungcheong Total,Total,"56,504","6,680","5,374","1,830","28,373","11,255",68,"2,924"
,South Chungcheong Total,Male,"29,104","3,494","2,852",948,"14,579","5,710",37,"1,484"
,South Chungcheong Total,Female,"27,400","3,186","2,522",882,"13,794","5,545",31,"1,440"
,South Chungcheong Cheonan-si,Total,"18,600","2,156",432,434,"9,712","5,091",68,707
,South Chungcheong Cheonan-si,Male,"9,584","1,110",229,227,"5,035","2,593",37,353
,South Chungcheong Cheonan-si,Female,"9,016","1,046",203,207,"4,677","2,498",31,354
,South Chungcheong Gongju-si,Total,"1,696",418,266,149,676,187,0,0
,South Chungcheong Gongju-si,Male,845,224,119,80,331,91,0,0
,South Chungcheong Gongju-si,Female,851,194,147,69,345,96,0,0
,South Chungcheong Boryeong-si,Total,"1,803",290,212,110,877,214,0,100
,South Chungcheong Boryeong-si,Male,951,149,119,54,463,111,0,55
,South Chungcheong Boryeong-si,Female,852,141,93,56,414,103,0,45
,South Chungcheong Asan-si,Total,"12,345","1,265",522,69,"6,908","2,877",0,704
,South Chungcheong Asan-si,Male,"6,346",656,286,29,"3,585","1,437",0,353
,South Chungcheong Asan-si,Female,"5,999",609,236,40,"3,323","1,440",0,351
,South Chungcheong Seosan-si,Total,"5,303",388,559,156,"3,053",889,0,258
,South Chungcheong Seosan-si,Male,"2,709",209,303,78,"1,540",446,0,133
,South Chungcheong Seosan-si,Female,"2,594",179,256,78,"1,513",443,0,125
,South Chungcheong Nonsan-si,Total,"2,852",218,522,264,"1,300",364,0,184
,South Chungcheong Nonsan-si,Male,"1,487",118,283,141,652,199,0,94
,South Chungcheong Nonsan-si,Female,"1,365",100,239,123,648,165,0,90
,South Chungcheong Gyerong-si,Total,"1,055",70,60,50,487,239,0,149
,South Chungcheong Gyerong-si,Male,542,32,37,29,250,122,0,72
,South Chungcheong Gyerong-si,Female,513,38,23,21,237,117,0,77
,South Chungcheong Geumsan-gun,Total,761,202,176,83,199,19,0,82
,South Chungcheong Geumsan-gun,Male,364,100,94,43,86,5,0,36
,South Chungcheong Geumsan-gun,Female,397,102,82,40,113,14,0,46
,South Chungcheong Buyeo-gun,Total,793,160,419,0,127,87,0,0
,South Chungcheong Buyeo-gun,Male,425,90,229,0,61,45,0,0
,South Chungcheong Buyeo-gun,Female,368,70,190,0,66,42,0,0
,South Chungcheong Seocheon-gun,Total,777,174,346,93,141,23,0,0
,South Chungcheong Seocheon-gun,Male,397,87,182,44,73,11,0,0
,South Chungcheong Seocheon-gun,Female,380,87,164,49,68,12,0,0
,South Chungcheong Cheongyang-gun,Total,358,65,126,0,112,55,0,0
,South Chungcheong Cheongyang-gun,Male,186,32,63,0,56,35,0,0
,South Chungcheong Cheongyang-gun,Female,172,33,63,0,56,20,0,0
,South Chungcheong Hongseong-gun,Total,"2,154",283,513,16,791,306,0,245
,South Chungcheong Hongseong-gun,Male,"1,130",155,272,9,409,153,0,132
,South Chungcheong Hongseong-gun,Female,"1,024",128,241,7,382,153,0,113
,South Chungcheong Yesan-gun,Total,993,130,315,18,376,78,0,76
,South Chungcheong Yesan-gun,Male,510,67,161,10,195,35,0,42
,South Chungcheong Yesan-gun,Female,483,63,154,8,181,43,0,34
,South Chungcheong Taean-gun,Total,"1,046",44,314,45,473,44,0,126
,South Chungcheong Taean-gun,Male,535,23,169,26,229,20,0,68
,South Chungcheong Taean-gun,Female,511,21,145,19,244,24,0,58
,South Chungcheong Dangjin-si,Total,"5,968",817,592,343,"3,141",782,0,293
,South Chungcheong Dangjin-si,Male,"3,093",442,306,178,"1,614",407,0,146
,South Chungcheong Dangjin-si,Female,"2,875",375,286,165,"1,527",375,0,147
North Jeolla,North Jeolla Total,Total,"38,978","5,640","6,312","3,380","16,982","5,443",13,"1,208"
,North Jeolla Total,Male,"20,108","2,872","3,316","1,773","8,793","2,729",7,618
,North Jeolla Total,Female,"18,870","2,768","2,996","1,607","8,189","2,714",6,590
,North Jeolla Jeonju-si,Total,"16,874","1,906","2,248",740,"8,416","2,781",13,770
,North Jeolla Jeonju-si,Male,"8,750",971,"1,173",387,"4,439","1,380",7,393
,North Jeolla Jeonju-si,Female,"8,124",935,"1,075",353,"3,977","1,401",6,377
,North Jeolla Gunsan-si,Total,"6,368","1,108",947,575,"2,779",823,0,136
,North Jeolla Gunsan-si,Male,"3,267",578,502,301,"1,404",420,0,62
,North Jeolla Gunsan-si,Female,"3,101",530,445,274,"1,375",403,0,74
,North Jeolla Iksan-si,Total,"5,508",750,804,473,"2,412",923,0,146
,North Jeolla Iksan-si,Male,"2,803",389,422,228,"1,206",473,0,85
,North Jeolla Iksan-si,Female,"2,705",361,382,245,"1,206",450,0,61
,North Jeolla Jeongeup-si,Total,"1,998",314,482,160,754,257,0,31
,North Jeolla Jeongeup-si,Male,"1,030",179,231,87,397,123,0,13
,North Jeolla Jeongeup-si,Female,968,135,251,73,357,134,0,18
,North Jeolla Namwon-si,Total,"1,883",202,403,204,879,195,0,0
,North Jeolla Namwon-si,Male,989,102,232,111,450,94,0,0
,North Jeolla Namwon-si,Female,894,100,171,93,429,101,0,0
,North Jeolla Gimje-si,Total,"1,225",232,339,200,329,122,0,3
,North Jeolla Gimje-si,Male,614,109,171,106,170,55,0,3
,North Jeolla Gimje-si,Female,611,123,168,94,159,67,0,0
,North Jeolla Wanju-gun,Total,"2,043",271,528,193,773,215,0,63
,North Jeolla Wanju-gun,Male,"1,035",133,268,97,392,116,0,29
,North Jeolla Wanju-gun,Female,"1,008",138,260,96,381,99,0,34
,North Jeolla Jinan-gun,Total,218,92,0,126,0,0,0,0
,North Jeolla Jinan-gun,Male,101,40,0,61,0,0,0,0
,North Jeolla Jinan-gun,Female,117,52,0,65,0,0,0,0
,North Jeolla Muju-gun,Total,284,148,0,63,73,0,0,0
,North Jeolla Muju-gun,Male,149,74,0,40,35,0,0,0
,North Jeolla Muju-gun,Female,135,74,0,23,38,0,0,0
,North Jeolla Jangsu-gun,Total,301,108,173,0,0,20,0,0
,North Jeolla Jangsu-gun,Male,170,51,107,0,0,12,0,0
,North Jeolla Jangsu-gun,Female,131,57,66,0,0,8,0,0
,North Jeolla Imsil-gun,Total,381,0,26,320,0,0,0,35
,North Jeolla Imsil-gun,Male,209,0,15,176,0,0,0,18
,North Jeolla Imsil-gun,Female,172,0,11,144,0,0,0,17
,North Jeolla Sunchang-gun,Total,360,174,83,84,0,19,0,0
,North Jeolla Sunchang-gun,Male,189,80,49,53,0,7,0,0
,North Jeolla Sunchang-gun,Female,171,94,34,31,0,12,0,0
,North Jeolla Gochang-gun,Total,852,213,279,163,124,55,0,18
,North Jeolla Gochang-gun,Male,450,112,146,84,65,31,0,12
,North Jeolla Gochang-gun,Female,402,101,133,79,59,24,0,6
,North Jeolla Buan-gun,Total,683,122,0,79,443,33,0,6
,North Jeolla Buan-gun,Male,352,54,0,42,235,18,0,3
,North Jeolla Buan-gun,Female,331,68,0,37,208,15,0,3
South Jeolla,South Jeolla Total,Total,"42,241","8,233","8,085","2,057","17,162","4,558",53,"2,093"
,South Jeolla Total,Male,"21,929","4,262","4,188","1,040","8,900","2,362",27,"1,150"
,South Jeolla Total,Female,"20,312","3,971","3,897","1,017","8,262","2,196",26,943
,South Jeolla Mokpo-si,Total,"6,858",459,"1,112",0,"4,022","1,145",33,87
,South Jeolla Mokpo-si,Male,"3,644",240,593,0,"2,141",609,13,48
,South Jeolla Mokpo-si,Female,"3,214",219,519,0,"1,881",536,20,39
,South Jeolla Yeosu-si,Total,"6,638","1,086","1,490",238,"2,972",437,0,415
,South Jeolla Yeosu-si,Male,"3,413",590,742,117,"1,512",231,0,221
,South Jeolla Yeosu-si,Female,"3,225",496,748,121,"1,460",206,0,194
,South Jeolla Suncheon-si,Total,"7,752","1,150",573,231,"4,232","1,266",0,300
,South Jeolla Suncheon-si,Male,"4,037",625,285,128,"2,186",638,0,175
,South Jeolla Suncheon-si,Female,"3,715",525,288,103,"2,046",628,0,125
,South Jeolla Naju-si,Total,"3,357",985,345,0,959,478,0,590
,South Jeolla Naju-si,Male,"1,798",515,197,0,510,245,0,331
,South Jeolla Naju-si,Female,"1,559",470,148,0,449,233,0,259
,South Jeolla Gwangyang-si,Total,"5,168","1,389",559,66,"2,545",377,0,232
,South Jeolla Gwangyang-si,Male,"2,662",699,302,35,"1,314",186,0,126
,South Jeolla Gwangyang-si,Female,"2,506",690,257,31,"1,231",191,0,106
,South Jeolla Damyang-gun,Total,559,261,32,33,170,20,0,43
,South Jeolla Damyang-gun,Male,273,128,18,16,81,7,0,23
,South Jeolla Damyang-gun,Female,286,133,14,17,89,13,0,20
,South Jeolla Gokseong-gun,Total,332,206,75,51,0,0,0,0
,South Jeolla Gokseong-gun,Male,173,104,41,28,0,0,0,0
,South Jeolla Gokseong-gun,Female,159,102,34,23,0,0,0,0
,South Jeolla Gurye-gun,Total,278,148,0,91,21,18,0,0
,South Jeolla Gurye-gun,Male,139,74,0,44,13,8,0,0
,South Jeolla Gurye-gun,Female,139,74,0,47,8,10,0,0
,South Jeolla Goheung-gun,Total,765,152,254,156,183,20,0,0
,South Jeolla Goheung-gun,Male,354,59,119,80,83,13,0,0
,South Jeolla Goheung-gun,Female,411,93,135,76,100,7,0,0
,South Jeolla Boseong-gun,Total,491,243,157,18,66,7,0,0
,South Jeolla Boseong-gun,Male,260,132,86,7,31,4,0,0
,South Jeolla Boseong-gun,Female,231,111,71,11,35,3,0,0
,South Jeolla Hwasun-gun,Total,"1,123",283,291,33,315,201,0,0
,South Jeolla Hwasun-gun,Male,575,147,147,16,162,103,0,0
,South Jeolla Hwasun-gun,Female,548,136,144,17,153,98,0,0
,South Jeolla Jangheung-gun,Total,528,269,114,76,0,49,20,0
,South Jeolla Jangheung-gun,Male,271,139,57,40,0,21,14,0
,South Jeolla Jangheung-gun,Female,257,130,57,36,0,28,6,0
,South Jeolla Gangjin-gun,Total,599,19,281,186,113,0,0,0
,South Jeolla Gangjin-gun,Male,297,5,133,93,66,0,0,0
,South Jeolla Gangjin-gun,Female,302,14,148,93,47,0,0,0
South Jeolla,South Jeolla Haenam-gun,Total,"1,050",131,417,109,393,0,0,0
,South Jeolla Haenam-gun,Male,559,65,222,58,214,0,0,0
,South Jeolla Haenam-gun,Female,491,66,195,51,179,0,0,0
,South Jeolla Yeongam-gun,Total,"1,238",200,572,144,197,83,0,42
,South Jeolla Yeongam-gun,Male,642,103,290,74,103,48,0,24
,South Jeolla Yeongam-gun,Female,596,97,282,70,94,35,0,18
,South Jeolla Muan-gun,Total,"1,955",342,301,106,736,291,0,179
,South Jeolla Muan-gun,Male,"1,035",170,186,50,368,160,0,101
,South Jeolla Muan-gun,Female,920,172,115,56,368,131,0,78
,South Jeolla Hampyeong-gun,Total,404,95,290,0,0,19,0,0
,South Jeolla Hampyeong-gun,Male,221,47,161,0,0,13,0,0
,South Jeolla Hampyeong-gun,Female,183,48,129,0,0,6,0,0
,South Jeolla Yeongwang-gun,Total,967,283,319,191,27,40,0,107
,South Jeolla Yeongwang-gun,Male,470,142,156,87,13,19,0,53
,South Jeolla Yeongwang-gun,Female,497,141,163,104,14,21,0,54
,South Jeolla Jangseong-gun,Total,657,195,268,47,20,29,0,98
,South Jeolla Jangseong-gun,Male,338,104,129,23,12,22,0,48
,South Jeolla Jangseong-gun,Female,319,91,139,24,8,7,0,50
,South Jeolla Wando-gun,Total,865,206,273,169,177,40,0,0
,South Jeolla Wando-gun,Male,440,103,141,92,86,18,0,0
,South Jeolla Wando-gun,Female,425,103,132,77,91,22,0,0
,South Jeolla Jindo-gun,Total,416,74,178,112,14,38,0,0
,South Jeolla Jindo-gun,Male,196,40,82,52,5,17,0,0
,South Jeolla Jindo-gun,Female,220,34,96,60,9,21,0,0
,South Jeolla Sinan-gun,Total,241,57,184,0,0,0,0,0
,South Jeolla Sinan-gun,Male,132,31,101,0,0,0,0,0
,South Jeolla Sinan-gun,Female,109,26,83,0,0,0,0,0
North Gyeongsang,North Gyeongsang Total,Total,"54,954","7,604","4,350","1,402","29,817","8,473",73,"3,235"
,North Gyeongsang Total,Male,"28,607","3,882","2,388",741,"15,510","4,353",34,"1,699"
,North Gyeongsang Total,Female,"26,347","3,722","1,962",661,"14,307","4,120",39,"1,536"
,North Gyeongsang Pohang-si,Total,"11,004",769,649,43,"7,013","1,989",0,541
,North Gyeongsang Pohang-si,Male,"5,813",403,360,20,"3,703","1,036",0,291
,North Gyeongsang Pohang-si,Female,"5,191",366,289,23,"3,310",953,0,250
,North Gyeongsang Gyeongju-si,Total,"5,281",426,475,207,"3,047",744,0,382
,North Gyeongsang Gyeongju-si,Male,"2,704",203,275,106,"1,535",379,0,206
,North Gyeongsang Gyeongju-si,Female,"2,577",223,200,101,"1,512",365,0,176
,North Gyeongsang Gimcheon-si,Total,"2,833",396,360,0,"1,168",506,0,403
,North Gyeongsang Gimcheon-si,Male,"1,518",201,207,0,610,271,0,229
,North Gyeongsang Gimcheon-si,Female,"1,315",195,153,0,558,235,0,174
,North Gyeongsang Andong-si,Total,"3,179",550,371,78,"1,406",354,0,420
,North Gyeongsang Andong-si,Male,"1,660",295,198,42,721,185,0,219
,North Gyeongsang Andong-si,Female,"1,519",255,173,36,685,169,0,201
,North Gyeongsang Gumi-si,Total,"11,412",808,471,216,"6,362","2,843",73,639
,North Gyeongsang Gumi-si,Male,"5,885",396,267,115,"3,301","1,444",34,328
,North Gyeongsang Gumi-si,Female,"5,527",412,204,101,"3,061","1,399",39,311
,North Gyeongsang Yeongju-si,Total,"1,974",393,206,278,867,165,0,65
,North Gyeongsang Yeongju-si,Male,"1,014",192,111,148,445,82,0,36
,North Gyeongsang Yeongju-si,Female,960,201,95,130,422,83,0,29
,North Gyeongsang Yeongcheon-si,Total,"1,796",286,265,0,999,168,0,78
,North Gyeongsang Yeongcheon-si,Male,940,137,151,0,537,79,0,36
,North Gyeongsang Yeongcheon-si,Female,856,149,114,0,462,89,0,42
,North Gyeongsang Sangju-si,Total,999,429,40,20,390,90,0,30
,North Gyeongsang Sangju-si,Male,530,237,25,14,195,44,0,15
,North Gyeongsang Sangju-si,Female,469,192,15,6,195,46,0,15
,North Gyeongsang Mungyeong-si,Total,"1,107",171,141,63,561,157,0,14
,North Gyeongsang Mungyeong-si,Male,571,100,66,29,284,83,0,9
,North Gyeongsang Mungyeong-si,Female,536,71,75,34,277,74,0,5
,North Gyeongsang Gyeongsan-si,Total,"6,413",844,553,179,"3,981",608,0,248
,North Gyeongsang Gyeongsan-si,Male,"3,346",454,292,92,"2,069",311,0,128
,North Gyeongsang Gyeongsan-si,Female,"3,067",390,261,87,"1,912",297,0,120
,North Gyeongsang Gunwi-gun,Total,148,19,95,0,18,16,0,0
,North Gyeongsang Gunwi-gun,Male,78,6,53,0,12,7,0,0
,North Gyeongsang Gunwi-gun,Female,70,13,42,0,6,9,0,0
,North Gyeongsang Uiseong-gun,Total,560,199,274,71,0,16,0,0
,North Gyeongsang Uiseong-gun,Male,285,95,140,44,0,6,0,0
,North Gyeongsang Uiseong-gun,Female,275,104,134,27,0,10,0,0
,North Gyeongsang Cheongsong-gun,Total,250,149,37,30,0,4,0,30
,North Gyeongsang Cheongsong-gun,Male,129,80,18,14,0,3,0,14
,North Gyeongsang Cheongsong-gun,Female,121,69,19,16,0,1,0,16
,North Gyeongsang Yeongyang-gun,Total,179,147,0,32,0,0,0,0
,North Gyeongsang Yeongyang-gun,Male,98,78,0,20,0,0,0,0
,North Gyeongsang Yeongyang-gun,Female,81,69,0,12,0,0,0,0
,North Gyeongsang Yeongdeok-gun,Total,536,195,0,0,341,0,0,0
,North Gyeongsang Yeongdeok-gun,Male,246,79,0,0,167,0,0,0
,North Gyeongsang Yeongdeok-gun,Female,290,116,0,0,174,0,0,0
,North Gyeongsang Cheongdo-gun,Total,315,189,45,0,69,12,0,0
,North Gyeongsang Cheongdo-gun,Male,161,98,24,0,33,6,0,0
,North Gyeongsang Cheongdo-gun,Female,154,91,21,0,36,6,0,0
,North Gyeongsang Goryeong-gun,Total,502,143,55,0,304,0,0,0
,North Gyeongsang Goryeong-gun,Male,256,61,30,0,165,0,0,0
,North Gyeongsang Goryeong-gun,Female,246,82,25,0,139,0,0,0
,North Gyeongsang Seongju-gun,Total,455,174,0,0,230,51,0,0
,North Gyeongsang Seongju-gun,Male,240,89,0,0,120,31,0,0
,North Gyeongsang Seongju-gun,Female,215,85,0,0,110,20,0,0
,North Gyeongsang Chilgok-gun,Total,"3,282",356,154,124,"2,223",410,0,15
,North Gyeongsang Chilgok-gun,Male,"1,759",181,90,67,"1,208",207,0,6
,North Gyeongsang Chilgok-gun,Female,"1,523",175,64,57,"1,015",203,0,9
,North Gyeongsang Yecheon-gun,Total,"1,320",345,137,34,470,284,0,50
,North Gyeongsang Yecheon-gun,Male,667,171,70,19,240,148,0,19
,North Gyeongsang Yecheon-gun,Female,653,174,67,15,230,136,0,31
,North Gyeongsang Bonghwa-gun,Total,285,147,22,27,54,35,0,0
,North Gyeongsang Bonghwa-gun,Male,146,80,11,11,24,20,0,0
,North Gyeongsang Bonghwa-gun,Female,139,67,11,16,30,15,0,0
,North Gyeongsang Uljin-gun,Total,"1,067",412,0,0,314,21,0,320
,North Gyeongsang Uljin-gun,Male,533,218,0,0,141,11,0,163
,North Gyeongsang Uljin-gun,Female,534,194,0,0,173,10,0,157
,North Gyeongsang Ulleung-gun,Total,57,57,0,0,0,0,0,0
,North Gyeongsang Ulleung-gun,Male,28,28,0,0,0,0,0,0
,North Gyeongsang Ulleung-gun,Female,29,29,0,0,0,0,0,0
South Gyeongsang,South Gyeongsang Total,Total,"78,004","14,759","4,555","1,958","38,513","14,903",128,"3,188"
,South Gyeongsang Total,Male,"40,409","7,641","2,346",988,"20,028","7,722",80,"1,604"
,South Gyeongsang Total,Female,"37,595","7,118","2,209",970,"18,485","7,181",48,"1,584"
,South Gyeongsang Changwon-si,Total,"24,181","4,555","1,281",548,"11,222","5,156",0,"1,419"
,South Gyeongsang Changwon-si,Male,"12,551","2,363",660,281,"5,857","2,675",0,715
,South Gyeongsang Changwon-si,Female,"11,630","2,192",621,267,"5,365","2,481",0,704
,South Gyeongsang Jinju-si,Total,"9,302","1,221",411,175,"5,602","1,359",0,534
,South Gyeongsang Jinju-si,Male,"4,886",665,211,91,"2,968",695,0,256
,South Gyeongsang Jinju-si,Female,"4,416",556,200,84,"2,634",664,0,278
,South Gyeongsang Tongyeong-si,Total,"2,745",807,168,3,"1,479",209,0,79
,South Gyeongsang Tongyeong-si,Male,"1,361",406,83,1,729,111,0,31
,South Gyeongsang Tongyeong-si,Female,"1,384",401,85,2,750,98,0,48
,South Gyeongsang Sacheon-si,Total,"3,356",876,122,169,"1,670",253,0,266
,South Gyeongsang Sacheon-si,Male,"1,736",462,60,87,866,127,0,134
,South Gyeongsang Sacheon-si,Female,"1,620",414,62,82,804,126,0,132
,South Gyeongsang Gimhae-si,Total,"14,029","2,830",422,86,"7,030","3,561",0,100
,South Gyeongsang Gimhae-si,Male,"7,265","1,415",237,45,"3,650","1,870",0,48
,South Gyeongsang Gimhae-si,Female,"6,764","1,415",185,41,"3,380","1,691",0,52
,South Gyeongsang Miryang-si,Total,"1,740",295,469,31,691,209,0,45
,South Gyeongsang Miryang-si,Male,899,161,239,16,354,106,0,23
,South Gyeongsang Miryang-si,Female,841,134,230,15,337,103,0,22
,South Gyeongsang Geoje-si,Total,"6,839","1,008",245,0,"3,682","1,418",17,469
,South Gyeongsang Geoje-si,Male,"3,568",537,110,0,"1,931",732,8,250
,South Gyeongsang Geoje-si,Female,"3,271",471,135,0,"1,751",686,9,219
,South Gyeongsang Yangsan-si,Total,"9,402",994,747,151,"4,822","2,410",111,167
,South Gyeongsang Yangsan-si,Male,"4,909",535,391,70,"2,497","1,254",72,90
,South Gyeongsang Yangsan-si,Female,"4,493",459,356,81,"2,325","1,156",39,77
